 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,36,770.806,226.694,23.556,768,223,7,8,0.815,9.220,768,231,40.601,7.000,1.233,0.811,0.818
2,118,782.110,232.102,48.527,773,228,19,10,0.630,19.235,773,229,171.027,10.000,1.888,0.530,0.840
3,31,601.952,241.403,19.556,599,238,6,7,1.000,7.616,600,238,113.199,6.000,1.168,0.856,0.886
4,32,607.375,247.625,21.799,603,244,8,7,0.846,8.944,603,246,153.435,5.367,1.786,0.560,0.831
5,42,603.524,252.714,25.556,598,250,10,6,0.808,11.180,598,251,153.435,5.814,2.154,0.464,0.875
6,25,596.460,256.900,17.899,594,254,5,6,0.981,7.810,594,260,50.194,5.000,1.500,0.667,0.926
7,113,603.102,262.438,55.841,592,257,20,11,0.455,20.224,592,262,171.469,10.547,2.198,0.455,0.677
8,30,616.667,263.600,21.314,613,261,8,5,0.830,8.544,613,262,159.444,5.000,1.798,0.556,0.870
9,97,603.964,273.809,45.012,598,267,13,15,0.602,16.553,600,282,64.983,10.607,1.629,0.614,0.761
10,25,614.620,270.740,18.728,612,267,5,7,0.896,8.062,612,274,60.255,4.919,1.793,0.558,0.877
11,42,610.881,279.976,24.142,607,277,8,7,0.906,8.602,607,277,125.538,7.000,1.057,0.946,0.903
12,51,623.010,285.971,35.213,618,280,11,10,0.517,12.806,621,280,128.660,8.450,1.821,0.549,0.675
13,33,605.682,287.136,23.314,603,283,5,8,0.763,8.944,604,283,116.565,5.000,1.840,0.543,0.880
14,43,621.081,294.105,24.971,618,289,7,9,0.867,9.849,619,289,113.962,7.000,1.402,0.713,0.869
15,49,917.602,296.643,25.799,913,293,9,8,0.925,10.296,913,299,29.055,7.071,1.460,0.685,0.883
16,46,621.000,303.587,26.728,618,299,6,9,0.809,10.296,618,299,119.055,6.000,1.647,0.607,0.893
17,59,487.856,345.127,27.799,483,341,10,8,0.959,10.770,483,343,158.199,7.906,1.397,0.716,0.887
18,56,528.161,356.696,26.971,523,353,10,7,0.967,10.770,523,355,158.199,7.000,1.517,0.659,0.911
19,30,931.800,357.300,20.728,929,354,6,7,0.877,9.220,929,361,49.399,5.657,1.727,0.579,0.882
20,26,937.231,358.385,19.556,934,355,6,7,0.854,8.062,935,362,60.255,5.199,1.774,0.564,0.825
21,28,946.786,363.393,18.728,944,360,5,7,1.000,7.616,946,367,66.801,5.000,1.375,0.727,0.918
22,64,885.906,368.906,28.385,881,365,10,8,0.998,10.770,881,371,21.801,8.000,1.220,0.820,0.928
23,67,964.007,377.381,33.213,959,373,10,9,0.763,12.207,959,381,34.992,8.485,1.527,0.655,0.893
24,49,755.153,382.337,24.728,751,379,8,7,1.000,9.434,751,380,147.995,7.000,1.199,0.834,0.942
25,65,450.331,402.177,29.213,445,398,11,8,0.957,11.705,445,400,160.017,8.000,1.402,0.713,0.915
26,70,927.729,403.486,43.698,923,398,11,11,0.461,12.530,923,407,28.610,9.604,1.427,0.701,0.773
27,64,673.906,413.141,28.385,669,409,10,8,0.998,10.440,669,412,163.301,8.000,1.202,0.832,0.928
28,54,923.778,433.574,27.556,920,429,8,9,0.894,10.296,921,438,60.945,7.906,1.336,0.748,0.885
29,56,479.000,442.000,26.142,475,438,8,8,1.000,10.000,475,445,36.870,8.000,1.148,0.871,0.949
30,97,550.335,456.706,42.284,543,452,15,10,0.682,15.297,543,454,168.690,10.000,1.631,0.613,0.851
31,43,539.244,460.640,23.314,536,457,7,7,0.994,8.602,537,457,125.538,7.000,1.025,0.975,0.945
32,91,617.797,470.082,35.799,612,464,11,11,0.892,12.207,616,464,124.992,11.000,1.057,0.946,0.910
33,74,862.649,473.378,37.456,856,469,13,8,0.663,13.601,856,471,162.897,8.000,1.762,0.568,0.846
34,49,774.296,561.173,30.385,770,555,8,10,0.667,11.180,770,565,63.435,7.842,1.426,0.701,0.803
35,25,755.780,559.420,20.142,752,557,8,5,0.774,8.246,752,558,165.964,4.851,1.957,0.511,0.794
36,91,763.093,565.709,38.627,757,559,11,13,0.766,13.454,757,562,138.013,10.436,1.287,0.777,0.835
37,86,753.605,568.523,43.941,748,562,11,14,0.560,14.318,752,562,102.095,10.286,1.420,0.704,0.764
38,38,352.132,570.132,28.385,350,565,5,11,0.593,11.402,350,576,74.745,5.000,2.453,0.408,0.817
39,53,770.972,571.292,28.385,767,566,7,11,0.827,11.402,770,577,74.745,7.000,1.705,0.587,0.862
40,50,780.400,573.120,24.728,777,569,7,8,1.000,9.434,778,569,122.005,7.000,1.158,0.864,0.952
41,93,819.866,574.640,44.870,811,570,18,9,0.580,18.439,811,577,12.529,7.645,2.868,0.349,0.809
42,73,363.295,576.144,35.213,357,572,12,10,0.740,15.000,357,573,143.130,8.497,1.841,0.543,0.820
43,35,762.157,576.586,21.899,759,573,6,7,0.917,8.485,759,579,45.000,6.000,1.087,0.920,0.909
44,55,562.191,578.773,29.213,557,574,10,9,0.810,11.662,557,582,30.964,7.071,1.840,0.543,0.821
45,44,813.841,583.977,26.142,809,581,10,6,0.809,10.440,809,585,16.699,6.000,1.748,0.572,0.854
46,29,634.017,589.914,19.314,631,587,6,6,0.977,8.485,631,587,135.000,5.657,1.507,0.664,0.921
47,58,664.828,592.138,27.213,660,588,9,9,0.984,10.000,662,588,126.870,8.485,1.184,0.845,0.892
48,66,581.106,604.970,28.971,576,601,10,8,0.988,10.770,576,607,21.801,8.000,1.218,0.821,0.930
49,58,695.224,627.224,27.556,691,623,8,9,0.960,10.296,692,623,119.055,8.000,1.210,0.827,0.906
50,59,862.788,631.127,28.385,858,627,10,8,0.920,10.817,858,634,33.690,8.000,1.373,0.729,0.894
51,41,890.305,642.085,22.971,886,639,8,7,0.976,8.544,886,641,159.444,7.000,1.210,0.827,0.891
52,28,871.250,656.357,19.556,868,653,6,7,0.920,8.062,869,653,119.745,5.367,1.634,0.612,0.848
53,66,355.697,662.773,30.385,352,657,8,11,0.898,12.530,353,657,118.610,8.000,1.702,0.588,0.910
54,62,393.613,681.355,28.385,389,677,10,8,0.967,11.662,389,678,149.036,8.000,1.406,0.711,0.919
55,74,788.419,700.000,30.385,783,696,11,8,1.000,11.705,783,698,160.017,8.000,1.372,0.729,0.937
56,44,599.000,725.500,22.971,595,722,8,7,1.000,8.544,595,724,159.444,7.000,1.118,0.894,0.917
57,36,474.917,727.444,22.142,472,723,6,8,0.923,8.544,474,723,110.556,6.000,1.306,0.766,0.878
58,39,515.500,734.577,22.142,512,731,7,7,1.000,8.602,513,731,125.538,7.000,1.193,0.838,0.907
59,61,866.844,738.139,31.799,863,733,10,10,0.758,11.402,863,734,142.125,9.058,1.248,0.802,0.813
60,50,803.820,743.920,24.971,800,740,8,8,1.000,10.000,800,747,36.870,7.603,1.291,0.775,0.909
61,59,636.771,747.466,26.971,633,743,8,9,1.000,10.296,634,752,60.945,8.000,1.201,0.832,0.937
62,39,958.423,747.269,24.385,955,743,7,9,0.824,9.487,956,743,108.435,6.063,1.668,0.599,0.821
63,61,430.975,748.057,27.213,426,744,10,8,1.000,10.770,426,746,158.199,8.000,1.314,0.761,0.917
64,63,475.151,751.230,27.799,470,747,10,8,1.000,10.770,470,753,21.801,8.000,1.278,0.782,0.920
65,56,721.821,756.357,30.042,717,751,9,10,0.780,10.770,720,761,68.199,8.825,1.311,0.763,0.818
66,65,499.931,759.008,28.971,495,755,10,8,0.973,11.662,495,756,149.036,8.000,1.396,0.716,0.935
67,143,495.850,771.409,66.912,489,763,14,16,0.401,17.205,489,766,144.462,14.000,1.280,0.781,0.765
68,59,660.686,774.805,28.142,657,770,7,10,0.936,11.180,658,770,116.565,7.000,1.456,0.687,0.937
69,39,499.987,782.782,22.728,497,779,7,7,0.949,8.602,498,779,125.538,7.000,1.116,0.896,0.918
70,43,529.244,784.105,29.213,526,779,7,10,0.633,12.207,526,779,124.992,6.080,2.011,0.497,0.796
