Area,X,Y,Perim.,BX,BY,Width,Height
71,665.690,95.732,0,661,91,10,10
146,525.678,125.411,0,518,118,15,16
74,479.595,134.297,0,475,130,10,10
77,590.182,137.935,0,586,133,9,11
104,776.567,138.125,0,771,133,12,11
101,513.525,139.436,0,507,134,14,12
107,621.486,144.430,0,616,139,12,12
98,784.020,145.173,0,779,139,11,13
158,719.475,146.684,0,711,142,18,11
96,711.812,157.938,0,708,152,9,13
109,774.257,161.661,0,769,156,11,13
106,640.019,167.594,0,635,162,11,12
98,742.276,176.582,0,737,171,11,12
130,770.954,178.154,0,765,172,13,14
95,553.768,181.358,0,548,177,12,10
96,831.167,185.406,0,827,180,10,12
106,665.151,190.972,0,660,185,11,13
81,699.568,192.383,0,695,188,10,10
99,675.697,196.505,0,671,191,10,12
58,871.345,199.983,0,868,196,8,10
63,877.905,204.175,0,873,199,11,10
134,648.530,207.731,0,642,202,14,14
181,895.387,225.050,0,893,205,6,42
106,706.019,211.321,0,700,206,13,11
64,906.047,211.781,0,903,207,8,10
150,851.373,217.053,0,846,210,13,15
116,870.759,216.414,0,866,210,11,14
123,921.943,218.561,0,914,210,16,18
91,527.659,216.473,0,522,212,11,11
84,501.548,219.536,0,497,215,10,11
57,910.298,219.368,0,906,215,9,10
92,903.707,222.815,0,900,216,10,13
87,914.793,225.759,0,908,221,13,10
118,711.059,227.525,0,705,222,13,12
58,520.052,228.690,0,516,224,9,10
93,686.409,229.075,0,682,224,10,11
157,647.420,237.401,0,640,232,17,12
91,513.681,239.077,0,509,233,10,13
103,662.214,241.689,0,657,236,11,12
59,534.051,247.661,0,531,242,7,12
192,632.724,251.375,0,626,243,14,19
97,708.557,250.175,0,704,245,10,12
31,934.452,247.613,0,932,245,6,7
166,506.229,252.512,0,500,246,14,15
143,577.455,255.070,0,573,246,10,20
194,913.227,250.928,0,895,247,37,9
59,518.610,254.898,0,514,251,10,9
107,926.178,254.766,0,915,252,21,7
38,938.263,255.368,0,936,252,6,8
93,901.731,262.140,0,898,255,9,15
126,508.960,263.524,0,502,256,14,15
99,537.939,261.657,0,533,256,11,12
47,911.851,259.766,0,909,256,7,8
200,928.920,262.315,0,916,258,25,11
58,523.776,263.310,0,520,259,8,10
94,894.447,267.926,0,890,261,9,14
80,437.262,265.863,0,432,262,11,10
145,661.552,266.862,0,647,263,30,7
138,889.688,280.681,0,886,264,8,32
204,619.706,268.603,0,599,266,43,6
151,685.868,276.318,0,679,270,14,14
94,819.479,277.596,0,814,273,12,10
66,501.333,278.788,0,497,275,10,9
109,896.138,282.128,0,893,275,8,17
105,931.438,286.229,0,923,276,19,20
100,555.680,281.770,0,550,277,12,11
83,659.446,281.711,0,655,277,10,11
88,613.500,283.500,0,609,279,10,10
304,914.658,289.273,0,899,280,30,19
87,651.356,287.057,0,647,282,10,11
95,487.705,287.926,0,482,283,13,12
194,835.742,292.784,0,830,283,13,21
72,902.444,287.833,0,898,283,10,10
101,633.030,291.950,0,628,287,12,11
116,762.716,294.397,0,758,288,12,15
102,690.529,293.931,0,685,289,12,11
79,873.139,293.367,0,869,289,9,10
105,554.362,296.305,0,550,290,10,13
50,486.700,294.320,0,483,291,9,8
117,721.265,298.376,0,717,291,10,17
53,895.811,295.906,0,893,292,7,9
112,423.357,297.929,0,418,293,12,11
176,526.722,303.040,0,521,295,12,18
72,890.236,302.653,0,887,296,7,14
146,909.205,300.370,0,895,296,28,10
78,883.782,301.756,0,879,297,10,11
88,860.068,307.852,0,855,303,11,10
94,491.394,309.681,0,487,304,10,12
100,922.780,312.410,0,918,307,11,12
73,890.192,314.068,0,886,309,10,11
83,913.904,313.940,0,910,309,9,11
