 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,51,666.578,96.559,40.042,662,92,9,9,0.400,10.296,664,92,119.055,8.974,1.096,0.913,0.734
2,34,563.235,104.765,24.385,559,100,8,8,0.719,9.434,559,107,32.005,5.657,1.894,0.528,0.773
3,34,480.735,135.029,24.142,476,131,8,7,0.733,10.000,476,137,36.870,6.091,1.884,0.531,0.782
4,29,591.879,135.983,20.971,588,133,7,7,0.829,8.062,590,133,119.745,6.002,1.397,0.716,0.795
5,86,525.477,138.651,38.042,519,134,13,9,0.747,13.601,519,138,162.897,9.000,1.502,0.666,0.869
6,70,622.171,145.171,42.284,617,140,10,10,0.492,11.662,617,148,30.964,9.707,1.253,0.798,0.819
7,87,721.270,147.730,49.355,713,143,15,9,0.449,15.297,713,149,11.310,9.000,1.781,0.561,0.784
8,37,522.797,147.203,22.728,519,144,7,7,0.900,8.485,519,145,135.000,7.000,1.015,0.986,0.892
9,34,528.941,148.000,22.142,526,144,6,8,0.871,9.434,526,152,57.995,5.821,1.706,0.586,0.872
10,32,713.531,159.781,28.971,709,155,7,9,0.479,10.296,711,164,60.945,6.715,1.898,0.527,0.660
11,65,775.115,162.485,36.870,771,157,8,11,0.601,11.705,773,168,70.017,8.000,1.430,0.699,0.850
12,69,640.630,168.138,41.698,635,163,10,10,0.499,11.662,638,163,120.964,9.839,1.235,0.810,0.826
13,54,743.148,177.167,35.213,739,173,8,9,0.547,10.817,739,173,123.690,8.000,1.278,0.782,0.850
14,25,773.860,181.540,20.728,771,177,5,8,0.731,9.434,771,185,57.995,4.802,2.342,0.427,0.820
15,56,554.732,182.107,33.213,550,178,9,8,0.638,10.296,550,184,29.055,8.000,1.227,0.815,0.868
16,39,525.141,185.192,32.627,520,181,9,9,0.460,10.000,520,183,143.130,7.600,1.468,0.681,0.645
17,61,832.057,185.746,32.385,828,181,8,10,0.731,10.817,829,181,123.690,8.000,1.385,0.722,0.871
18,75,665.807,191.553,42.284,661,186,9,11,0.527,12.530,663,186,118.610,9.000,1.380,0.725,0.862
19,35,700.643,192.986,33.456,697,189,7,8,0.393,8.944,698,189,116.565,7.000,1.244,0.804,0.686
20,62,676.339,196.919,35.799,672,192,8,10,0.608,11.402,672,193,127.875,8.000,1.373,0.728,0.855
21,34,871.882,200.382,20.728,869,197,6,7,0.994,8.062,870,204,60.255,6.000,1.308,0.764,0.907
22,54,430.074,211.037,32.870,425,206,10,11,0.628,11.705,428,206,109.983,8.404,1.369,0.730,0.706
23,59,706.805,211.907,38.042,702,207,9,9,0.512,11.402,702,209,142.125,9.000,1.240,0.807,0.837
24,47,772.372,212.798,36.042,768,208,8,9,0.455,10.296,769,217,60.945,8.000,1.250,0.800,0.752
25,60,851.917,215.517,26.971,848,211,8,9,1.000,10.000,848,212,126.870,8.000,1.100,0.909,0.930
26,53,872.028,215.934,32.627,868,211,8,10,0.626,11.180,869,221,63.435,8.000,1.516,0.660,0.803
27,49,528.398,217.071,37.213,524,213,8,9,0.445,10.296,525,213,119.055,8.000,1.266,0.790,0.772
28,59,425.822,221.805,38.284,421,216,10,12,0.506,13.892,422,228,59.744,8.310,1.904,0.525,0.682
29,35,502.443,219.157,28.971,498,216,8,8,0.524,10.630,498,216,131.186,6.872,1.844,0.542,0.686
30,36,712.861,228.500,26.971,708,224,8,8,0.622,10.630,708,232,41.186,6.656,1.874,0.534,0.735
31,91,527.324,237.511,39.456,520,232,14,10,0.735,14.866,520,241,19.654,9.851,1.566,0.639,0.847
32,69,646.572,238.268,40.870,641,234,11,9,0.519,11.402,641,236,164.745,9.000,1.149,0.870,0.826
33,43,576.988,239.337,32.627,571,235,11,8,0.508,12.083,571,240,24.444,7.761,1.814,0.551,0.667
34,62,663.387,242.274,36.870,659,237,9,10,0.573,11.180,661,237,116.565,8.854,1.322,0.756,0.838
35,30,425.000,240.433,22.971,420,238,9,5,0.714,9.487,420,239,161.565,5.000,2.142,0.467,0.789
36,78,515.821,244.103,38.042,510,238,11,12,0.677,14.213,511,239,129.289,9.192,1.679,0.595,0.812
37,115,633.274,251.491,63.941,628,244,11,15,0.353,16.155,630,244,111.801,11.000,1.430,0.699,0.807
38,144,511.681,252.646,63.012,501,247,22,12,0.456,23.770,501,250,157.751,10.511,2.748,0.364,0.746
39,27,710.981,251.278,21.314,709,247,4,8,0.747,8.944,709,247,116.565,4.000,2.096,0.477,0.900
40,41,925.280,250.134,29.899,918,248,13,4,0.576,13.153,918,249,171.254,4.000,3.336,0.300,0.891
41,67,578.052,255.530,37.213,574,250,8,11,0.608,11.402,577,261,74.745,8.000,1.325,0.755,0.865
42,66,910.000,252.136,39.556,902,250,17,6,0.530,17.263,902,250,169.992,6.000,3.584,0.279,0.815
43,69,891.993,253.152,42.728,882,251,19,5,0.475,19.416,882,255,11.889,4.909,4.702,0.213,0.852
44,61,931.779,255.090,49.799,919,253,22,4,0.309,22.091,919,255,174.806,4.000,5.922,0.169,0.787
45,42,505.690,258.714,23.556,502,255,7,8,0.951,10.000,502,255,126.870,6.800,1.562,0.640,0.894
46,44,745.500,261.341,27.213,741,257,9,9,0.747,10.817,741,258,146.310,7.603,1.727,0.579,0.765
47,56,538.375,262.571,38.870,534,258,9,9,0.466,10.296,535,258,119.055,9.000,1.056,0.947,0.806
48,44,931.136,262.705,32.627,926,259,9,8,0.519,9.487,926,261,161.565,8.000,1.191,0.840,0.727
49,52,735.712,263.885,37.799,727,261,16,6,0.457,16.125,727,263,172.875,6.000,3.929,0.255,0.722
50,52,437.981,265.808,34.042,433,262,10,8,0.564,11.180,433,263,153.435,8.000,1.483,0.674,0.770
51,27,507.204,267.056,18.728,504,264,6,6,0.967,7.810,505,264,129.806,5.657,1.349,0.741,0.885
52,69,636.703,268.051,48.142,625,264,21,6,0.374,21.587,625,270,13.392,5.897,5.369,0.186,0.742
53,35,895.214,271.043,21.556,891,268,8,6,0.947,8.544,891,270,159.444,6.000,1.291,0.775,0.875
54,30,689.433,273.533,20.728,687,270,5,7,0.877,8.062,687,270,119.745,5.000,1.446,0.692,0.909
55,54,820.130,278.037,27.799,816,274,9,8,0.878,10.000,816,281,36.870,8.000,1.089,0.919,0.871
56,59,896.822,279.839,29.556,893,275,8,10,0.849,11.180,894,285,63.435,7.891,1.492,0.670,0.868
57,70,556.386,282.143,30.042,551,277,10,10,0.975,10.817,553,278,123.690,9.192,1.180,0.848,0.892
58,80,653.825,285.188,50.527,648,278,13,14,0.394,18.385,648,291,45.000,8.485,2.281,0.438,0.737
59,25,661.420,283.260,20.142,659,279,5,8,0.774,8.944,659,287,63.435,4.919,1.964,0.509,0.847
60,47,614.181,284.032,32.627,610,280,8,8,0.555,8.944,612,280,116.565,8.000,1.058,0.945,0.839
61,114,836.632,292.781,51.355,831,284,11,19,0.543,19.925,833,284,107.526,8.895,2.488,0.402,0.800
62,43,488.453,288.360,30.627,483,285,10,9,0.576,13.454,483,285,138.013,6.254,2.498,0.400,0.748
63,38,398.500,290.921,28.385,394,287,8,9,0.593,10.000,395,287,126.870,7.155,1.666,0.600,0.691
64,66,762.818,294.030,28.971,759,289,8,10,0.988,11.180,760,299,63.435,8.000,1.272,0.786,0.936
