Area,X,Y,Perim.,BX,BY,Width,Height
62,671.548,104.371,0,668,99,8,11
120,692.117,105.058,0,685,100,15,10
72,746.306,113.042,0,743,108,8,11
100,500.800,127.680,0,496,122,11,12
62,561.758,131.581,0,558,127,8,10
74,613.230,139.581,0,609,135,9,10
177,549.062,144.390,0,542,137,15,16
84,591.202,141.393,0,586,137,11,10
30,567.467,144.067,0,565,141,6,7
48,529.125,149.250,0,526,146,8,8
108,719.880,151.722,0,714,147,13,11
60,444.433,155.467,0,442,148,6,14
81,451.395,154.481,0,448,148,8,13
80,570.362,152.375,0,566,148,10,10
66,657.273,158.879,0,656,148,4,22
178,535.674,156.062,0,528,149,16,17
75,525.653,158.853,0,522,153,8,12
84,444.571,166.179,0,440,161,10,11
65,715.723,165.123,0,711,161,9,10
31,702.000,166.000,0,699,164,7,5
72,710.653,170.139,0,706,164,11,11
69,428.623,169.565,0,424,165,10,11
82,689.122,174.402,0,685,169,9,12
59,426.525,175.763,0,421,171,11,10
102,702.471,176.255,0,697,171,12,12
65,658.415,182.554,0,657,173,4,21
92,714.109,177.424,0,707,173,13,10
44,446.159,180.773,0,444,176,6,11
75,476.920,184.707,0,472,180,10,10
40,711.325,183.825,0,708,181,8,6
99,580.929,190.929,0,576,186,11,11
38,468.684,194.789,0,466,192,7,7
83,602.000,200.566,0,598,195,9,12
42,476.262,201.310,0,473,198,8,8
57,791.667,205.316,0,788,201,8,10
85,753.388,211.200,0,750,205,9,15
79,738.228,214.620,0,732,210,12,10
168,560.226,218.351,0,551,212,18,13
168,415.637,231.542,0,410,221,12,20
102,372.392,228.108,0,367,223,12,11
49,880.469,229.776,0,877,225,9,9
79,701.658,230.747,0,697,226,10,11
64,574.172,241.094,0,570,237,9,9
82,509.329,246.829,0,505,241,9,13
75,533.293,245.880,0,529,241,9,11
86,516.512,247.744,0,513,242,9,12
255,367.173,251.957,0,354,243,24,18
170,591.671,251.747,0,585,243,14,18
77,896.961,252.130,0,893,247,9,11
124,402.565,257.153,0,396,249,14,16
65,733.323,252.323,0,729,249,10,8
58,603.345,255.690,0,600,251,8,10
84,451.321,258.000,0,447,253,9,11
38,516.553,256.921,0,513,254,8,7
78,636.987,258.590,0,633,254,9,10
120,798.875,262.383,0,793,254,14,18
52,361.981,259.192,0,358,255,9,9
61,544.557,258.951,0,541,255,8,9
204,568.740,263.392,0,561,255,16,17
116,386.560,265.103,0,379,258,13,15
48,598.812,261.812,0,595,258,8,9
135,395.889,267.770,0,392,259,9,19
170,404.724,271.982,0,400,262,11,21
84,453.369,271.190,0,449,264,9,14
34,368.735,266.853,0,365,265,9,5
73,556.110,270.014,0,552,265,9,11
52,382.269,271.827,0,378,267,10,10
45,625.222,271.867,0,622,268,8,8
147,886.864,276.925,0,873,272,28,9
131,451.740,282.924,0,445,276,14,16
145,342.386,284.717,0,336,277,13,16
71,476.183,281.535,0,472,277,9,10
94,689.074,284.777,0,685,279,10,12
69,801.435,282.667,0,794,280,15,6
18,435.000,284.889,0,433,283,5,5
108,639.083,290.361,0,631,286,16,10
87,576.011,291.517,0,571,287,11,10
75,957.760,293.200,0,953,288,10,11
76,589.263,291.697,0,582,289,16,6
140,615.364,291.121,0,600,289,31,5
46,725.935,292.652,0,722,290,9,7
172,484.128,293.930,0,467,291,36,6
83,438.108,295.398,0,432,292,12,9
46,446.043,299.565,0,442,296,8,8
52,723.365,301.942,0,720,297,7,10
74,341.135,304.297,0,337,300,9,10
103,505.466,305.515,0,500,300,12,12
78,391.090,306.090,0,387,301,9,11
16,465.500,305.500,0,464,304,4,4
93,891.344,309.441,0,887,304,10,12
89,412.079,309.640,0,407,305,11,10
122,523.713,311.910,0,519,305,12,15
63,872.905,310.667,0,868,307,11,8
72,940.861,310.611,0,936,307,11,9
115,863.583,314.852,0,858,309,12,13
78,548.756,315.333,0,544,311,10,10
84,758.464,318.726,0,754,314,10,11
93,789.774,320.882,0,785,315,11,12
77,537.506,321.883,0,532,318,12,10
76,371.934,325.079,0,368,320,9,11
51,531.706,325.000,0,528,320,9,10
98,796.867,328.153,0,793,322,9,13
26,865.385,325.000,0,864,322,4,7
72,970.250,326.694,0,966,322,9,10
77,593.013,328.156,0,589,324,10,10
87,887.621,329.034,0,883,324,10,11
33,537.636,329.909,0,535,327,6,7
84,785.488,332.857,0,778,329,15,8
79,768.962,335.215,0,765,330,9,11
76,495.671,335.118,0,491,331,10,10
84,481.024,337.940,0,477,333,9,11
107,535.159,338.523,0,529,333,13,12
81,347.160,339.099,0,343,334,9,11
93,851.989,339.505,0,847,334,11,12
85,925.294,343.400,0,920,338,11,12
73,841.877,343.356,0,838,339,10,10
79,531.152,346.177,0,527,340,11,12
76,846.434,350.118,0,842,344,9,12
51,920.412,348.647,0,917,344,8,10
74,786.838,351.189,0,783,347,9,10
40,530.500,353.625,0,527,350,8,8
129,521.558,358.085,0,516,352,13,15
77,919.234,359.299,0,915,354,10,12
87,755.299,361.586,0,751,356,9,12
76,532.579,361.671,0,528,358,11,10
55,477.127,368.127,0,474,364,8,9
66,490.788,369.121,0,487,365,9,10
139,340.662,372.590,0,335,366,13,15
58,366.483,370.086,0,363,366,9,9
54,564.556,370.444,0,561,367,8,9
67,827.164,373.343,0,823,369,9,10
75,719.480,376.720,0,716,372,8,11
54,292.519,378.185,0,289,374,8,9
67,385.418,382.388,0,382,378,8,10
134,595.157,384.985,0,589,379,13,13
78,830.949,387.910,0,827,381,9,15
60,842.583,385.467,0,838,382,11,8
62,966.790,392.645,0,963,388,9,10
67,913.776,393.030,0,910,389,9,10
83,842.819,395.048,0,838,390,11,11
62,903.710,396.339,0,900,392,9,10
90,442.544,399.411,0,438,393,9,14
200,427.810,403.715,0,421,394,13,20
104,834.269,400.317,0,829,395,11,12
90,916.378,401.600,0,912,396,10,12
83,410.627,402.867,0,406,398,10,11
52,599.808,402.558,0,596,398,8,10
75,723.027,404.013,0,719,399,9,11
77,766.065,402.532,0,761,399,11,8
58,454.983,403.931,0,451,400,8,9
68,419.015,407.191,0,415,401,9,13
67,509.134,407.343,0,505,403,9,10
116,907.078,411.931,0,902,405,11,16
38,900.684,410.658,0,898,407,6,9
64,443.578,413.078,0,439,408,9,11
78,841.795,413.141,0,837,409,11,10
81,546.889,415.259,0,542,411,11,9
63,558.476,415.190,0,554,411,9,9
89,881.382,414.090,0,875,411,14,8
67,423.806,416.075,0,420,412,9,9
48,873.750,418.333,0,871,414,7,9
71,528.859,419.394,0,525,415,9,10
90,893.889,419.311,0,889,415,11,11
48,912.000,419.500,0,909,416,7,8
68,883.118,421.000,0,878,417,11,9
141,901.135,425.567,0,894,418,15,16
69,439.275,424.493,0,436,419,7,12
44,685.841,424.432,0,683,420,6,10
75,723.480,425.520,0,719,421,9,11
84,831.881,425.893,0,827,421,10,11
69,463.406,431.681,0,461,422,5,20
165,890.121,434.406,0,887,423,9,25
67,381.090,430.522,0,377,426,9,10
129,311.000,432.581,0,303,427,15,13
64,636.609,431.641,0,633,427,8,11
78,647.192,433.782,0,643,428,9,13
68,454.382,433.691,0,450,429,9,10
64,363.734,434.844,0,360,431,9,9
66,896.667,437.742,0,893,433,9,10
80,396.238,438.675,0,392,434,9,11
66,567.379,438.364,0,564,434,8,10
82,655.732,437.963,0,649,434,13,9
74,874.784,439.284,0,871,434,9,12
50,906.500,436.880,0,902,434,12,7
91,724.451,440.802,0,720,435,10,13
118,636.449,443.254,0,631,436,12,14
52,911.308,442.827,0,908,439,7,9
66,903.773,444.909,0,900,440,9,11
39,522.949,445.051,0,520,442,7,7
74,623.973,447.081,0,620,442,10,12
86,897.500,448.279,0,893,443,10,12
113,918.478,449.938,0,913,443,12,16
185,360.438,456.995,0,356,446,10,23
76,286.461,451.197,0,282,447,10,9
135,930.311,453.615,0,922,448,16,12
44,487.773,452.432,0,484,449,9,8
170,493.671,459.000,0,487,451,14,17
31,590.613,454.194,0,588,451,6,7
76,532.158,457.500,0,528,453,9,10
45,301.978,458.178,0,299,455,7,8
23,585.957,457.783,0,584,455,5,6
62,754.113,459.661,0,750,455,9,10
51,293.510,458.333,0,289,456,10,6
36,591.806,459.472,0,588,457,8,6
36,281.056,460.083,0,276,458,10,5
79,868.886,466.342,0,867,458,5,18
105,572.886,464.257,0,567,460,13,10
155,380.071,469.929,0,373,463,14,16
101,284.614,468.614,0,279,464,13,11
91,298.934,468.571,0,291,464,16,9
94,409.479,469.745,0,403,464,13,13
58,401.862,468.810,0,398,465,9,9
102,390.373,472.118,0,385,467,13,12
136,612.647,472.735,0,606,467,14,12
283,562.095,478.806,0,552,470,23,17
61,649.984,474.541,0,647,470,7,11
81,597.198,475.185,0,592,471,11,9
125,669.728,480.176,0,665,471,11,18
45,287.933,475.022,0,283,472,11,6
63,414.143,475.508,0,407,472,13,8
102,298.804,477.255,0,292,473,14,9
245,836.445,484.400,0,828,474,17,22
200,922.600,477.210,0,903,475,41,6
25,279.680,478.240,0,277,476,6,6
209,408.981,484.459,0,400,477,20,15
150,330.833,483.567,0,323,478,16,13
55,613.291,480.545,0,607,478,13,6
37,797.270,481.108,0,793,479,9,5
86,810.965,480.721,0,802,479,20,5
50,283.220,483.320,0,278,480,11,7
100,386.900,487.310,0,383,480,11,14
77,293.688,485.000,0,288,481,14,8
85,585.129,486.565,0,580,482,11,10
93,825.989,490.323,0,821,484,11,13
61,847.066,487.918,0,843,484,9,9
38,312.763,488.026,0,309,485,8,7
133,307.075,491.910,0,300,486,17,11
206,557.267,489.277,0,533,486,48,7
34,285.000,489.412,0,282,487,7,6
76,857.355,490.105,0,851,487,14,8
117,335.872,492.769,0,327,488,18,9
65,678.185,491.154,0,672,488,13,7
64,688.828,491.766,0,685,488,9,9
42,278.452,494.500,0,277,489,4,12
52,293.288,492.769,0,289,489,9,9
194,500.196,491.804,0,477,489,48,6
144,671.146,502.653,0,668,490,11,23
84,695.702,495.714,0,691,490,10,12
66,468.864,495.182,0,465,491,8,10
134,735.201,497.515,0,730,491,12,16
164,870.506,514.823,0,867,491,8,49
179,359.268,497.816,0,343,492,30,10
117,454.615,496.188,0,448,492,17,12
81,603.272,496.741,0,599,492,10,10
80,652.875,498.762,0,649,493,9,12
65,852.754,497.246,0,849,493,10,10
35,297.600,498.543,0,294,496,8,7
