 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,32,671.375,104.406,22.142,669,100,5,9,0.820,9.487,670,100,108.435,5.000,1.995,0.501,0.853,cell
2,60,689.733,105.933,35.456,684,102,13,7,0.600,13.928,684,103,158.962,7.000,2.195,0.456,0.795,cell
3,47,746.372,113.202,25.556,743,108,6,10,0.904,10.440,745,118,73.301,6.000,1.680,0.595,0.913,cell
4,72,501.111,127.778,31.456,496,122,10,11,0.914,12.207,497,123,124.992,8.485,1.476,0.678,0.883,cell
5,40,562.025,131.800,24.385,559,127,6,9,0.845,9.487,561,127,108.435,6.000,1.485,0.673,0.860,cell
6,27,804.500,134.315,21.556,802,131,5,7,0.730,8.062,803,131,119.745,5.000,1.549,0.646,0.831,cell
7,42,613.381,139.738,24.971,610,136,7,8,0.846,9.434,612,144,57.995,7.000,1.354,0.738,0.866,cell
8,25,590.380,140.700,18.728,588,138,6,6,0.896,7.810,588,144,39.806,5.400,1.545,0.647,0.862,cell
9,93,549.737,146.016,41.698,544,140,12,12,0.672,15.000,545,140,126.870,10.165,1.311,0.763,0.802,cell
10,185,535.754,157.938,79.740,527,147,16,23,0.366,25.942,528,147,117.553,14.856,1.805,0.554,0.707,cell
11,52,719.192,152.000,30.627,715,148,10,9,0.697,11.662,715,155,30.964,7.766,1.716,0.583,0.788,cell
12,37,458.797,153.473,25.213,455,149,7,9,0.731,9.220,459,149,102.529,6.864,1.412,0.708,0.796,cell
13,39,570.526,152.833,32.042,567,149,7,8,0.477,9.434,568,149,122.005,7.000,1.327,0.753,0.788,cell
14,45,769.456,160.144,27.213,766,155,7,10,0.764,10.440,769,155,106.699,6.647,1.697,0.589,0.818,cell
15,69,444.790,165.036,40.870,440,156,8,15,0.519,15.297,444,156,101.310,8.000,2.226,0.449,0.746,cell
16,171,713.541,173.711,79.497,708,162,11,24,0.340,25.000,710,186,73.740,11.000,2.354,0.425,0.747,cell
17,77,424.812,170.981,49.012,419,166,12,13,0.403,16.401,420,166,127.569,9.899,1.387,0.721,0.675,cell
18,47,689.245,174.755,27.556,686,170,7,10,0.778,11.402,686,179,52.125,6.325,1.982,0.505,0.847,cell
19,38,703.816,177.658,24.971,700,173,8,8,0.766,9.434,703,173,122.005,6.708,1.497,0.668,0.800,cell
20,45,475.211,185.100,30.385,470,181,9,8,0.613,11.402,470,182,142.125,7.495,1.646,0.607,0.769,cell
21,61,602.123,200.992,27.799,598,196,8,10,0.992,10.440,601,196,106.699,8.000,1.255,0.797,0.904,cell
22,32,791.969,205.531,21.314,789,202,6,7,0.885,8.602,790,209,54.462,5.687,1.518,0.659,0.877,cell
23,28,523.643,209.143,20.728,521,205,5,8,0.819,8.944,522,205,116.565,4.608,2.150,0.465,0.848,cell
24,145,757.252,213.672,59.598,750,206,16,15,0.513,18.028,751,219,33.690,14.795,1.110,0.901,0.767,cell
25,87,735.029,216.983,46.284,729,211,13,13,0.510,16.279,729,222,42.510,9.907,1.853,0.540,0.702,cell
26,25,562.660,219.420,18.728,560,216,6,6,0.896,8.485,560,216,135.000,5.200,1.769,0.565,0.862,cell
27,66,372.924,228.318,29.799,368,224,10,9,0.934,11.180,368,231,26.565,8.497,1.306,0.766,0.898,cell
28,44,881.273,229.250,32.870,877,225,8,9,0.512,10.630,877,226,138.814,8.000,1.155,0.866,0.746,cell
29,54,701.722,231.111,27.799,698,227,8,9,0.878,10.296,700,236,60.945,8.000,1.342,0.745,0.885,cell
30,40,574.350,241.475,22.971,571,237,7,8,0.953,8.944,573,237,116.565,6.934,1.319,0.758,0.879,cell
31,41,533.402,246.280,25.799,530,242,7,8,0.774,9.220,531,243,130.601,7.000,1.262,0.792,0.828,cell
32,85,516.688,251.300,45.113,513,243,8,17,0.525,17.263,515,260,79.992,8.000,2.523,0.396,0.756,cell
33,172,368.721,255.215,71.740,360,247,17,16,0.420,18.788,360,261,25.201,16.000,1.167,0.857,0.787,cell
34,30,896.367,252.533,22.142,894,248,5,9,0.769,9.220,896,248,102.529,4.808,2.115,0.473,0.822,cell
35,39,733.603,252.474,24.971,730,249,8,7,0.786,9.434,730,255,32.005,7.000,1.450,0.690,0.812,cell
36,61,451.975,258.172,29.213,448,253,8,11,0.898,11.402,451,253,105.255,8.000,1.339,0.747,0.884,cell
37,43,636.849,258.593,24.971,634,254,6,9,0.867,9.487,636,254,108.435,6.000,1.575,0.635,0.887,cell
38,72,387.000,267.069,36.042,381,262,10,12,0.697,13.454,382,264,131.987,9.899,1.207,0.829,0.837,cell
39,46,556.457,270.043,24.142,553,266,7,8,0.992,9.434,554,274,57.995,7.000,1.277,0.783,0.920,cell
40,86,451.919,278.616,51.113,446,270,11,17,0.414,17.117,454,270,96.710,10.616,1.517,0.659,0.669,cell
41,41,476.500,281.841,24.971,473,278,7,8,0.826,8.944,475,278,116.565,6.864,1.296,0.772,0.854,cell
42,89,700.096,290.635,40.042,696,283,9,15,0.698,15.811,698,283,108.435,7.981,2.238,0.447,0.852,cell
43,47,957.394,291.649,31.213,954,287,7,9,0.606,10.296,956,287,119.055,7.000,1.423,0.703,0.803,cell
44,46,438.478,295.630,29.213,433,292,11,8,0.677,11.045,433,294,174.806,7.603,1.343,0.745,0.773,cell
45,36,723.306,301.861,24.385,720,297,6,9,0.761,9.487,722,306,71.565,6.000,1.707,0.586,0.818,cell
46,39,340.808,304.577,28.627,337,301,8,8,0.598,8.944,339,301,116.565,7.649,1.218,0.821,0.750,cell
47,47,505.223,305.947,29.213,501,302,9,8,0.692,10.296,501,308,29.055,7.906,1.349,0.741,0.803,cell
48,176,866.744,312.062,68.184,859,302,17,20,0.476,20.616,859,318,39.094,15.346,1.545,0.647,0.733,cell
49,28,390.464,306.714,24.385,388,303,6,8,0.592,8.544,389,303,110.556,5.883,1.715,0.583,0.691,cell
50,53,891.670,309.953,27.799,888,305,8,10,0.862,10.770,890,315,68.199,7.589,1.495,0.669,0.855,cell
51,55,412.373,310.155,26.385,408,306,9,8,0.993,9.849,408,312,23.962,8.000,1.136,0.880,0.894,cell
52,70,524.100,312.186,33.456,520,306,9,12,0.786,13.000,521,306,112.620,8.731,1.635,0.612,0.848,cell
53,38,941.026,310.895,24.971,937,308,9,7,0.766,9.849,937,313,23.962,6.715,1.640,0.610,0.792,cell
54,47,548.989,315.926,24.971,545,312,8,8,0.947,8.602,546,313,125.538,8.000,1.034,0.967,0.879,cell
55,46,758.478,319.000,25.314,755,315,7,8,0.902,10.000,756,315,126.870,6.864,1.400,0.714,0.911,cell
56,41,789.159,321.207,27.213,786,317,7,9,0.696,9.487,788,317,108.435,6.905,1.532,0.653,0.774,cell
57,41,372.012,325.305,26.385,369,321,6,9,0.740,9.849,371,330,66.038,6.000,1.545,0.647,0.863,cell
58,39,796.756,328.269,26.971,794,323,6,10,0.674,10.440,796,333,73.301,5.706,2.060,0.485,0.788,cell
59,34,593.088,328.294,24.385,590,325,7,8,0.719,8.944,592,333,63.435,6.200,1.546,0.647,0.810,cell
60,25,886.460,329.540,19.314,884,326,5,7,0.842,8.062,885,333,60.255,4.707,1.844,0.542,0.847,cell
61,31,324.048,333.210,22.971,321,330,6,7,0.738,7.810,322,330,129.806,6.000,1.145,0.873,0.838,cell
62,27,716.426,334.389,23.799,714,330,5,9,0.599,9.220,716,330,102.529,5.000,2.058,0.486,0.701,cell
63,42,768.929,335.714,26.971,766,331,7,9,0.726,10.296,767,331,119.055,6.731,1.730,0.578,0.800,cell
64,69,864.993,339.094,51.698,861,331,8,20,0.324,20.224,864,331,98.531,7.930,2.832,0.353,0.619,cell
65,43,495.872,335.407,24.142,492,332,8,7,0.927,9.434,492,333,147.995,7.000,1.269,0.788,0.887,cell
66,58,481.172,338.414,26.971,477,334,8,9,1.000,10.296,479,334,119.055,8.000,1.178,0.849,0.928,cell
67,51,347.461,339.441,26.142,344,335,7,9,0.938,9.849,346,335,113.962,7.000,1.351,0.740,0.911,cell
68,49,852.357,339.520,28.385,849,335,8,10,0.764,11.402,849,344,52.125,7.155,1.852,0.540,0.803,cell
69,39,314.244,339.808,25.799,311,336,7,8,0.736,8.944,313,344,63.435,7.000,1.342,0.745,0.812,cell
70,47,642.500,341.351,26.971,639,337,7,9,0.812,9.849,641,337,113.962,7.000,1.493,0.670,0.855,cell
71,70,924.586,345.129,44.527,919,339,10,13,0.444,14.318,922,352,65.225,9.604,1.705,0.586,0.714,cell
72,26,841.192,343.923,24.627,838,340,7,8,0.539,8.944,840,348,63.435,5.757,1.785,0.560,0.650,cell
73,37,846.473,351.392,27.213,843,347,7,9,0.628,9.220,847,347,102.529,6.905,1.396,0.716,0.747,cell
74,29,786.466,351.431,25.556,784,348,6,7,0.558,8.602,784,355,54.462,6.000,1.464,0.683,0.753,cell
75,36,522.028,357.722,23.556,518,355,8,6,0.815,8.944,518,355,153.435,6.000,1.442,0.694,0.847,cell
76,45,919.856,359.700,26.971,916,356,9,8,0.777,10.817,916,363,33.690,7.028,1.770,0.565,0.796,cell
77,58,755.655,362.017,27.556,752,357,7,10,0.960,10.770,754,357,111.801,7.000,1.408,0.710,0.928,cell
78,36,533.306,361.250,22.728,529,359,9,5,0.876,9.487,529,363,18.435,5.000,1.875,0.533,0.900,cell
79,27,477.389,368.537,18.142,475,365,5,7,1.000,7.280,476,372,74.055,5.000,1.276,0.784,0.885,cell
80,62,341.952,371.129,35.698,336,366,11,10,0.611,13.454,336,376,41.987,8.485,1.706,0.586,0.785,cell
81,30,490.267,369.500,21.556,487,366,6,7,0.811,8.062,489,366,119.745,6.000,1.406,0.711,0.822,cell
82,30,987.833,370.567,24.385,985,366,6,9,0.634,9.849,987,366,113.962,5.515,2.121,0.472,0.723,cell
83,31,366.565,370.661,20.971,363,368,8,6,0.886,8.602,364,374,35.538,5.657,1.561,0.641,0.849,cell
84,25,564.780,370.500,18.728,562,368,6,6,0.896,7.211,562,372,33.690,5.814,1.254,0.798,0.847,cell
85,29,826.810,373.431,21.556,824,370,7,7,0.784,8.062,824,376,29.745,6.200,1.508,0.663,0.763,cell
86,41,719.720,376.817,23.899,717,373,6,8,0.902,10.000,717,381,53.130,6.000,1.557,0.642,0.932,cell
87,31,292.952,378.339,24.385,290,375,7,7,0.655,8.602,290,381,35.538,6.499,1.474,0.679,0.756,cell
88,36,385.972,382.889,24.385,382,378,7,9,0.761,9.220,386,378,102.529,6.668,1.532,0.653,0.809,cell
