 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,32,671.375,104.406,22.142,669,100,5,9,0.820,9.487,670,100,108.435,5.000,1.995,0.501,0.853
2,60,689.733,105.933,35.456,684,102,13,7,0.600,13.928,684,103,158.962,7.000,2.195,0.456,0.795
3,47,746.372,113.202,25.556,743,108,6,10,0.904,10.440,745,118,73.301,6.000,1.680,0.595,0.913
4,72,501.111,127.778,31.456,496,122,10,11,0.914,12.207,497,123,124.992,8.485,1.476,0.678,0.883
5,40,562.025,131.800,24.385,559,127,6,9,0.845,9.487,561,127,108.435,6.000,1.485,0.673,0.860
6,27,804.500,134.315,21.556,802,131,5,7,0.730,8.062,803,131,119.745,5.000,1.549,0.646,0.831
7,42,613.381,139.738,24.971,610,136,7,8,0.846,9.434,612,144,57.995,7.000,1.354,0.738,0.866
8,25,590.380,140.700,18.728,588,138,6,6,0.896,7.810,588,144,39.806,5.400,1.545,0.647,0.862
9,93,549.737,146.016,41.698,544,140,12,12,0.672,15.000,545,140,126.870,10.165,1.311,0.763,0.802
10,52,719.192,152.000,30.627,715,148,10,9,0.697,11.662,715,155,30.964,7.766,1.716,0.583,0.788
11,37,458.797,153.473,25.213,455,149,7,9,0.731,9.220,459,149,102.529,6.864,1.412,0.708,0.796
12,39,570.526,152.833,32.042,567,149,7,8,0.477,9.434,568,149,122.005,7.000,1.327,0.753,0.788
13,100,535.770,155.460,46.870,529,150,14,13,0.572,16.401,532,163,52.431,11.094,1.534,0.652,0.766
14,45,769.456,160.144,27.213,766,155,7,10,0.764,10.440,769,155,106.699,6.647,1.697,0.589,0.818
15,69,444.790,165.036,40.870,440,156,8,15,0.519,15.297,444,156,101.310,8.000,2.226,0.449,0.746
16,57,537.904,164.711,30.971,534,160,8,10,0.747,11.180,535,160,116.565,8.000,1.389,0.720,0.832
17,56,714.500,166.179,30.385,709,162,10,8,0.762,11.662,709,169,30.964,8.000,1.317,0.759,0.830
18,77,424.812,170.981,49.012,419,166,12,13,0.403,16.401,420,166,127.569,9.899,1.387,0.721,0.675
19,47,689.245,174.755,27.556,686,170,7,10,0.778,11.402,686,179,52.125,6.325,1.982,0.505,0.847
20,90,713.556,176.300,43.456,708,170,11,12,0.599,15.000,709,170,126.870,10.307,1.583,0.632,0.826
21,38,703.816,177.658,24.971,700,173,8,8,0.766,9.434,703,173,122.005,6.708,1.497,0.668,0.800
22,45,475.211,185.100,30.385,470,181,9,8,0.613,11.402,470,182,142.125,7.495,1.646,0.607,0.769
23,61,602.123,200.992,27.799,598,196,8,10,0.992,10.440,601,196,106.699,8.000,1.255,0.797,0.904
24,32,791.969,205.531,21.314,789,202,6,7,0.885,8.602,790,209,54.462,5.687,1.518,0.659,0.877
25,28,523.643,209.143,20.728,521,205,5,8,0.819,8.944,522,205,116.565,4.608,2.150,0.465,0.848
26,145,757.252,213.672,59.598,750,206,16,15,0.513,18.028,751,219,33.690,14.795,1.110,0.901,0.767
27,87,735.029,216.983,46.284,729,211,13,13,0.510,16.279,729,222,42.510,9.907,1.853,0.540,0.702
28,25,562.660,219.420,18.728,560,216,6,6,0.896,8.485,560,216,135.000,5.200,1.769,0.565,0.862
29,66,372.924,228.318,29.799,368,224,10,9,0.934,11.180,368,231,26.565,8.497,1.306,0.766,0.898
30,33,880.682,230.045,23.213,877,226,8,8,0.770,10.630,877,226,138.814,4.950,2.313,0.432,0.805
31,54,701.722,231.111,27.799,698,227,8,9,0.878,10.296,700,236,60.945,8.000,1.342,0.745,0.885
32,40,574.350,241.475,22.971,571,237,7,8,0.953,8.944,573,237,116.565,6.934,1.319,0.758,0.879
33,41,533.402,246.280,25.799,530,242,7,8,0.774,9.220,531,243,130.601,7.000,1.262,0.792,0.828
34,56,516.482,248.500,28.971,513,243,8,10,0.838,10.770,514,253,68.199,8.000,1.300,0.769,0.862
35,59,590.093,251.093,38.042,586,245,9,13,0.512,15.264,587,258,58.392,6.957,2.801,0.357,0.724
36,135,370.337,254.507,56.426,362,247,15,16,0.533,16.763,368,247,107.354,12.322,1.403,0.713,0.806
37,30,896.367,252.533,22.142,894,248,5,9,0.769,9.220,896,248,102.529,4.808,2.115,0.473,0.822
38,39,733.603,252.474,24.971,730,249,8,7,0.786,9.434,730,255,32.005,7.000,1.450,0.690,0.812
39,26,394.808,252.962,18.728,392,250,6,6,0.932,7.810,392,255,39.806,5.578,1.403,0.713,0.867
40,30,593.600,256.567,21.314,591,252,5,8,0.830,9.434,591,260,57.995,5.000,1.687,0.593,0.896
41,33,603.833,256.136,21.556,601,252,6,8,0.892,8.246,604,252,104.036,5.918,1.416,0.706,0.835
42,61,451.975,258.172,29.213,448,253,8,11,0.898,11.402,451,253,105.255,8.000,1.339,0.747,0.884
43,29,362.466,258.983,24.385,360,254,6,9,0.613,9.849,361,254,113.962,5.515,2.064,0.484,0.744
44,26,517.154,257.077,18.142,514,254,6,6,0.993,7.211,514,259,33.690,5.547,1.396,0.716,0.867
45,43,636.849,258.593,24.971,634,254,6,9,0.867,9.487,636,254,108.435,6.000,1.575,0.635,0.887
46,27,598.870,261.685,19.314,596,259,6,6,0.910,7.810,596,259,129.806,6.000,1.251,0.800,0.871
47,72,387.000,267.069,36.042,381,262,10,12,0.697,13.454,382,264,131.987,9.899,1.207,0.829,0.837
48,46,556.457,270.043,24.142,553,266,7,8,0.992,9.434,554,274,57.995,7.000,1.277,0.783,0.920
49,86,451.919,278.616,51.113,446,270,11,17,0.414,17.117,454,270,96.710,10.616,1.517,0.659,0.669
50,78,943.205,273.526,45.314,933,271,20,5,0.477,20.616,933,276,14.036,5.000,4.733,0.211,0.897
51,41,476.500,281.841,24.971,473,278,7,8,0.826,8.944,475,278,116.565,6.864,1.296,0.772,0.854
52,79,689.006,285.665,37.213,682,280,12,11,0.717,13.601,682,289,36.027,9.707,1.405,0.712,0.819
53,89,700.096,290.635,40.042,696,283,9,15,0.698,15.811,698,283,108.435,7.981,2.238,0.447,0.852
54,67,640.127,290.799,34.042,633,287,14,8,0.727,14.142,633,292,8.130,8.000,1.683,0.594,0.843
55,47,957.394,291.649,31.213,954,287,7,9,0.606,10.296,956,287,119.055,7.000,1.423,0.703,0.803
56,39,464.346,294.808,25.556,460,291,9,7,0.750,9.849,460,293,156.038,7.000,1.291,0.774,0.796
57,46,438.478,295.630,29.213,433,292,11,8,0.677,11.045,433,294,174.806,7.603,1.343,0.745,0.773
58,65,454.131,297.315,51.213,446,293,13,15,0.311,18.601,447,293,126.254,11.524,1.729,0.578,0.526
59,36,723.306,301.861,24.385,720,297,6,9,0.761,9.487,722,306,71.565,6.000,1.707,0.586,0.818
60,39,340.808,304.577,28.627,337,301,8,8,0.598,8.944,339,301,116.565,7.649,1.218,0.821,0.750
61,47,505.223,305.947,29.213,501,302,9,8,0.692,10.296,501,308,29.055,7.906,1.349,0.741,0.803
62,48,868.375,306.104,31.556,864,302,11,8,0.606,11.705,864,309,19.983,7.519,1.816,0.551,0.762
63,28,390.464,306.714,24.385,388,303,6,8,0.592,8.544,389,303,110.556,5.883,1.715,0.583,0.691
64,53,891.670,309.953,27.799,888,305,8,10,0.862,10.770,890,315,68.199,7.589,1.495,0.669,0.855
65,55,412.373,310.155,26.385,408,306,9,8,0.993,9.849,408,312,23.962,8.000,1.136,0.880,0.894
66,67,523.948,312.082,36.870,520,306,9,12,0.619,13.000,521,306,112.620,8.731,1.660,0.602,0.817
67,38,941.026,310.895,24.971,937,308,9,7,0.766,9.849,937,313,23.962,6.715,1.640,0.610,0.792
68,91,864.214,315.456,35.456,859,310,11,12,0.910,12.649,862,310,108.435,10.607,1.146,0.872,0.897
69,47,548.989,315.926,24.971,545,312,8,8,0.947,8.602,546,313,125.538,8.000,1.034,0.967,0.879
70,46,758.478,319.000,25.314,755,315,7,8,0.902,10.000,756,315,126.870,6.864,1.400,0.714,0.911
71,41,789.159,321.207,27.213,786,317,7,9,0.696,9.487,788,317,108.435,6.905,1.532,0.653,0.774
72,41,372.012,325.305,26.385,369,321,6,9,0.740,9.849,371,330,66.038,6.000,1.545,0.647,0.863
73,39,796.756,328.269,26.971,794,323,6,10,0.674,10.440,796,333,73.301,5.706,2.060,0.485,0.788
74,34,593.088,328.294,24.385,590,325,7,8,0.719,8.944,592,333,63.435,6.200,1.546,0.647,0.810
75,25,886.460,329.540,19.314,884,326,5,7,0.842,8.062,885,333,60.255,4.707,1.844,0.542,0.847
76,31,324.048,333.210,22.971,321,330,6,7,0.738,7.810,322,330,129.806,6.000,1.145,0.873,0.838
77,27,716.426,334.389,23.799,714,330,5,9,0.599,9.220,716,330,102.529,5.000,2.058,0.486,0.701
78,42,768.929,335.714,26.971,766,331,7,9,0.726,10.296,767,331,119.055,6.731,1.730,0.578,0.800
79,34,865.029,334.824,22.971,861,331,8,7,0.810,8.944,861,338,26.565,6.791,1.330,0.752,0.819
80,43,495.872,335.407,24.142,492,332,8,7,0.927,9.434,492,333,147.995,7.000,1.269,0.788,0.887
81,87,534.109,339.489,58.426,528,333,13,16,0.320,16.763,531,349,72.646,13.000,1.358,0.736,0.565
82,58,481.172,338.414,26.971,477,334,8,9,1.000,10.296,479,334,119.055,8.000,1.178,0.849,0.928
83,51,347.461,339.441,26.142,344,335,7,9,0.938,9.849,346,335,113.962,7.000,1.351,0.740,0.911
84,49,852.357,339.520,28.385,849,335,8,10,0.764,11.402,849,344,52.125,7.155,1.852,0.540,0.803
85,39,314.244,339.808,25.799,311,336,7,8,0.736,8.944,313,344,63.435,7.000,1.342,0.745,0.812
