Area,X,Y,Perim.,BX,BY,Width,Height
157,642.796,114.427,0,636,109,15,13
81,534.691,125.272,0,529,121,12,9
80,520.375,129.662,0,515,126,12,9
144,637.118,137.938,0,631,132,13,13
88,712.330,151.261,0,707,147,11,10
67,738.896,152.015,0,733,147,11,13
70,748.657,178.257,0,745,171,8,14
84,600.310,193.417,0,595,189,11,11
82,804.805,193.524,0,800,189,10,10
19,275.053,195.684,0,273,194,5,5
94,654.617,204.596,0,646,200,17,9
238,540.403,209.311,0,531,201,19,18
62,669.387,208.855,0,666,205,8,9
209,616.330,214.522,0,608,207,17,16
95,824.284,223.116,0,819,218,11,11
216,722.449,227.625,0,714,220,19,15
182,666.533,227.819,0,660,221,14,15
68,599.088,229.544,0,595,225,9,10
127,611.173,245.339,0,605,239,13,14
80,556.975,243.950,0,552,240,11,9
269,648.599,248.725,0,640,240,18,19
80,593.150,247.838,0,589,243,9,11
71,843.972,249.352,0,840,245,9,10
70,932.714,250.186,0,928,246,10,9
183,643.880,264.060,0,638,254,14,19
125,387.840,261.872,0,382,256,13,13
107,558.729,260.645,0,553,256,12,11
73,942.918,262.918,0,938,259,10,9
146,906.699,269.041,0,901,263,13,13
53,488.415,273.830,0,485,270,8,9
133,932.150,277.541,0,927,271,12,14
72,782.625,278.000,0,778,274,10,9
162,549.494,285.333,0,543,279,14,15
176,628.705,288.131,0,620,282,18,14
361,796.681,295.338,0,786,284,23,23
87,722.690,295.414,0,719,290,10,13
82,831.854,296.683,0,827,292,11,10
284,728.877,308.553,0,719,298,20,22
118,888.720,304.898,0,881,299,16,12
142,534.056,312.930,0,526,308,18,12
46,673.239,314.022,0,671,309,6,10
73,922.164,312.699,0,917,309,11,10
258,894.391,321.012,0,884,312,22,18
18,163.278,315.111,0,161,313,5,5
58,591.345,318.534,0,587,315,9,8
169,787.953,326.568,0,780,319,17,15
185,907.795,330.422,0,901,323,14,16
171,941.205,336.766,0,935,330,14,15
117,452.949,341.316,0,448,335,11,14
93,913.871,343.753,0,909,339,11,11
46,794.848,348.543,0,791,345,9,8
97,505.536,351.103,0,499,346,13,11
207,426.208,355.242,0,418,348,17,18
101,976.624,356.554,0,972,351,10,12
