 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,49,640.929,114.561,24.728,637,111,8,7,1.000,10.000,637,118,36.870,7.000,1.267,0.789,0.951
2,51,535.088,126.284,31.213,530,123,10,7,0.658,10.440,530,124,163.301,7.000,1.517,0.659,0.843
3,41,520.963,130.085,24.142,517,127,8,7,0.884,10.000,517,133,36.870,6.261,1.589,0.629,0.891
4,54,636.444,140.444,26.142,632,137,9,7,0.993,10.296,632,138,150.945,7.000,1.304,0.767,0.939
5,32,713.781,152.844,20.142,711,149,6,7,0.991,7.810,711,156,39.806,6.000,1.188,0.842,0.901
6,43,685.477,164.360,23.556,682,160,7,8,0.974,10.000,683,160,126.870,7.000,1.482,0.675,0.905
7,127,684.051,184.854,50.527,676,178,15,14,0.625,19.849,676,192,40.914,12.021,1.901,0.526,0.817
8,42,600.405,193.476,22.971,596,190,8,7,1.000,8.944,596,192,153.435,7.000,1.222,0.818,0.903
9,43,804.779,194.058,23.556,801,190,7,8,0.974,8.944,803,190,116.565,7.000,1.209,0.827,0.896
10,63,681.881,196.087,32.385,677,192,10,9,0.755,12.806,677,200,38.660,8.538,1.507,0.664,0.863
11,35,425.614,201.814,22.385,422,198,7,8,0.878,8.246,425,206,75.964,7.000,1.103,0.907,0.833
12,72,540.722,208.722,48.627,536,203,9,12,0.383,13.892,536,203,120.256,9.000,1.373,0.728,0.754
13,31,670.210,209.435,20.142,667,206,6,7,0.960,7.616,669,213,66.801,6.000,1.194,0.838,0.873
14,32,723.625,229.844,20.971,721,226,6,8,0.914,8.246,723,234,75.964,6.000,1.435,0.697,0.853
15,36,599.722,230.417,21.556,596,227,7,7,0.974,8.062,598,234,60.255,7.000,1.125,0.889,0.878
16,37,557.770,244.419,22.385,554,241,8,7,0.928,8.944,554,247,26.565,6.957,1.308,0.765,0.841
17,50,610.140,247.140,24.971,606,243,8,8,1.000,9.434,608,243,122.005,8.000,1.209,0.827,0.901
18,50,593.580,248.300,25.556,590,244,7,9,0.962,9.849,592,253,66.038,7.000,1.255,0.797,0.909
19,95,648.395,251.858,49.941,643,244,10,16,0.479,16.763,644,260,72.646,10.000,1.798,0.556,0.745
20,39,844.115,250.064,22.728,841,246,6,8,0.949,9.434,842,254,57.995,6.000,1.451,0.689,0.918
21,37,933.473,250.905,21.556,930,247,7,7,1.000,9.220,930,248,139.399,6.364,1.406,0.711,0.902
22,39,387.833,260.962,22.971,384,257,8,7,0.929,8.544,384,263,20.556,7.000,1.148,0.871,0.867
23,40,559.200,261.800,22.385,556,258,7,8,1.000,8.544,557,258,110.556,7.000,1.155,0.866,0.879
24,41,943.061,263.305,24.142,939,260,8,7,0.884,10.000,939,261,143.130,6.934,1.491,0.671,0.882
25,28,644.464,265.250,23.799,641,261,6,8,0.621,8.944,643,269,63.435,5.814,1.773,0.564,0.757
26,33,629.318,288.530,20.142,626,285,6,7,1.000,7.616,628,285,113.199,6.000,1.213,0.825,0.904
27,69,805.312,290.746,41.113,797,285,16,11,0.513,19.416,797,285,145.491,6.379,3.756,0.266,0.775
28,68,792.059,294.485,46.870,789,286,9,19,0.389,19.647,791,305,75.256,7.803,3.198,0.313,0.633
29,128,851.516,296.586,55.355,846,288,12,17,0.525,17.464,848,305,66.371,11.642,1.489,0.672,0.826
30,42,842.381,296.548,24.142,839,292,6,9,0.906,9.849,841,301,66.038,6.000,1.551,0.645,0.913
