Area,X,Y,Perim.,BX,BY,Width,Height
1265,824.649,237.656,0,803,220,46,33
93,978.097,322.108,0,974,316,9,14
74,601.838,329.324,0,597,325,10,11
157,671.019,381.452,0,664,375,16,14
72,837.806,387.347,0,833,384,11,8
71,823.296,417.563,0,818,414,12,8
110,871.609,421.809,0,867,416,10,13
136,384.000,434.074,0,376,423,15,21
94,847.064,445.894,0,841,440,14,12
87,766.885,498.276,0,762,494,11,10
58,933.086,500.569,0,930,495,8,11
116,702.129,505.931,0,696,501,13,11
119,930.092,511.790,0,924,505,13,14
128,1057.805,559.859,0,1051,552,15,14
63,555.984,563.317,0,552,560,9,8
88,766.193,575.091,0,761,571,12,9
86,1123.663,600.547,0,1119,595,10,11
76,975.618,634.013,0,972,628,9,13
114,975.807,644.939,0,970,639,13,14
97,483.443,645.340,0,478,640,12,11
102,765.314,665.510,0,760,661,12,10
73,1059.781,668.356,0,1055,664,10,10
150,877.667,728.133,0,872,721,13,15
114,1006.132,769.509,0,1001,764,11,12
192,837.172,791.198,0,830,783,16,17
76,771.421,791.724,0,766,788,11,9
48,526.812,832.250,0,524,828,7,10
79,479.013,842.810,0,474,838,11,10
102,564.088,860.186,0,559,855,11,12
39,752.974,872.128,0,750,869,7,7
55,1283.600,906.873,0,1280,903,8,9
145,151.372,911.821,0,145,906,14,13
167,959.754,931.772,0,952,925,17,16
1450,549.277,968.966,0,525,951,46,44
110,1203.873,957.736,0,1200,951,9,15
141,852.050,994.809,0,846,989,13,13
90,1296.989,1053.000,0,1292,1048,11,11
37,1318.459,1050.919,0,1315,1048,7,7
