 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,26,637.923,254.192,23.556,633,252,10,4,0.589,10.440,633,253,163.301,4.000,3.208,0.312,0.765
2,89,731.601,261.983,38.042,726,255,10,14,0.773,15.652,729,269,63.435,9.527,1.863,0.537,0.873
3,84,927.583,279.024,37.213,922,273,10,12,0.762,13.038,925,274,122.471,10.000,1.184,0.845,0.862
4,37,911.959,281.797,22.385,908,278,7,8,0.928,8.944,910,278,116.565,6.261,1.507,0.664,0.871
5,43,907.337,285.942,25.799,904,281,8,9,0.812,10.817,905,281,123.690,6.247,1.898,0.527,0.835
6,64,920.891,287.172,30.627,916,282,10,10,0.857,12.207,916,291,34.992,8.356,1.531,0.653,0.853
7,40,631.675,286.925,22.971,628,283,7,8,0.953,9.220,628,284,130.601,6.708,1.417,0.706,0.870
8,125,928.340,293.436,47.456,923,286,12,15,0.697,17.029,923,300,49.764,11.571,1.606,0.623,0.812
9,37,866.554,293.149,29.213,862,289,8,10,0.545,10.440,865,289,106.699,6.957,1.581,0.633,0.655
10,38,853.605,293.684,22.728,851,290,6,8,0.924,9.434,851,298,57.995,6.000,1.554,0.643,0.916
11,94,914.500,296.043,41.456,908,291,14,10,0.687,14.318,908,297,12.095,10.000,1.474,0.678,0.836
12,36,859.167,301.889,21.556,855,299,8,6,0.974,8.544,855,303,20.556,6.000,1.229,0.814,0.889
13,132,982.500,322.333,51.598,974,317,18,12,0.623,19.313,974,326,21.251,12.000,1.813,0.552,0.802
14,58,960.500,326.828,31.213,955,323,11,8,0.748,11.402,956,323,142.125,7.727,1.601,0.625,0.817
15,32,466.531,330.531,25.799,463,325,7,10,0.604,11.662,464,335,59.036,4.950,2.920,0.342,0.790
16,25,973.460,329.460,20.971,970,326,7,6,0.714,8.602,970,327,144.462,5.657,1.730,0.578,0.794
17,89,458.736,342.601,42.527,453,335,12,16,0.618,18.028,455,351,56.310,7.488,2.785,0.359,0.832
18,39,488.321,355.167,23.799,484,351,8,8,0.865,10.000,486,351,126.870,5.657,1.821,0.549,0.867
19,133,430.124,365.312,66.326,420,354,21,23,0.380,31.145,420,377,47.603,6.700,6.010,0.166,0.769
20,47,484.181,372.436,24.142,480,369,8,7,1.000,9.220,481,369,130.601,7.000,1.198,0.835,0.922
21,60,830.867,379.717,26.971,827,375,8,9,1.000,10.817,828,375,123.690,8.000,1.267,0.789,0.938
22,112,425.232,384.161,44.184,418,376,14,16,0.721,17.464,422,392,66.371,8.719,2.144,0.467,0.858
23,99,671.662,381.682,38.284,666,376,13,12,0.849,13.928,666,378,158.962,11.800,1.120,0.893,0.857
24,76,455.842,383.855,40.042,450,377,10,13,0.596,15.811,451,377,124.695,8.538,2.008,0.498,0.788
25,31,448.403,385.306,20.728,445,382,7,6,0.907,7.810,445,388,39.806,6.000,1.125,0.889,0.873
26,45,761.656,392.567,24.142,758,389,8,7,0.970,8.602,759,389,125.538,7.000,1.032,0.969,0.909
27,76,761.289,406.118,39.799,758,398,7,16,0.603,16.492,760,414,75.964,6.567,2.846,0.351,0.826
28,66,872.076,422.106,28.971,868,417,8,10,0.988,10.770,870,427,68.199,8.000,1.225,0.816,0.930
29,106,388.481,430.906,66.326,378,420,20,23,0.303,30.480,378,443,48.991,7.496,5.002,0.200,0.656
30,39,440.423,450.090,25.556,435,447,10,6,0.750,10.770,435,452,21.801,5.692,2.139,0.468,0.857
31,92,445.533,456.478,37.456,438,452,15,9,0.824,15.133,438,455,172.405,9.000,1.549,0.645,0.872
32,31,425.500,462.855,22.971,421,460,9,6,0.738,9.487,421,461,161.565,5.261,2.053,0.487,0.785
33,87,446.569,466.132,39.456,438,462,15,9,0.702,16.155,438,464,158.199,8.944,1.999,0.500,0.837
34,96,423.646,471.656,51.113,417,466,14,11,0.462,16.125,417,469,150.255,10.791,1.358,0.736,0.800
35,42,437.024,471.643,26.971,432,468,10,7,0.726,10.817,433,475,33.690,6.008,2.079,0.481,0.816
36,38,418.263,482.132,29.799,414,478,9,10,0.538,12.042,415,479,131.634,7.273,1.942,0.515,0.673
37,59,426.178,487.178,35.213,422,481,8,13,0.598,14.318,422,494,65.225,7.334,2.189,0.457,0.771
38,29,432.603,484.914,21.314,430,481,5,8,0.802,8.944,430,481,116.565,4.932,1.916,0.522,0.853
39,56,457.464,488.946,37.456,452,482,12,11,0.502,13.601,456,482,126.027,8.875,1.479,0.676,0.647
40,127,923.972,495.035,67.355,911,488,20,15,0.352,23.854,911,489,146.976,14.118,1.674,0.597,0.626
41,61,430.402,495.303,33.456,425,491,12,9,0.685,13.000,425,499,22.620,8.666,1.655,0.604,0.767
42,30,457.833,496.933,19.314,455,494,6,6,1.000,7.211,456,494,123.690,6.000,1.107,0.903,0.909
43,61,450.156,501.303,38.042,445,495,11,11,0.530,12.806,447,495,128.660,9.067,1.664,0.601,0.713
44,43,767.407,498.826,23.799,763,495,9,7,0.954,9.849,763,501,23.962,6.957,1.486,0.673,0.869
45,28,933.643,498.286,21.556,931,495,6,7,0.757,7.810,932,495,129.806,5.578,1.344,0.744,0.800
46,28,464.143,499.179,19.314,461,496,6,6,0.943,7.810,461,501,39.806,6.000,1.322,0.756,0.889
47,98,918.735,505.000,39.213,913,499,12,12,0.801,15.000,913,500,143.130,10.171,1.618,0.618,0.856
48,69,702.616,506.152,30.627,697,502,11,9,0.924,11.402,697,505,164.745,9.000,1.248,0.801,0.890
49,142,931.768,509.746,51.456,926,502,12,16,0.674,17.692,926,515,47.291,12.000,1.200,0.834,0.869
50,43,461.337,507.779,22.971,458,504,7,8,1.000,8.602,459,504,125.538,7.000,1.091,0.917,0.896
51,31,446.403,509.403,24.971,442,505,8,8,0.625,10.630,442,505,131.186,5.657,2.238,0.447,0.747
52,35,941.671,512.129,22.485,939,508,5,8,0.870,9.434,939,516,57.995,5.000,1.791,0.558,0.933
53,70,471.571,516.329,32.385,468,510,7,13,0.839,13.601,470,510,107.103,7.000,1.929,0.518,0.915
54,83,454.500,517.608,38.870,449,511,12,12,0.690,15.000,451,511,126.870,9.192,1.703,0.587,0.798
55,28,441.321,519.393,18.728,439,516,5,7,1.000,7.616,440,523,66.801,5.000,1.391,0.719,0.903
56,74,447.500,527.081,39.213,441,520,11,12,0.605,13.038,442,531,57.529,10.695,1.318,0.759,0.759
57,30,1034.033,523.033,18.728,1031,520,6,6,1.000,7.211,1032,520,123.690,6.000,1.107,0.904,0.909
58,31,708.919,525.468,20.142,706,522,6,7,0.960,8.062,707,529,60.255,6.000,1.374,0.728,0.873
59,27,1021.648,529.685,19.314,1018,527,7,5,0.910,8.062,1018,532,29.745,5.000,1.444,0.693,0.885
60,63,1029.516,530.976,30.385,1025,527,10,9,0.858,12.207,1025,535,34.992,8.598,1.538,0.650,0.857
61,46,1039.761,531.826,27.799,1036,527,8,9,0.748,9.487,1038,527,108.435,8.000,1.015,0.985,0.814
62,70,1030.057,538.757,49.355,1020,533,17,10,0.361,17.720,1020,536,163.610,9.275,2.123,0.471,0.556
63,35,529.500,538.414,21.556,526,535,7,7,0.947,9.220,526,541,40.601,5.657,1.664,0.601,0.897
64,26,543.038,547.769,17.556,540,545,6,6,1.000,6.708,541,545,116.565,6.000,1.097,0.912,0.867
65,99,1060.146,559.753,47.698,1053,552,14,13,0.547,15.652,1053,564,26.565,10.521,1.599,0.625,0.759
66,101,546.668,565.144,43.456,538,560,16,11,0.672,17.088,538,567,20.556,10.198,1.807,0.553,0.838
67,71,546.739,575.261,41.698,540,570,14,10,0.513,16.643,540,570,147.265,7.906,2.462,0.406,0.736
68,50,766.660,575.620,25.556,762,572,9,7,0.962,10.296,762,578,29.055,7.000,1.489,0.672,0.917
69,91,471.588,593.027,40.870,466,588,12,11,0.685,14.422,466,589,146.310,11.000,1.260,0.794,0.827
70,39,617.756,593.167,23.799,613,590,9,7,0.865,10.296,613,591,150.945,5.814,1.835,0.545,0.848
71,56,473.696,602.607,38.042,467,599,13,9,0.486,13.342,467,602,12.995,9.000,1.417,0.706,0.683
72,41,678.476,611.598,24.385,674,608,9,7,0.866,9.849,674,609,156.038,6.641,1.678,0.596,0.820
73,57,670.026,614.693,30.971,666,610,9,9,0.747,10.817,666,619,33.690,9.000,1.245,0.803,0.844
74,94,1139.064,618.277,42.284,1134,610,11,16,0.661,18.358,1136,610,119.358,8.162,2.448,0.409,0.847
75,37,368.635,615.851,22.971,365,612,7,8,0.881,8.944,367,612,116.565,6.957,1.434,0.698,0.841
76,67,1126.739,617.634,36.042,1119,612,13,10,0.648,14.318,1119,620,24.775,8.561,1.803,0.555,0.766
77,77,686.734,620.110,41.456,682,613,11,13,0.563,13.601,684,613,126.027,11.000,1.146,0.872,0.740
78,73,661.158,620.445,38.627,658,614,7,13,0.615,13.928,658,614,111.038,7.000,2.021,0.495,0.859
79,51,1112.990,618.775,26.142,1109,615,8,8,0.938,10.000,1110,615,126.870,8.000,1.226,0.815,0.911
80,75,1134.060,625.020,34.870,1128,619,12,11,0.775,13.892,1128,622,149.744,8.485,1.748,0.572,0.820
81,83,1125.946,629.464,38.042,1120,624,11,13,0.721,15.811,1121,624,124.695,8.485,2.081,0.481,0.843
82,45,690.522,629.367,26.971,687,625,7,9,0.777,9.849,688,625,113.962,6.930,1.619,0.618,0.841
83,61,1143.713,631.910,31.799,1139,627,10,9,0.758,11.662,1139,636,30.964,8.825,1.424,0.702,0.841
84,43,1134.128,635.779,25.556,1130,631,7,9,0.827,10.296,1131,640,60.945,6.499,1.762,0.568,0.860
85,53,667.915,636.123,30.385,664,632,8,10,0.721,10.440,666,642,73.301,8.000,1.175,0.851,0.815
86,42,968.881,635.738,23.556,965,632,8,7,0.951,9.434,965,638,32.005,7.000,1.313,0.762,0.884
87,100,816.010,642.350,47.113,809,635,15,15,0.566,19.849,810,635,130.914,8.485,3.035,0.330,0.760
88,50,1144.660,639.200,29.799,1138,636,11,8,0.708,12.083,1138,637,155.556,7.566,1.739,0.575,0.787
89,68,975.691,646.779,34.870,970,642,12,9,0.703,12.166,970,644,170.538,8.379,1.572,0.636,0.814
90,68,1138.985,646.515,33.799,1133,643,13,7,0.748,13.928,1133,650,21.038,7.000,1.829,0.547,0.872
91,28,834.214,654.607,21.556,831,651,6,8,0.757,8.944,832,651,116.565,4.919,2.082,0.480,0.824
92,101,415.708,660.668,46.870,409,652,12,16,0.578,16.125,414,652,97.125,11.030,1.527,0.655,0.735
93,56,794.179,655.661,26.971,789,652,10,7,0.967,10.440,789,655,163.301,7.000,1.340,0.746,0.911
94,66,766.000,666.000,28.971,761,662,10,8,0.988,10.770,761,664,158.199,8.000,1.268,0.789,0.930
95,30,592.000,668.000,20.385,588,665,8,6,0.907,8.944,588,666,153.435,4.992,1.987,0.503,0.833
96,48,683.938,673.958,33.556,681,667,8,12,0.536,12.806,681,667,128.660,8.000,1.536,0.651,0.701
97,93,811.801,690.263,39.213,807,683,9,15,0.760,15.811,809,698,71.565,9.000,1.725,0.580,0.857
98,32,820.219,689.719,20.485,817,687,6,6,0.958,8.485,817,687,135.000,6.000,1.222,0.818,0.955
99,105,828.919,696.843,41.456,824,690,10,14,0.768,15.811,824,690,124.695,9.944,1.662,0.602,0.886
100,39,818.218,697.269,23.799,814,694,8,7,0.865,8.944,814,699,26.565,7.000,1.360,0.735,0.839
101,83,816.271,704.187,38.870,809,700,15,8,0.690,15.133,809,703,172.405,8.000,2.004,0.499,0.830
102,132,828.439,713.606,55.941,822,706,14,14,0.530,17.029,824,706,130.236,12.322,1.350,0.741,0.838
103,27,815.019,712.611,20.728,812,709,6,7,0.790,9.220,812,716,49.399,4.919,2.184,0.458,0.831
104,26,807.923,713.346,18.485,805,711,6,5,0.956,7.810,805,716,39.806,5.000,1.423,0.703,0.929
105,29,819.431,716.983,20.142,816,714,7,6,0.898,7.810,817,714,140.194,6.000,1.126,0.888,0.841
106,93,878.027,728.349,34.042,873,722,10,12,1.000,13.000,876,722,112.620,10.000,1.226,0.816,0.930
107,40,465.525,769.650,26.385,462,764,7,10,0.722,11.180,463,774,63.435,6.364,1.871,0.534,0.808
108,75,481.153,769.127,40.042,474,764,12,12,0.588,13.601,474,767,143.973,10.607,1.297,0.771,0.718
109,76,1006.592,769.895,31.556,1002,765,9,10,0.959,11.662,1004,775,59.036,9.000,1.184,0.845,0.933
110,97,531.479,774.222,35.799,526,769,11,11,0.951,12.806,527,769,128.660,11.000,1.105,0.905,0.924
111,41,515.598,774.378,22.142,512,771,7,7,1.000,8.602,513,771,125.538,7.000,1.178,0.849,0.921
112,30,716.633,775.033,20.142,713,772,7,6,0.929,7.211,715,772,123.690,6.000,1.041,0.961,0.857
113,47,470.287,778.755,29.213,466,774,10,9,0.692,11.662,466,775,149.036,6.914,1.960,0.510,0.746
114,67,463.157,781.649,33.213,458,777,11,10,0.763,13.601,458,778,143.973,8.050,1.944,0.514,0.848
115,39,1030.346,783.577,22.971,1027,779,6,9,0.929,9.487,1029,788,71.565,6.000,1.612,0.620,0.886
116,36,689.000,786.139,21.556,685,783,8,6,0.974,8.944,685,784,153.435,5.821,1.623,0.616,0.878
117,26,495.385,787.115,20.142,492,784,7,6,0.805,8.062,492,789,29.745,5.814,1.510,0.662,0.788
118,88,838.705,790.568,34.385,833,786,11,10,0.935,12.530,833,788,151.390,10.000,1.205,0.830,0.921
119,34,464.559,790.588,20.971,461,787,7,7,0.972,8.602,461,788,144.462,5.657,1.477,0.677,0.883
120,52,447.654,792.481,26.385,444,788,8,9,0.939,9.487,446,788,108.435,8.000,1.166,0.858,0.881
121,66,984.273,832.470,28.971,980,828,9,9,0.988,10.817,980,836,33.690,8.944,1.194,0.838,0.930
122,28,444.143,841.893,18.728,441,839,6,6,1.000,7.211,442,839,123.690,5.814,1.239,0.807,0.889
123,37,479.554,843.608,23.556,476,840,8,7,0.838,10.000,476,847,36.870,6.345,1.747,0.572,0.860
124,63,978.341,847.659,29.799,973,843,10,9,0.892,11.402,974,851,37.875,8.400,1.481,0.675,0.875
125,63,564.500,860.500,28.971,560,856,9,9,0.943,11.402,561,865,52.125,8.485,1.300,0.769,0.913
126,105,839.633,873.729,51.355,833,865,12,18,0.500,18.439,833,867,130.601,9.363,2.138,0.468,0.747
127,50,678.920,881.520,28.627,674,877,9,10,0.767,11.402,674,879,142.125,7.071,1.791,0.558,0.826
128,60,835.867,885.133,28.385,831,880,9,9,0.936,10.296,832,889,60.945,9.000,1.073,0.932,0.909
129,41,845.524,885.207,23.556,842,881,7,8,0.928,8.944,843,889,63.435,7.000,1.155,0.866,0.872
130,82,992.000,899.841,37.456,988,893,9,13,0.734,14.765,988,893,118.301,9.000,1.809,0.553,0.859
