 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,39,847.859,228.013,22.971,844,225,8,7,0.929,8.944,844,230,26.565,6.934,1.353,0.739,0.867,cell
2,85,462.982,305.782,40.042,458,298,9,16,0.666,18.358,458,298,119.358,7.906,2.396,0.417,0.867,cell
3,148,456.392,318.257,73.012,449,306,17,21,0.349,25.239,449,306,123.690,13.950,2.166,0.462,0.594,cell
4,48,595.750,318.667,28.385,591,315,10,8,0.749,12.806,591,315,141.340,6.261,2.199,0.455,0.850,cell
5,32,604.844,329.281,25.314,603,324,4,11,0.628,11.180,603,324,100.305,4.000,2.501,0.400,0.865,cell
6,72,835.153,333.986,31.213,830,330,11,9,0.929,11.402,830,336,15.255,9.000,1.229,0.814,0.900,cell
7,41,935.159,342.037,23.556,931,338,8,7,0.928,9.434,931,345,32.005,7.000,1.264,0.791,0.882,cell
8,64,560.547,352.438,28.385,556,348,9,9,0.998,10.817,558,357,56.310,8.485,1.205,0.830,0.928,cell
9,53,636.972,371.142,25.556,633,367,8,8,1.000,10.000,634,367,126.870,8.000,1.176,0.850,0.922,cell
10,43,867.663,437.500,24.142,864,434,8,7,0.927,9.899,864,434,135.000,7.000,1.377,0.726,0.905,cell
11,88,1070.330,439.466,34.385,1065,435,11,10,0.935,12.806,1066,444,38.660,10.000,1.223,0.818,0.926,cell
12,95,943.553,455.584,38.042,937,451,13,10,0.825,14.318,937,453,155.225,9.216,1.642,0.609,0.868,cell
13,33,572.955,461.712,20.142,570,458,6,7,1.000,7.616,571,465,66.801,6.000,1.114,0.898,0.904,cell
14,54,675.463,472.685,26.385,671,469,9,8,0.975,10.296,671,470,150.945,7.589,1.364,0.733,0.893,cell
15,39,1014.244,491.064,28.385,1010,488,9,6,0.608,9.849,1010,494,23.962,6.000,1.310,0.763,0.812,cell
16,52,1000.885,496.365,25.799,997,492,8,9,0.982,10.296,998,492,119.055,7.603,1.397,0.716,0.889,cell
17,72,995.278,533.000,30.385,990,529,11,8,0.980,11.402,990,531,164.745,8.000,1.320,0.758,0.923,cell
18,51,497.461,556.951,42.527,490,552,15,9,0.354,16.155,490,553,158.199,7.603,2.652,0.377,0.607,cell
19,80,916.925,570.925,31.799,912,566,10,10,0.994,11.662,912,574,30.964,9.899,1.176,0.851,0.930,cell
20,29,600.914,640.224,18.728,598,637,6,6,1.000,7.211,598,638,146.310,6.000,1.076,0.929,0.906,cell
21,105,1071.424,651.986,37.456,1065,646,13,11,0.941,13.928,1065,650,158.962,11.000,1.300,0.769,0.909,cell
22,49,1061.071,656.173,24.385,1057,652,8,8,1.000,8.944,1057,658,26.565,8.000,1.043,0.959,0.899,cell
23,83,743.295,666.295,32.627,739,660,9,12,0.980,12.369,741,672,75.964,9.000,1.276,0.784,0.917,cell
24,77,842.318,665.435,30.627,837,661,11,9,1.000,11.705,837,663,160.017,9.000,1.225,0.817,0.928,cell
25,27,728.352,709.056,18.971,725,706,7,6,0.943,8.602,725,706,144.462,4.950,1.952,0.512,0.857,cell
26,170,558.482,737.782,73.497,547,730,21,15,0.395,22.847,547,740,23.199,14.045,1.796,0.557,0.749,cell
27,83,1039.608,736.693,33.213,1034,732,12,9,0.946,12.649,1034,740,18.435,9.000,1.320,0.758,0.912,cell
28,48,549.896,750.583,28.971,546,745,7,11,0.719,12.530,546,745,118.610,6.276,2.013,0.497,0.842,cell
29,58,575.517,750.569,27.213,571,746,9,9,0.984,9.899,572,754,45.000,8.485,1.089,0.918,0.885,cell
30,83,539.777,756.042,42.870,535,748,11,14,0.568,15.652,539,748,116.565,9.654,1.822,0.549,0.722,cell
31,65,1008.454,786.115,32.971,1004,780,8,11,0.751,12.207,1004,790,55.008,8.000,1.473,0.679,0.850,cell
32,86,501.826,800.105,33.456,496,795,12,10,0.966,12.369,496,798,165.964,10.000,1.163,0.860,0.901,cell
33,61,1047.418,808.582,27.213,1043,804,9,9,1.000,10.296,1045,804,119.055,8.485,1.213,0.824,0.910,cell
34,102,582.657,833.716,42.527,575,826,13,14,0.709,16.125,579,840,60.255,10.115,1.596,0.627,0.833,cell
35,160,682.425,852.331,59.598,676,842,12,22,0.566,22.204,682,864,82.235,11.879,2.084,0.480,0.800,cell
36,105,542.395,855.957,43.113,535,849,14,13,0.710,15.232,535,854,156.801,11.314,1.497,0.668,0.817,cell
37,47,693.330,853.032,24.385,689,849,8,8,0.993,9.434,691,849,122.005,7.589,1.280,0.781,0.887,cell
38,44,441.886,862.386,39.456,438,856,8,11,0.355,11.705,440,856,109.983,7.603,1.671,0.599,0.704,cell
39,42,797.881,895.952,40.042,789,891,16,8,0.329,17.464,789,898,23.629,5.852,4.197,0.238,0.545,cell
40,81,833.809,924.846,33.213,829,919,10,11,0.923,12.806,830,920,128.660,9.391,1.379,0.725,0.900,cell
41,322,933.435,321.075,118.953,921,309,26,28,0.286,28.636,921,324,24.775,23.085,1.278,0.783,0.640,cluster
42,535,522.659,452.777,109.154,501,443,42,23,0.564,45.695,501,445,156.801,16.574,3.072,0.326,0.873,cluster
43,606,608.515,779.817,119.439,590,765,37,31,0.534,42.544,590,790,29.578,23.003,2.020,0.495,0.811,cluster
44,343,565.579,848.862,173.865,550,832,29,31,0.143,34.670,551,861,56.768,21.926,1.682,0.595,0.619,cluster
