 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,39,847.859,228.013,22.971,844,225,8,7,0.929,8.944,844,230,26.565,6.934,1.353,0.739,0.867
2,85,462.982,305.782,40.042,458,298,9,16,0.666,18.358,458,298,119.358,7.906,2.396,0.417,0.867
3,64,451.453,312.891,36.385,449,306,6,15,0.608,15.297,449,306,101.310,6.000,2.686,0.372,0.853
4,76,936.368,313.447,32.870,930,309,12,10,0.884,12.369,930,312,165.964,9.700,1.341,0.746,0.879
5,103,927.199,320.277,39.213,921,314,12,12,0.842,13.892,921,324,30.256,11.672,1.159,0.863,0.873
6,48,595.750,318.667,28.385,591,315,10,8,0.749,12.806,591,315,141.340,6.261,2.199,0.455,0.850
7,80,460.512,322.438,39.456,453,316,13,11,0.646,14.765,453,323,28.301,9.842,1.636,0.611,0.762
8,105,935.529,328.319,64.770,931,320,10,17,0.315,17.464,933,320,103.241,9.758,2.153,0.464,0.732
9,32,604.844,329.281,25.314,603,324,4,11,0.628,11.180,603,324,100.305,4.000,2.501,0.400,0.865
10,72,835.153,333.986,31.213,830,330,11,9,0.929,11.402,830,336,15.255,9.000,1.229,0.814,0.900
11,41,935.159,342.037,23.556,931,338,8,7,0.928,9.434,931,345,32.005,7.000,1.264,0.791,0.882
12,64,560.547,352.438,28.385,556,348,9,9,0.998,10.817,558,357,56.310,8.485,1.205,0.830,0.928
13,53,636.972,371.142,25.556,633,367,8,8,1.000,10.000,634,367,126.870,8.000,1.176,0.850,0.922
14,43,867.663,437.500,24.142,864,434,8,7,0.927,9.899,864,434,135.000,7.000,1.377,0.726,0.905
15,88,1070.330,439.466,34.385,1065,435,11,10,0.935,12.806,1066,444,38.660,10.000,1.223,0.818,0.926
16,56,505.429,446.607,33.556,501,443,10,10,0.625,12.806,503,453,51.340,8.135,1.689,0.592,0.772
17,51,534.108,451.833,28.971,530,447,9,9,0.764,12.042,530,447,138.366,7.603,1.618,0.618,0.850
18,95,943.553,455.584,38.042,937,451,13,10,0.825,14.318,937,453,155.225,9.216,1.642,0.609,0.868
19,37,529.608,457.986,24.971,527,453,6,10,0.746,10.770,528,453,111.801,6.000,1.795,0.557,0.841
20,81,538.117,460.660,32.385,533,456,10,10,0.971,11.402,533,463,37.875,10.000,1.033,0.968,0.931
21,33,572.955,461.712,20.142,570,458,6,7,1.000,7.616,571,465,66.801,6.000,1.114,0.898,0.904
22,54,675.463,472.685,26.385,671,469,9,8,0.975,10.296,671,470,150.945,7.589,1.364,0.733,0.893
23,39,1014.244,491.064,28.385,1010,488,9,6,0.608,9.849,1010,494,23.962,6.000,1.310,0.763,0.812
