 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,29,697.190,185.121,23.799,694,182,7,7,0.643,8.062,694,182,119.745,7.000,1.228,0.814,0.725,cell
2,89,723.489,211.388,33.213,718,206,11,10,1.000,12.083,718,209,155.556,10.000,1.153,0.867,0.932,cell
3,116,603.414,223.043,40.284,596,217,14,12,0.898,14.866,596,220,160.346,11.926,1.201,0.833,0.896,cell
4,64,782.172,229.078,29.556,778,224,8,10,0.921,11.402,779,224,127.875,8.000,1.246,0.803,0.901,cell
5,49,702.561,245.806,24.728,699,242,7,8,1.000,9.220,700,242,130.601,7.000,1.121,0.892,0.942,cell
6,60,973.917,271.400,35.456,967,267,12,9,0.600,13.892,967,269,149.744,7.938,2.049,0.488,0.759,cell
7,56,626.429,304.446,27.799,622,300,9,9,0.911,11.402,623,300,127.875,7.071,1.620,0.617,0.896,cell
8,96,959.698,310.656,35.213,954,305,11,11,0.973,13.038,956,316,57.529,10.607,1.171,0.854,0.932,cell
9,122,526.582,317.861,40.042,520,312,13,12,0.956,15.264,520,314,148.392,11.628,1.298,0.770,0.928,cell
10,66,574.803,321.030,29.213,570,316,9,10,0.972,11.662,572,316,120.964,8.485,1.444,0.692,0.904,cell
11,147,545.963,329.922,45.698,539,322,14,15,0.885,16.125,539,335,29.745,13.864,1.208,0.828,0.896,cell
12,61,704.402,339.697,27.799,700,335,9,9,0.992,10.296,700,337,150.945,8.944,1.152,0.868,0.897,cell
13,177,806.308,345.703,55.941,798,337,17,16,0.711,18.788,798,343,154.799,14.849,1.374,0.728,0.857,cell
14,106,945.500,343.000,36.627,939,338,13,10,0.993,13.601,939,341,162.897,10.000,1.258,0.795,0.946,cell
15,57,430.342,381.184,27.799,425,377,10,8,0.927,10.817,426,378,146.310,7.589,1.434,0.697,0.877,cell
16,30,606.233,382.267,20.728,604,378,5,8,0.877,8.944,604,378,116.565,5.000,1.840,0.543,0.896,cell
17,116,1008.112,395.259,53.355,1000,390,15,12,0.512,16.155,1000,397,21.801,12.000,1.357,0.737,0.784,cell
18,75,1064.553,423.153,31.799,1060,418,9,11,0.932,12.207,1061,428,55.008,9.000,1.363,0.734,0.915,cell
19,94,740.160,429.404,34.385,735,424,10,11,0.999,12.530,737,424,118.610,10.000,1.113,0.899,0.949,cell
20,82,768.537,439.366,32.385,764,434,9,11,0.983,12.530,766,445,61.390,9.000,1.318,0.758,0.943,cell
21,66,646.091,443.167,28.971,641,439,10,8,0.988,11.662,641,446,30.964,8.000,1.385,0.722,0.930,cell
22,85,923.500,449.406,32.971,918,445,11,9,0.983,12.083,918,447,155.556,9.000,1.358,0.737,0.944,cell
23,48,839.875,464.167,30.385,835,460,9,8,0.653,12.042,835,468,41.634,7.354,1.721,0.581,0.821,cell
24,52,811.231,508.904,27.799,806,505,10,8,0.846,11.180,806,507,153.435,7.155,1.763,0.567,0.846,cell
25,57,911.798,518.395,26.971,908,514,8,9,0.985,10.296,909,514,119.055,8.000,1.209,0.827,0.919,cell
26,37,1045.176,521.365,28.385,1043,517,6,10,0.577,11.180,1044,527,63.435,6.000,2.171,0.461,0.796,cell
