 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,29,697.190,185.121,23.799,694,182,7,7,0.643,8.062,694,182,119.745,7.000,1.228,0.814,0.725
2,77,778.981,190.201,38.385,772,184,11,11,0.657,14.142,772,194,45.000,10.695,1.359,0.736,0.815
3,35,789.900,195.729,28.728,784,194,13,4,0.533,13.342,784,194,167.005,4.000,3.919,0.255,0.814
4,45,793.744,202.278,30.385,790,198,8,9,0.613,10.296,792,207,60.945,7.778,1.553,0.644,0.783
5,28,802.964,202.214,19.556,799,199,7,6,0.920,7.616,799,201,156.801,6.000,1.117,0.895,0.836
6,89,723.489,211.388,33.213,718,206,11,10,1.000,12.083,718,209,155.556,10.000,1.153,0.867,0.932
7,66,777.242,212.924,30.627,773,208,10,10,0.884,11.402,774,208,127.875,8.485,1.252,0.799,0.874
8,116,603.414,223.043,40.284,596,217,14,12,0.898,14.866,596,220,160.346,11.926,1.201,0.833,0.896
9,64,782.172,229.078,29.556,778,224,8,10,0.921,11.402,779,224,127.875,8.000,1.246,0.803,0.901
10,49,702.561,245.806,24.728,699,242,7,8,1.000,9.220,700,242,130.601,7.000,1.121,0.892,0.942
11,66,628.530,267.879,31.213,624,263,10,10,0.851,11.662,624,272,30.964,8.875,1.398,0.715,0.857
12,79,647.576,267.133,38.627,641,263,14,9,0.665,15.232,641,271,23.199,8.157,2.157,0.464,0.810
13,132,635.598,274.886,51.113,628,267,15,14,0.635,16.279,628,279,42.510,13.956,1.125,0.889,0.800
14,42,975.690,272.095,23.556,972,268,7,8,0.951,9.434,974,268,122.005,6.957,1.407,0.711,0.903
15,42,648.190,273.619,28.385,644,270,10,8,0.655,12.207,644,278,34.992,6.078,2.269,0.441,0.785
16,71,652.106,289.232,33.213,646,285,12,9,0.809,13.892,646,287,149.744,7.906,1.841,0.543,0.866
17,53,663.104,291.481,33.799,659,287,8,9,0.583,10.817,660,287,123.690,8.000,1.314,0.761,0.841
18,56,626.429,304.446,27.799,622,300,9,9,0.911,11.402,623,300,127.875,7.071,1.620,0.617,0.896
19,39,661.449,306.756,23.556,658,302,6,9,0.883,9.487,660,311,71.565,6.000,1.622,0.616,0.876
20,96,959.698,310.656,35.213,954,305,11,11,0.973,13.038,956,316,57.529,10.607,1.171,0.854,0.932
21,87,652.638,311.075,38.042,646,306,12,11,0.755,14.422,646,307,146.310,10.607,1.389,0.720,0.849
22,122,526.582,317.861,40.042,520,312,13,12,0.956,15.264,520,314,148.392,11.628,1.298,0.770,0.928
23,66,574.803,321.030,29.213,570,316,9,10,0.972,11.662,572,316,120.964,8.485,1.444,0.692,0.904
24,147,545.963,329.922,45.698,539,322,14,15,0.885,16.125,539,335,29.745,13.864,1.208,0.828,0.896
25,61,704.402,339.697,27.799,700,335,9,9,0.992,10.296,700,337,150.945,8.944,1.152,0.868,0.897
26,96,803.469,343.365,39.456,798,337,12,13,0.775,15.264,800,350,58.392,9.519,1.887,0.530,0.838
27,99,945.722,342.904,46.284,939,338,13,10,0.581,13.601,939,341,162.897,10.000,1.233,0.811,0.884
28,70,810.243,348.700,30.971,805,344,10,9,0.917,11.402,805,352,37.875,9.000,1.159,0.863,0.909
29,53,571.594,361.028,28.042,566,358,11,7,0.847,11.180,566,359,169.695,7.000,1.555,0.643,0.876
30,77,566.838,368.747,34.042,562,362,9,13,0.835,13.342,565,362,102.995,9.000,1.400,0.714,0.865
31,97,583.191,368.613,47.941,577,362,12,14,0.530,14.560,581,362,105.945,11.424,1.329,0.752,0.779
32,66,575.152,373.909,32.728,572,368,7,11,0.774,12.530,573,368,118.610,7.000,1.710,0.585,0.923
33,64,591.141,378.875,33.213,586,374,11,9,0.729,12.207,587,374,145.008,8.666,1.551,0.645,0.810
34,57,430.342,381.184,27.799,425,377,10,8,0.927,10.817,426,378,146.310,7.589,1.434,0.697,0.877
35,30,606.233,382.267,20.728,604,378,5,8,0.877,8.944,604,378,116.565,5.000,1.840,0.543,0.896
36,77,574.097,384.539,33.456,568,380,12,10,0.864,12.649,568,382,161.565,9.192,1.376,0.727,0.870
