Area,X,Y,Perim.,BX,BY,Width,Height
182,745.511,11.060,0,734,5,25,11
77,814.805,10.818,0,809,7,13,8
99,893.414,16.354,0,889,9,11,15
202,867.193,57.604,0,857,51,23,14
54,523.907,63.333,0,521,58,7,11
57,979.333,75.368,0,975,71,9,9
78,1003.846,75.474,0,999,71,11,10
41,771.829,75.415,0,769,72,7,8
59,434.831,77.966,0,432,73,7,11
39,485.462,75.949,0,482,73,8,7
64,310.531,76.422,0,305,74,12,6
48,1249.708,78.917,0,1246,75,8,9
44,340.432,84.068,0,337,80,8,8
61,363.049,83.443,0,359,80,9,8
74,851.189,83.811,0,847,80,10,9
98,1193.520,85.878,0,1188,81,12,11
367,710.229,98.381,0,690,89,37,17
158,577.019,96.892,0,569,91,15,15
66,535.061,97.576,0,530,94,11,8
73,339.726,101.014,0,336,96,9,11
274,478.336,109.004,0,467,101,25,16
39,1196.256,107.590,0,1193,104,7,8
75,355.307,110.307,0,352,105,8,12
62,620.161,109.419,0,615,106,11,8
90,819.856,113.444,0,816,108,9,12
271,505.328,116.446,0,493,110,27,15
66,560.955,114.955,0,557,111,9,9
54,668.630,115.056,0,665,111,9,9
66,715.136,115.303,0,711,111,10,9
105,738.162,115.743,0,732,111,14,11
65,461.046,115.923,0,457,112,9,9
164,310.817,120.488,0,304,113,15,15
106,625.698,118.708,0,620,113,12,13
50,891.320,118.580,0,889,113,6,12
159,918.289,120.472,0,911,113,14,15
114,1303.316,120.009,0,1298,115,13,12
243,650.494,126.770,0,640,119,21,17
115,899.922,127.461,0,896,120,9,16
93,941.817,123.613,0,936,120,13,9
66,474.909,130.833,0,470,127,10,9
93,606.086,131.237,0,600,127,13,9
68,635.912,130.985,0,632,127,9,9
127,870.220,132.740,0,864,127,14,12
52,571.635,131.423,0,568,128,8,8
181,805.773,135.525,0,797,130,17,13
123,1035.268,138.935,0,1031,130,9,19
67,924.000,139.940,0,920,136,9,9
51,1018.471,139.569,0,1015,136,8,8
44,979.023,140.114,0,975,137,8,7
33,444.182,140.909,0,442,138,6,7
45,276.000,146.911,0,273,143,7,9
83,994.518,150.289,0,991,144,8,13
60,1019.817,149.050,0,1016,145,9,9
82,435.500,154.878,0,431,150,10,11
99,387.051,161.939,0,383,155,10,14
80,941.250,162.675,0,937,158,10,11
156,513.244,163.686,0,504,159,20,10
66,403.015,163.636,0,399,160,9,9
100,1007.190,171.340,0,1001,165,12,12
389,883.699,176.208,0,869,169,29,17
129,419.279,183.054,0,414,176,11,15
86,1348.919,180.593,0,1343,177,13,9
121,431.405,183.207,0,425,178,14,11
78,394.474,187.731,0,390,183,10,10
67,459.776,187.493,0,456,183,9,10
225,514.867,190.747,0,506,183,18,16
112,1151.464,187.964,0,1144,184,15,9
71,32.789,193.521,0,29,188,8,12
94,806.670,195.245,0,801,191,12,10
210,1020.267,199.595,0,1009,193,21,14
246,1180.472,206.309,0,1173,196,15,22
164,662.226,213.896,0,656,206,13,17
159,354.830,219.522,0,344,216,22,8
55,313.964,228.691,0,309,226,11,7
117,440.479,231.940,0,434,227,14,11
125,788.824,238.616,0,785,229,8,21
127,1013.890,250.134,0,1008,242,13,16
79,359.519,259.671,0,353,256,14,8
117,377.154,259.462,0,370,256,16,9
43,362.372,266.093,0,359,263,8,7
79,902.101,269.848,0,897,266,12,8
85,1103.059,277.200,0,1097,274,13,8
62,210.952,299.242,0,208,294,7,12
73,1139.288,299.795,0,1135,295,10,10
92,1416.065,304.522,0,1412,299,9,12
55,1411.873,315.255,0,1408,311,8,9
77,214.403,315.571,0,209,312,12,8
93,309.796,315.742,0,304,312,13,9
49,1369.000,317.041,0,1365,314,9,7
56,974.768,321.268,0,970,318,10,8
75,211.480,328.573,0,208,323,8,12
172,751.256,341.140,0,739,335,24,12
87,1256.115,338.161,0,1249,335,15,7
128,1417.469,347.648,0,1410,343,16,10
57,331.632,355.667,0,328,352,8,8
141,1416.433,360.035,0,1411,353,12,17
66,242.985,362.758,0,239,359,9,9
53,1226.585,363.396,0,1222,360,9,8
93,282.602,370.323,0,276,366,13,10
116,876.129,374.638,0,870,370,13,11
43,1322.488,387.395,0,1320,383,6,9
69,283.391,395.652,0,280,391,8,10
78,862.167,401.551,0,857,398,11,9
52,226.692,426.865,0,223,423,8,9
52,1186.865,428.077,0,1184,424,7,9
191,740.377,437.639,0,732,429,17,18
179,900.637,440.922,0,891,429,20,22
70,234.871,433.871,0,231,430,9,9
97,872.629,434.907,0,866,431,15,9
208,433.524,442.240,0,424,433,17,21
101,871.525,463.455,0,866,459,12,10
150,892.693,465.320,0,885,459,16,13
37,1202.027,480.622,0,1198,478,8,6
75,307.813,518.653,0,304,514,9,10
155,227.690,524.155,0,217,519,22,11
170,367.559,577.747,0,359,572,18,12
149,1199.201,588.899,0,1193,581,14,17
212,973.288,612.561,0,963,603,19,18
56,1278.625,619.357,0,1274,616,10,7
102,1127.696,640.059,0,1121,636,14,9
186,1115.140,659.371,0,1108,650,15,20
87,267.494,678.667,0,264,673,8,13
119,1040.521,691.025,0,1035,685,12,13
99,1395.333,697.606,0,1391,691,9,14
47,1212.106,700.106,0,1208,697,9,7
103,673.903,706.214,0,667,701,13,12
70,1235.871,710.857,0,1232,706,8,11
83,1031.771,714.217,0,1026,710,12,9
51,314.373,716.255,0,312,712,6,10
58,211.793,721.103,0,209,716,7,11
96,698.448,739.417,0,693,735,12,10
113,839.779,746.788,0,834,741,12,12
132,891.576,747.318,0,886,741,12,13
81,857.222,755.309,0,853,751,10,11
151,569.424,762.543,0,563,756,14,14
42,282.452,763.881,0,279,761,8,7
79,315.797,770.671,0,312,766,9,11
124,443.339,780.032,0,438,774,12,13
59,323.356,780.051,0,320,776,8,9
143,1127.608,783.483,0,1121,777,14,15
153,703.634,835.601,0,697,829,14,14
48,363.229,844.083,0,360,841,8,7
75,420.560,891.107,0,416,886,10,10
244,614.643,900.861,0,606,893,17,18
87,1162.828,903.103,0,1159,897,9,14
55,30.709,910.073,0,27,904,7,15
67,443.776,908.567,0,440,904,9,10
128,707.570,920.688,0,702,915,12,13
86,451.198,923.116,0,447,918,9,11
280,428.161,928.689,0,415,919,26,21
134,1054.828,962.724,0,1047,958,16,10
163,561.350,998.767,0,553,993,16,13
42,907.143,1024.643,0,905,1020,5,10
50,699.100,1028.380,0,696,1025,7,8
35,79.057,1048.457,0,77,1044,5,10
138,255.536,1059.514,0,247,1055,17,10
