 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,65,565.115,243.423,29.213,560,239,10,9,0.957,10.817,562,239,123.690,8.497,1.288,0.776,0.890,cell
2,51,625.794,250.598,25.556,621,247,9,7,0.981,9.487,621,250,161.565,7.000,1.199,0.834,0.919,cell
3,34,675.676,281.941,20.971,673,278,6,8,0.972,8.544,674,286,69.444,6.000,1.446,0.692,0.883,cell
4,57,784.711,296.904,27.556,780,293,9,8,0.943,11.314,781,301,45.000,7.778,1.392,0.719,0.927,cell
5,48,511.229,298.583,25.213,507,294,8,9,0.949,10.296,509,294,119.055,6.934,1.589,0.629,0.873,cell
6,45,728.100,307.367,31.456,724,302,8,10,0.572,11.180,726,302,116.565,8.000,1.605,0.623,0.732,cell
7,46,721.304,314.587,28.385,717,310,8,10,0.717,11.662,718,310,120.964,6.261,2.256,0.443,0.793,cell
8,40,604.275,328.600,25.556,601,324,6,10,0.770,11.662,601,324,120.964,5.814,2.284,0.438,0.889,cell
9,77,671.604,333.487,31.799,667,328,9,11,0.957,12.083,669,339,65.556,9.000,1.254,0.798,0.917,cell
10,115,750.500,335.187,45.941,742,330,16,11,0.685,16.763,742,337,17.354,10.286,1.769,0.565,0.868,cell
11,88,727.477,336.932,33.799,722,332,11,10,0.968,12.530,722,340,28.610,10.000,1.202,0.832,0.926,cell
12,118,986.127,346.669,39.213,980,341,13,11,0.964,13.928,980,350,21.038,11.000,1.143,0.875,0.944,cell
13,158,448.741,353.734,73.497,440,344,16,19,0.368,19.723,441,346,120.466,15.698,1.324,0.755,0.693,cell
14,76,416.961,357.961,48.042,409,353,16,11,0.414,18.028,410,364,33.690,8.497,2.939,0.340,0.628,cell
15,52,457.673,370.385,29.213,454,366,9,9,0.766,10.296,454,374,29.055,8.944,1.174,0.852,0.825,cell
16,56,737.750,372.500,26.971,734,368,8,9,0.967,9.849,736,368,113.962,8.000,1.225,0.817,0.903,cell
17,56,449.000,376.196,32.627,445,371,8,11,0.661,12.530,446,371,118.610,7.637,1.913,0.523,0.772,cell
18,92,619.478,379.543,34.042,614,374,11,11,0.998,13.038,616,374,122.471,9.899,1.337,0.748,0.925,cell
19,30,459.000,379.333,27.799,455,376,8,8,0.488,9.434,458,384,57.995,7.727,1.199,0.834,0.638,cell
20,87,442.787,390.029,49.698,436,385,15,11,0.443,16.553,436,394,25.017,11.000,1.304,0.767,0.682,cell
21,46,925.457,410.283,24.142,922,406,7,8,0.992,8.944,923,414,63.435,7.000,1.123,0.891,0.920,cell
22,41,816.598,410.134,24.971,812,407,9,7,0.826,10.296,812,408,150.945,6.325,1.778,0.562,0.845,cell
23,55,975.282,427.409,26.971,971,423,8,9,0.950,10.296,973,432,60.945,8.000,1.287,0.777,0.902,cell
24,69,1114.312,447.645,29.556,1110,443,9,9,0.993,11.402,1111,443,127.875,9.000,1.227,0.815,0.945,cell
