Area,X,Y,Perim.,BX,BY,Width,Height
21,181.571,27.619,0,180,25,4,6
15,1129.733,163.933,0,1128,162,4,5
68,778.559,171.632,0,775,167,8,10
70,1125.114,178.329,0,1121,174,10,11
66,779.409,186.409,0,775,183,10,8
36,1034.611,212.278,0,1032,209,6,7
85,1027.624,219.624,0,1023,215,10,10
41,1316.439,277.439,0,1313,275,8,6
63,1323.714,284.524,0,1320,281,9,8
51,906.686,286.059,0,903,282,8,9
109,1316.220,292.367,0,1311,287,12,13
54,1298.315,293.074,0,1294,289,9,9
62,1298.274,307.081,0,1294,303,9,9
57,1130.789,316.140,0,1127,312,9,9
64,92.375,322.078,0,88,318,9,10
49,1126.102,323.286,0,1123,319,7,9
41,1138.463,323.585,0,1136,320,6,8
71,1131.113,331.070,0,1127,327,10,9
76,1251.763,340.118,0,1248,336,9,10
30,1235.433,347.700,0,1233,345,6,7
50,1379.620,363.420,0,1376,360,8,8
30,1332.100,379.867,0,1329,378,7,5
70,1324.543,386.771,0,1320,382,9,10
137,768.336,396.788,0,764,387,10,20
69,1331.232,394.826,0,1327,391,9,9
56,1211.357,404.393,0,1207,401,9,8
33,1292.697,404.091,0,1289,402,8,6
69,1235.101,435.783,0,1231,432,9,9
84,1267.583,443.583,0,1263,439,10,10
60,1243.733,443.767,0,1240,440,9,8
126,1147.484,451.206,0,1141,446,14,11
74,1259.595,450.959,0,1255,447,10,9
211,984.019,465.953,0,977,458,15,17
89,1259.506,491.438,0,1255,486,10,11
81,1275.370,491.444,0,1271,487,10,10
29,1324.931,490.310,0,1322,488,7,6
98,1063.286,493.439,0,1058,489,12,10
158,652.259,508.544,0,646,502,13,14
150,870.453,538.900,0,864,533,14,13
74,924.973,548.703,0,920,545,11,9
114,125.018,562.947,0,120,557,11,13
187,1059.829,564.540,0,1052,558,18,13
67,1347.537,578.552,0,1343,575,10,8
48,1219.750,581.000,0,1216,578,8,7
69,1227.058,587.232,0,1223,583,9,10
48,1355.771,612.042,0,1352,609,8,7
52,1330.981,628.365,0,1328,624,7,9
119,1044.908,666.462,0,1039,661,12,12
146,1010.760,678.952,0,1004,673,15,13
47,1219.298,684.064,0,1216,681,8,7
36,1036.917,695.972,0,1034,693,7,7
133,1006.286,702.316,0,999,695,15,16
62,1220.468,699.403,0,1217,695,8,10
81,140.012,732.951,0,136,728,9,11
38,1274.789,747.105,0,1272,744,7,7
69,1307.261,747.623,0,1303,744,10,9
71,514.986,766.352,0,511,762,9,10
45,1388.200,765.111,0,1385,762,8,8
53,1323.340,787.434,0,1320,784,8,8
78,1331.500,795.385,0,1327,791,10,10
42,1147.000,821.333,0,1144,818,7,8
43,1147.721,835.953,0,1145,832,7,8
52,1387.635,835.904,0,1384,832,8,8
71,1242.507,859.507,0,1238,855,9,10
127,462.189,873.575,0,458,865,10,19
78,561.641,869.436,0,555,866,13,9
42,1213.071,892.929,0,1210,890,7,7
61,410.623,899.672,0,407,895,8,10
79,1219.456,899.949,0,1215,896,10,9
68,1187.074,907.618,0,1183,903,9,10
61,1212.787,907.459,0,1210,903,7,10
67,1226.821,907.463,0,1223,903,9,10
74,1131.622,907.500,0,1127,904,10,8
45,1346.711,909.089,0,1343,906,8,7
54,802.944,911.722,0,800,907,7,10
81,1123.444,915.531,0,1119,911,10,10
66,576.045,916.970,0,573,912,8,11
59,1219.271,915.627,0,1216,912,8,9
42,1109.071,932.929,0,1106,930,7,7
58,1116.224,939.241,0,1112,936,9,8
54,1187.907,940.519,0,1184,937,9,8
81,1147.444,955.531,0,1143,951,10,10
45,1259.422,961.956,0,1256,959,8,7
74,1090.743,972.162,0,1086,968,10,10
37,1274.838,973.162,0,1272,970,7,7
48,1354.792,978.500,0,1352,975,7,8
48,1036.542,980.354,0,1033,977,8,8
45,1098.733,980.311,0,1096,977,7,8
62,1034.516,987.532,0,1031,983,8,10
36,36.111,986.444,0,33,984,8,7
48,51.896,988.521,0,49,985,7,8
87,322.736,994.943,0,318,990,11,12
48,555.312,1003.104,0,552,999,8,9
60,995.817,1003.200,0,992,999,9,9
39,1330.410,1002.821,0,1327,1000,8,7
58,1010.172,1005.103,0,1006,1001,9,9
55,1027.255,1004.000,0,1023,1001,9,7
42,1003.738,1010.048,0,1000,1007,8,7
61,1028.525,1019.377,0,1025,1015,8,10
49,220.163,1019.796,0,216,1016,9,8
29,67.759,1020.172,0,65,1018,6,6
24,1379.167,1020.417,0,1377,1018,5,6
36,1386.167,1025.139,0,1384,1022,6,8
65,1172.123,1028.538,0,1168,1025,10,9
72,1187.486,1028.722,0,1183,1025,10,9
79,1179.190,1035.519,0,1175,1031,9,10
40,1315.975,1035.775,0,1313,1032,7,8
46,1332.130,1036.043,0,1329,1033,8,7
71,1108.085,1042.915,0,1104,1039,9,9
72,1170.944,1042.972,0,1167,1039,9,9
16,409.625,1043.250,0,408,1041,4,6
46,1323.174,1044.261,0,1319,1041,9,7
76,1115.474,1051.789,0,1111,1047,10,10
50,620.080,1051.760,0,617,1048,8,8
56,875.500,1051.714,0,872,1048,8,8
35,990.000,1051.600,0,987,1049,7,7
42,1115.476,1067.262,0,1113,1064,7,8
