 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,44,601.932,261.432,24.385,597,258,9,7,0.930,9.220,597,261,167.471,7.000,1.217,0.822,0.889,cell
2,55,925.755,272.191,33.799,919,268,12,8,0.605,12.166,919,271,9.462,8.000,1.690,0.592,0.743,cell
3,60,867.017,295.817,41.698,863,289,8,13,0.434,13.928,865,302,68.962,8.000,1.929,0.518,0.755,cell
4,54,874.889,305.944,36.627,872,299,6,15,0.506,15.133,873,299,97.595,6.000,2.694,0.371,0.735,cell
5,36,570.750,305.111,21.314,567,302,7,6,0.996,8.602,567,307,35.538,6.000,1.290,0.775,0.935,cell
6,40,726.400,308.675,23.556,723,305,7,7,0.906,9.220,724,305,130.601,7.000,1.283,0.779,0.889,cell
7,43,800.733,329.384,24.385,797,325,7,9,0.909,9.849,799,334,66.038,6.261,1.628,0.614,0.878,cell
8,37,603.959,339.797,22.385,600,336,7,8,0.928,8.944,602,336,116.565,6.261,1.507,0.664,0.871,cell
9,166,603.181,393.693,61.012,594,384,18,20,0.560,23.601,597,384,126.384,11.907,2.462,0.406,0.783,cell
10,162,599.247,408.660,78.569,592,397,16,23,0.330,23.195,594,420,82.569,15.765,1.590,0.629,0.633,cell
11,58,611.707,412.776,39.698,606,406,10,14,0.462,16.125,607,420,60.255,7.155,3.195,0.313,0.690,cell
12,36,413.722,412.389,21.556,410,409,8,6,0.974,8.944,410,415,26.565,6.000,1.483,0.674,0.889,cell
13,42,674.048,415.833,22.971,670,412,8,7,1.000,8.944,670,418,26.565,7.000,1.298,0.770,0.903,cell
14,159,424.840,419.601,51.698,416,413,16,15,0.748,17.464,416,421,23.629,14.709,1.242,0.805,0.886,cell
15,63,631.516,427.325,29.556,627,422,8,10,0.906,10.770,630,432,68.199,8.000,1.160,0.862,0.920,cell
16,84,642.393,428.488,34.627,637,423,10,12,0.880,13.454,638,424,131.987,9.192,1.482,0.675,0.908,cell
17,55,836.845,435.118,28.385,833,430,8,10,0.858,11.402,834,430,127.875,7.603,1.517,0.659,0.873,cell
18,41,821.915,442.256,22.728,818,439,8,6,0.997,8.944,818,445,26.565,6.000,1.322,0.756,0.943,cell
19,51,1003.794,518.794,25.556,999,515,9,7,0.981,10.000,1000,516,143.130,7.000,1.303,0.767,0.919,cell
20,26,821.038,559.346,17.899,818,557,6,5,1.000,7.211,818,561,33.690,5.000,1.283,0.779,0.929,cell
21,39,729.859,593.782,22.142,726,590,7,7,1.000,8.602,726,596,35.538,7.000,1.235,0.810,0.918,cell
22,37,831.554,601.284,21.899,828,598,7,6,0.969,8.485,828,604,45.000,6.000,1.158,0.864,0.949,cell
23,37,652.068,631.338,22.142,649,627,6,8,0.948,8.544,651,627,110.556,6.000,1.375,0.727,0.892,cell
24,64,357.688,685.281,29.799,353,681,10,9,0.906,11.402,353,688,37.875,8.485,1.388,0.721,0.895,cell
25,30,731.867,695.233,19.314,729,692,6,6,1.000,7.810,730,692,129.806,6.000,1.241,0.806,0.923,cell
26,62,970.677,713.274,44.284,965,708,11,12,0.397,13.038,965,716,32.471,10.791,1.075,0.931,0.617,cell
27,41,962.232,719.695,22.971,958,716,8,7,0.976,9.434,958,718,147.995,6.364,1.441,0.694,0.911,cell
28,45,595.744,747.100,24.728,591,744,9,6,0.925,9.220,591,747,167.471,6.000,1.354,0.739,0.918,cell
29,48,696.000,783.000,26.142,693,778,6,10,0.883,10.770,694,788,68.199,6.000,1.671,0.598,0.906,cell
30,44,933.841,804.591,24.971,929,801,9,7,0.887,10.296,929,803,150.945,6.934,1.579,0.633,0.871,cell
31,31,479.919,821.468,20.142,477,818,6,7,0.960,8.062,478,825,60.255,6.000,1.374,0.728,0.873,cell
32,50,732.460,834.000,25.799,728,830,9,8,0.944,9.487,728,833,161.565,7.778,1.249,0.801,0.877,cell
33,33,457.621,861.076,20.971,455,857,6,8,0.943,8.544,456,865,69.444,6.000,1.354,0.738,0.868,cell
34,34,470.088,873.500,24.142,467,869,6,9,0.733,10.296,468,869,119.055,4.743,2.395,0.418,0.840,cell
35,30,484.500,872.033,21.314,480,870,9,4,0.830,9.055,480,872,173.660,4.000,1.964,0.509,0.909,cell
36,154,920.299,894.539,67.598,914,881,13,25,0.424,25.318,917,881,99.090,13.000,2.698,0.371,0.654,cell
37,45,856.611,889.522,24.385,852,886,9,7,0.951,9.220,852,889,167.471,7.000,1.252,0.798,0.882,cell
38,61,901.139,891.369,30.042,896,887,11,9,0.849,11.402,896,890,164.745,8.728,1.221,0.819,0.847,cell
39,80,892.325,897.300,45.213,884,893,17,9,0.492,18.385,884,895,157.620,8.433,2.587,0.387,0.734,cell
40,32,805.094,901.625,21.556,802,898,6,8,0.865,8.544,803,898,110.556,5.692,1.553,0.644,0.853,cell
41,49,720.357,922.724,33.213,716,918,10,10,0.558,14.142,716,918,135.000,6.364,2.602,0.384,0.760,cell
42,67,734.321,973.142,33.799,729,968,10,11,0.737,14.866,729,968,132.274,8.321,1.901,0.526,0.832,cell
43,1244,930.219,291.208,315.546,902,261,58,55,0.157,61.351,902,279,160.974,46.963,1.431,0.699,0.593,cluster
44,2142,952.910,764.066,419.387,911,729,77,65,0.153,77.666,911,770,11.889,59.202,1.553,0.644,0.643,cluster
45,294,873.384,898.122,93.983,858,886,29,25,0.418,32.650,858,895,152.650,18.077,2.347,0.426,0.685,cluster
