 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,44,601.932,261.432,24.385,597,258,9,7,0.930,9.220,597,261,167.471,7.000,1.217,0.822,0.889
2,55,925.755,272.191,33.799,919,268,12,8,0.605,12.166,919,271,9.462,8.000,1.690,0.592,0.743
3,134,927.903,284.791,54.284,921,277,13,15,0.571,19.209,921,292,51.340,13.000,1.559,0.641,0.793
4,76,947.329,285.921,36.627,941,281,13,9,0.712,14.765,941,290,28.301,8.746,1.934,0.517,0.840
5,34,937.294,285.588,21.899,934,282,6,7,0.891,8.602,935,282,125.538,5.883,1.422,0.703,0.895
6,102,954.245,294.824,42.527,948,287,12,14,0.709,14.560,952,301,74.055,11.180,1.215,0.823,0.829
7,60,867.017,295.817,41.698,863,289,8,13,0.434,13.928,865,302,68.962,8.000,1.929,0.518,0.755
8,128,943.344,298.539,44.627,938,291,13,14,0.808,16.401,940,291,127.569,12.758,1.310,0.764,0.905
9,81,915.105,302.117,38.870,909,297,13,11,0.674,15.811,909,307,34.695,8.963,2.052,0.487,0.806
10,54,874.889,305.944,36.627,872,299,6,15,0.506,15.133,873,299,97.595,6.000,2.694,0.371,0.735
11,36,570.750,305.111,21.314,567,302,7,6,0.996,8.602,567,307,35.538,6.000,1.290,0.775,0.935
12,71,919.359,308.711,38.042,914,303,11,13,0.617,15.000,916,315,53.130,8.268,2.024,0.494,0.755
13,40,726.400,308.675,23.556,723,305,7,7,0.906,9.220,724,305,130.601,7.000,1.283,0.779,0.889
14,43,800.733,329.384,24.385,797,325,7,9,0.909,9.849,799,334,66.038,6.261,1.628,0.614,0.878
15,37,603.959,339.797,22.385,600,336,7,8,0.928,8.944,602,336,116.565,6.261,1.507,0.664,0.871
16,40,597.325,388.150,23.556,594,384,7,8,0.906,9.434,595,392,57.995,6.957,1.416,0.706,0.870
17,27,763.500,388.981,18.728,760,386,6,6,0.967,7.211,762,386,123.690,6.000,1.170,0.854,0.885
18,119,605.349,395.727,45.698,599,388,13,16,0.716,17.205,601,389,125.538,11.030,1.728,0.579,0.838
19,61,754.680,392.943,32.870,750,388,10,11,0.709,12.530,752,399,61.390,8.433,1.655,0.604,0.797
