 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,44,602.068,95.591,30.627,598,91,8,9,0.589,10.296,600,100,60.945,8.000,1.222,0.819,0.759
2,37,552.500,120.500,20.971,549,117,7,7,1.000,7.616,551,117,113.199,7.000,1.000,1.000,0.902
3,38,523.368,129.789,27.556,520,125,6,11,0.629,12.083,520,125,114.444,4.919,2.704,0.370,0.854
4,52,490.288,134.192,26.385,486,130,8,9,0.939,9.849,489,139,66.038,8.000,1.164,0.859,0.889
5,41,530.915,134.280,26.142,526,131,9,6,0.754,10.296,526,137,29.055,6.000,1.539,0.650,0.854
6,49,591.663,147.704,25.556,587,144,9,7,0.943,10.296,587,150,29.055,7.000,1.477,0.677,0.907
7,43,721.058,166.663,23.556,717,163,8,7,0.974,8.602,718,170,35.538,7.000,1.153,0.867,0.896
8,25,875.500,167.620,21.799,872,164,7,8,0.661,10.630,872,164,131.186,4.243,3.067,0.326,0.746
9,61,860.631,186.943,27.799,856,183,10,8,0.992,10.440,856,185,163.301,8.000,1.216,0.822,0.917
10,32,712.125,197.531,19.556,709,194,6,7,1.000,7.616,711,194,113.199,6.000,1.136,0.880,0.889
11,44,721.318,197.545,23.899,718,194,7,7,0.968,9.220,718,201,49.399,7.000,1.056,0.947,0.946
12,61,402.959,199.680,30.627,397,196,11,8,0.817,11.705,397,197,160.017,8.000,1.395,0.717,0.841
13,56,490.536,204.518,27.556,487,200,8,9,0.927,10.296,488,209,60.945,8.000,1.221,0.819,0.903
14,39,523.013,211.423,22.142,520,208,7,7,1.000,8.602,520,215,35.538,7.000,1.180,0.847,0.929
15,42,662.643,212.310,22.728,659,209,7,7,1.000,8.602,660,209,125.538,7.000,1.123,0.890,0.933
16,40,390.175,220.175,25.799,386,216,8,8,0.755,8.944,388,224,63.435,7.766,1.283,0.779,0.792
17,35,918.757,226.414,21.556,915,223,7,7,0.947,8.602,915,224,144.462,6.364,1.307,0.765,0.875
18,41,478.720,227.720,22.971,475,224,7,8,0.976,8.544,478,232,69.444,7.000,1.118,0.894,0.891
19,52,852.481,229.865,25.556,848,226,9,7,1.000,9.849,848,228,156.038,7.000,1.371,0.729,0.920
20,37,813.581,233.959,21.314,810,231,7,6,1.000,8.062,810,232,150.255,6.000,1.139,0.878,0.937
21,37,357.662,252.392,22.971,354,248,7,8,0.881,8.544,357,248,110.556,6.791,1.269,0.788,0.841
22,42,437.000,264.000,23.314,433,261,8,6,0.971,8.944,433,266,26.565,6.000,1.278,0.783,0.933
23,26,644.000,266.500,17.314,641,264,6,5,1.000,6.708,641,265,153.435,5.000,1.184,0.845,0.929
24,44,782.364,274.409,28.971,777,272,12,6,0.659,12.042,777,273,175.236,6.000,1.952,0.512,0.807
25,32,976.531,297.781,32.627,972,291,8,13,0.378,15.264,972,291,121.608,3.939,5.187,0.193,0.674
26,47,915.202,297.755,24.971,912,293,7,9,0.947,9.487,914,293,108.435,7.000,1.332,0.751,0.895
27,56,655.268,299.589,29.456,650,295,10,9,0.811,10.440,650,298,163.301,8.171,1.353,0.739,0.812
28,107,322.603,311.051,45.698,316,304,14,13,0.644,15.811,318,304,124.695,10.976,1.584,0.631,0.784
29,48,387.167,309.771,24.971,383,306,9,7,0.967,9.849,383,312,23.962,7.000,1.278,0.783,0.889
30,57,422.202,311.500,27.556,418,307,8,9,0.943,10.630,418,308,131.186,8.000,1.273,0.786,0.912
31,56,516.000,313.375,26.385,512,309,8,9,1.000,10.296,513,309,119.055,8.000,1.225,0.816,0.911
32,39,574.654,319.987,22.728,571,317,7,7,0.949,9.220,571,317,139.399,7.000,1.272,0.786,0.918
33,42,848.143,324.905,22.728,844,322,8,6,1.000,8.944,844,323,153.435,6.000,1.324,0.755,0.944
34,41,948.524,330.695,22.971,945,327,7,8,0.976,8.944,946,327,116.565,6.708,1.340,0.746,0.891
35,45,350.856,348.833,23.556,347,345,7,8,1.000,8.944,349,345,116.565,7.000,1.175,0.851,0.928
36,25,991.420,355.100,18.728,989,352,5,6,0.896,7.211,990,352,123.690,5.000,1.316,0.760,0.877
37,48,595.104,359.104,24.971,591,355,8,8,0.967,8.944,593,363,63.435,8.000,1.055,0.948,0.889
38,31,992.919,363.339,20.728,990,360,6,7,0.907,8.602,991,367,54.462,5.821,1.468,0.681,0.873
39,29,1001.672,370.707,34.142,999,363,5,15,0.313,15.524,999,363,104.931,3.452,5.245,0.191,0.682
40,32,457.188,370.031,27.213,454,366,8,7,0.543,8.944,454,368,153.435,7.000,1.248,0.801,0.727
