Area,X,Y,Perim.,BX,BY,Width,Height
121,668.595,91.562,0,653,90,33,5
194,693.933,105.222,0,688,93,11,23
159,701.358,108.642,0,699,93,7,34
87,650.759,115.713,0,646,111,11,10
99,759.879,119.404,0,755,114,11,12
99,693.061,119.242,0,687,115,13,10
340,596.756,128.585,0,589,117,17,25
107,640.234,126.636,0,635,121,11,13
127,666.803,142.504,0,661,137,13,12
55,722.618,141.691,0,717,139,12,6
159,718.459,148.113,0,710,142,19,13
74,423.149,171.419,0,419,167,9,10
94,666.021,172.574,0,661,168,11,10
101,647.000,179.000,0,642,174,11,11
200,692.215,186.475,0,686,176,15,20
99,547.566,186.838,0,543,181,10,12
185,644.676,196.086,0,638,188,14,21
89,603.180,194.719,0,599,189,9,13
101,680.594,193.485,0,675,189,13,10
91,862.516,201.769,0,858,196,10,12
105,438.229,203.600,0,433,198,12,12
75,781.413,203.320,0,778,198,8,11
93,908.022,214.581,0,906,205,5,20
88,665.466,214.102,0,661,209,10,11
86,674.116,216.767,0,670,211,9,12
80,752.775,215.375,0,748,211,10,10
179,469.905,221.017,0,463,214,16,15
101,562.911,223.574,0,558,218,11,12
114,608.789,223.842,0,601,218,15,12
110,448.427,223.855,0,443,219,12,11
109,426.514,235.174,0,421,230,12,12
91,515.967,236.923,0,511,232,11,11
84,689.750,237.821,0,685,233,11,11
108,384.796,239.935,0,379,235,12,11
170,452.853,243.353,0,446,236,14,16
87,734.908,244.230,0,731,239,9,12
92,566.620,245.380,0,562,241,11,10
109,785.505,249.761,0,781,244,10,13
82,832.049,248.976,0,828,244,9,11
114,438.404,258.070,0,434,249,9,18
114,431.132,258.325,0,426,250,10,16
27,891.222,251.889,0,888,250,8,5
132,800.705,262.076,0,796,252,12,20
109,371.450,262.119,0,366,257,13,12
93,685.903,261.914,0,681,257,11,11
49,924.714,260.571,0,920,258,10,6
43,932.070,261.581,0,929,258,7,8
213,643.826,266.169,0,636,259,17,15
84,858.774,263.643,0,855,259,9,11
136,918.382,270.029,0,912,263,13,15
123,930.220,269.309,0,924,264,15,12
81,721.407,270.111,0,717,265,9,11
55,728.073,270.036,0,725,265,7,11
125,429.112,271.200,0,423,266,13,11
115,712.200,273.130,0,707,267,12,14
192,844.130,275.740,0,838,267,13,20
45,704.711,274.356,0,702,270,7,9
89,938.258,275.213,0,932,270,12,10
117,788.145,279.111,0,783,273,12,13
142,564.148,279.732,0,558,274,15,13
119,692.084,280.017,0,686,274,14,13
62,702.177,282.435,0,699,278,8,10
137,918.854,286.022,0,912,279,15,14
54,821.241,284.963,0,818,281,7,9
85,708.976,288.988,0,704,284,10,11
106,928.651,291.104,0,922,285,13,12
127,851.260,288.921,0,824,286,50,6
57,940.614,291.596,0,936,286,9,11
92,725.902,290.859,0,720,287,13,9
37,929.703,298.459,0,926,296,8,6
103,737.456,304.194,0,732,299,11,13
143,730.028,307.811,0,723,300,17,16
72,934.167,304.556,0,929,300,11,10
83,377.988,306.145,0,374,301,10,11
108,404.019,307.741,0,399,302,11,12
60,518.967,307.517,0,511,306,17,4
101,779.584,312.515,0,775,306,10,13
175,891.211,314.011,0,879,308,24,12
103,390.495,311.767,0,380,309,21,6
94,573.957,316.426,0,569,312,11,10
69,720.464,317.942,0,717,313,8,11
89,509.506,322.697,0,505,318,10,11
93,414.387,325.118,0,410,320,10,11
127,920.906,327.024,0,914,320,14,15
80,659.800,326.137,0,656,321,9,11
91,471.264,329.187,0,467,324,10,11
125,932.000,340.584,0,926,335,13,12
129,944.527,341.605,0,938,335,15,12
127,505.386,344.386,0,499,338,13,13
100,480.770,348.390,0,475,343,12,11
93,630.581,349.849,0,626,345,10,11
156,399.026,353.795,0,394,346,12,17
270,908.937,355.170,0,899,347,22,17
33,438.970,351.242,0,437,348,5,8
78,565.205,358.718,0,560,355,11,9
