 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,54,701.333,101.519,38.385,699,93,6,16,0.461,16.279,699,109,79.380,6.000,3.628,0.276,0.725
2,33,601.318,96.076,32.728,594,94,15,4,0.387,15.133,594,97,7.595,3.712,5.379,0.186,0.717
3,34,695.471,99.735,23.899,693,95,5,9,0.748,10.296,693,104,60.945,5.000,2.246,0.445,0.861
4,99,677.207,110.066,46.042,673,102,9,16,0.587,16.553,673,102,115.017,9.000,1.727,0.579,0.808
5,147,688.282,111.840,66.770,678,105,20,17,0.414,25.612,678,122,38.660,12.721,2.448,0.408,0.658
6,28,758.250,108.071,26.385,753,106,11,4,0.505,11.180,753,107,169.695,4.000,3.536,0.283,0.718
7,58,587.793,112.276,32.870,583,107,9,10,0.675,11.180,585,107,116.565,8.485,1.393,0.718,0.817
8,54,702.444,114.685,41.556,700,107,6,18,0.393,18.682,701,125,74.476,6.000,3.512,0.285,0.706
9,39,651.500,116.423,30.627,648,112,7,8,0.522,8.944,650,112,116.565,7.000,1.216,0.822,0.788
10,118,690.864,120.280,64.184,682,113,17,15,0.360,20.000,682,128,36.870,12.728,1.776,0.563,0.665
11,68,760.603,119.868,29.799,756,115,9,10,0.962,11.180,758,125,63.435,9.000,1.193,0.838,0.913
12,80,596.638,126.713,34.042,591,121,10,12,0.868,13.000,595,133,67.380,9.899,1.278,0.782,0.884
13,44,641.500,126.636,36.870,637,122,8,9,0.407,9.487,640,122,108.435,8.000,1.231,0.813,0.746
14,89,492.096,136.949,59.899,490,123,4,28,0.312,28.284,490,123,98.130,4.000,8.076,0.124,0.890
15,56,667.625,143.500,37.456,663,139,9,9,0.502,10.817,664,139,123.690,9.000,1.189,0.841,0.794
16,63,720.516,147.595,49.355,713,144,15,9,0.325,15.297,713,145,168.690,8.731,1.737,0.576,0.643
17,62,491.871,157.645,32.627,487,152,9,10,0.732,11.662,488,162,59.036,8.974,1.262,0.792,0.855
18,49,754.949,165.908,27.213,750,162,9,8,0.831,9.849,750,164,156.038,8.000,1.229,0.814,0.838
19,37,425.149,172.446,24.728,421,168,7,8,0.760,9.434,422,176,57.995,6.688,1.631,0.613,0.796
20,44,666.977,173.136,34.042,663,169,8,8,0.477,9.220,663,176,40.601,8.000,1.079,0.927,0.786
21,30,649.367,179.367,22.971,646,175,6,9,0.714,9.487,647,175,108.435,5.376,1.880,0.532,0.789
22,55,548.264,187.355,37.456,544,183,8,9,0.493,10.817,545,192,56.310,8.000,1.179,0.848,0.833
23,42,604.476,194.881,26.971,601,190,6,10,0.726,10.770,602,190,111.801,6.000,2.091,0.478,0.800
24,65,645.069,198.315,29.213,641,193,8,11,0.957,11.705,643,193,109.983,8.000,1.448,0.691,0.915
25,52,862.731,201.808,25.799,859,197,8,9,0.982,10.000,860,206,53.130,7.778,1.274,0.785,0.889
26,57,438.991,204.184,34.870,435,199,8,10,0.589,10.817,435,200,123.690,8.000,1.303,0.768,0.826
27,52,782.019,203.942,27.213,778,199,8,10,0.882,10.050,781,199,95.711,8.000,1.236,0.809,0.839
28,38,667.158,214.816,28.042,663,210,8,9,0.607,10.000,663,211,143.130,7.398,1.568,0.638,0.697
29,46,674.891,216.783,34.042,671,212,7,10,0.499,10.770,672,212,111.801,6.930,1.683,0.594,0.760
30,48,753.500,216.000,24.142,750,212,7,8,1.000,9.434,751,220,57.995,7.000,1.219,0.820,0.941
31,61,471.172,219.500,35.213,467,215,9,9,0.618,10.296,467,216,150.945,9.000,1.054,0.949,0.871
32,46,564.435,223.348,30.042,560,219,8,9,0.641,9.487,563,219,108.435,8.000,1.275,0.784,0.773
33,90,609.544,225.356,47.113,603,219,12,13,0.510,15.000,604,231,53.130,10.419,1.672,0.598,0.769
34,72,449.181,224.292,32.385,444,220,10,9,0.863,12.207,444,228,34.992,9.000,1.215,0.823,0.906
35,42,517.024,236.976,32.042,513,233,8,8,0.514,9.434,515,233,122.005,8.000,1.123,0.891,0.778
36,40,690.500,238.000,27.799,686,234,8,8,0.650,9.434,688,234,122.005,7.155,1.398,0.715,0.784
37,60,386.017,240.650,42.870,381,236,10,9,0.410,10.817,381,238,146.310,9.000,1.074,0.931,0.784
38,70,453.671,242.257,43.113,449,237,10,11,0.473,12.530,450,237,118.610,9.707,1.274,0.785,0.795
39,42,735.833,244.214,27.799,732,240,7,9,0.683,9.487,734,240,108.435,7.000,1.466,0.682,0.816
40,26,568.808,245.462,22.971,565,242,7,7,0.619,8.602,566,242,125.538,5.757,1.819,0.550,0.693
41,27,787.019,247.426,21.314,783,245,7,6,0.747,8.485,784,245,135.000,5.692,1.469,0.681,0.794
42,50,832.580,249.360,25.556,829,245,7,9,0.962,9.849,830,245,113.962,7.000,1.343,0.745,0.909
43,36,892.750,254.028,27.213,889,250,7,8,0.611,8.602,891,250,125.538,6.548,1.475,0.678,0.774
