Area,X,Y,Perim.,BX,BY,Width,Height
172,718.797,210.169,0,716,188,6,40
52,659.250,213.000,0,655,209,9,10
52,903.673,235.692,0,900,232,9,8
201,715.836,252.881,0,712,233,8,39
89,949.146,244.697,0,939,242,22,6
232,954.698,267.168,0,951,247,9,41
108,771.648,257.546,0,766,252,12,12
183,969.301,265.814,0,959,260,21,12
129,760.147,267.070,0,754,261,13,14
81,814.481,278.037,0,810,274,10,10
162,731.123,284.765,0,715,282,34,7
91,672.176,293.396,0,668,288,10,12
114,938.956,298.535,0,929,296,22,6
116,970.672,310.164,0,964,305,14,12
103,1017.350,339.854,0,1012,335,12,11
210,498.333,347.910,0,491,339,16,19
95,603.032,343.547,0,598,339,11,10
105,894.343,358.648,0,888,352,14,13
94,599.096,363.415,0,594,359,11,10
106,460.764,368.236,0,455,363,12,12
90,834.389,373.233,0,829,368,12,11
97,848.639,379.278,0,844,374,11,12
75,582.320,384.720,0,577,380,11,10
60,580.617,391.133,0,576,388,11,7
112,814.839,410.857,0,808,406,14,11
211,1107.640,435.791,0,1101,424,14,24
107,952.056,432.009,0,946,427,13,11
92,686.087,442.293,0,681,437,11,11
50,589.220,442.720,0,586,439,7,8
78,1011.603,454.603,0,1007,450,10,10
94,873.883,465.011,0,869,460,11,11
120,948.108,474.917,0,943,468,12,16
149,933.369,487.255,0,930,471,7,33
96,955.448,478.604,0,951,473,10,12
240,397.562,478.625,0,376,475,43,9
99,551.939,480.495,0,546,476,13,10
43,401.023,486.070,0,398,482,7,9
57,409.281,487.105,0,405,484,10,7
39,425.769,488.923,0,423,486,7,7
253,459.601,512.917,0,456,488,8,52
45,413.311,492.867,0,410,489,7,8
28,406.964,493.357,0,404,491,7,6
95,1117.474,500.600,0,1112,496,12,10
103,426.602,503.320,0,421,498,12,12
96,600.927,504.083,0,595,500,13,9
46,1065.022,504.217,0,1060,502,11,6
102,1120.676,510.078,0,1115,505,13,10
42,805.405,510.190,0,802,507,8,7
102,717.118,519.314,0,712,513,11,14
45,1121.400,516.867,0,1117,515,10,5
76,434.842,521.961,0,431,517,9,11
72,810.903,522.111,0,805,519,12,8
87,387.609,540.023,0,383,535,10,11
68,972.426,554.044,0,968,550,10,9
84,988.036,556.536,0,983,552,11,11
62,979.629,565.258,0,976,560,8,11
79,988.734,573.190,0,984,569,10,10
145,1068.228,580.207,0,1062,573,13,15
45,387.267,578.289,0,383,575,10,7
87,394.782,586.103,0,391,581,9,12
106,542.123,605.368,0,537,600,11,12
84,870.345,610.643,0,866,606,10,11
40,766.000,627.200,0,763,624,7,7
75,827.627,633.493,0,823,629,10,10
125,1133.160,641.664,0,1128,636,12,13
48,938.271,649.375,0,935,646,8,8
71,736.859,667.676,0,733,663,9,10
68,944.956,679.368,0,941,674,8,13
234,452.004,695.077,0,448,675,9,40
102,1113.284,690.304,0,1108,685,12,11
89,1001.921,698.236,0,997,693,11,11
76,810.816,710.250,0,807,705,9,11
68,639.265,721.765,0,633,719,13,7
113,938.460,736.575,0,933,731,12,12
96,1069.323,747.333,0,1064,742,11,12
74,434.703,758.541,0,430,754,10,10
226,912.973,781.624,0,910,759,7,51
56,1069.946,767.196,0,1065,764,11,7
85,381.282,772.706,0,377,768,10,11
193,1085.238,774.834,0,1068,770,34,10
97,1017.629,776.948,0,1013,771,10,13
117,388.128,789.291,0,383,782,11,18
72,775.833,800.736,0,772,796,9,10
185,1034.314,818.859,0,1026,811,16,16
52,1021.577,824.827,0,1018,822,9,8
75,1054.520,828.187,0,1051,823,9,11
67,1027.612,829.463,0,1025,824,7,13
71,1033.310,832.282,0,1028,827,11,11
186,1009.306,836.597,0,1001,828,17,18
79,1019.937,832.734,0,1016,828,9,11
98,1049.173,841.847,0,1044,836,10,14
149,996.409,845.040,0,990,837,13,16
140,507.743,846.950,0,502,838,12,18
111,1042.505,845.090,0,1037,838,13,15
120,1018.758,844.383,0,1013,839,14,12
53,1029.094,843.660,0,1026,840,8,9
73,1030.973,850.329,0,1026,845,11,12
99,794.475,851.283,0,790,846,10,12
71,1008.549,850.380,0,1004,846,10,10
178,1037.646,856.337,0,1027,849,20,16
66,989.652,853.439,0,985,850,11,9
69,1015.783,855.275,0,1012,850,8,11
59,996.271,856.119,0,991,852,11,9
76,493.553,860.263,0,489,855,10,11
110,1004.727,861.482,0,1000,856,12,14
114,630.746,862.746,0,625,857,12,13
101,675.941,862.149,0,671,857,11,11
64,1028.000,862.266,0,1024,858,10,9
89,996.461,868.404,0,991,863,12,11
61,1029.492,868.754,0,1024,866,12,7
82,1012.451,876.195,0,1005,873,16,7
133,922.519,881.346,0,917,875,12,14
58,765.690,882.121,0,763,876,7,13
68,772.132,888.279,0,767,883,11,11
38,611.816,895.026,0,609,892,7,7
93,789.591,900.280,0,785,895,10,12
75,497.973,914.973,0,493,910,10,10
77,838.052,927.727,0,833,924,12,9
89,652.551,933.652,0,648,929,10,11
122,842.131,934.992,0,833,930,17,11
117,613.915,939.154,0,609,933,12,13
49,604.714,937.816,0,601,934,9,9
115,605.061,953.930,0,599,948,13,12
78,731.526,972.333,0,727,968,10,10
