 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,33,720.712,189.439,25.314,719,184,4,11,0.647,11.402,719,195,74.745,4.000,3.090,0.324,0.868
2,84,927.488,245.464,48.627,919,240,16,12,0.446,18.358,919,242,150.642,11.492,1.810,0.553,0.636
3,101,943.144,244.876,60.385,933,240,25,9,0.348,25.710,933,240,166.504,8.846,4.720,0.212,0.685
4,60,771.733,258.033,42.527,767,253,10,10,0.417,11.662,767,261,30.964,8.485,1.365,0.733,0.774
5,49,808.031,258.214,30.627,804,253,8,11,0.656,12.806,804,254,128.660,6.364,2.036,0.491,0.824
6,62,973.661,265.823,38.870,969,261,9,10,0.516,10.817,969,268,33.690,9.000,1.070,0.935,0.816
7,28,761.714,264.857,22.971,757,262,9,6,0.667,10.817,757,262,146.310,4.243,2.557,0.391,0.848
8,51,760.029,269.245,36.284,755,263,12,11,0.487,14.142,755,263,135.000,6.943,2.428,0.412,0.658
9,73,806.692,269.664,34.627,802,264,9,12,0.765,12.369,807,276,75.964,9.000,1.284,0.779,0.849
10,66,672.621,293.561,29.799,668,289,9,10,0.934,10.440,670,289,106.699,9.000,1.121,0.892,0.892
11,73,971.034,310.445,43.698,966,306,11,10,0.480,12.806,966,314,38.660,9.192,1.415,0.707,0.825
12,61,1018.205,340.533,44.870,1013,336,10,9,0.381,10.817,1014,337,146.310,9.000,1.080,0.926,0.762
13,78,709.103,352.000,53.899,707,339,4,25,0.337,25.179,707,364,83.157,4.000,7.154,0.140,0.881
14,49,602.929,343.765,35.799,599,340,9,8,0.480,10.296,599,346,29.055,8.000,1.039,0.962,0.754
15,105,915.862,365.367,54.527,907,358,17,14,0.444,18.788,907,364,154.799,12.333,1.355,0.738,0.714
16,65,599.515,363.931,28.385,595,359,9,9,1.000,10.817,595,367,33.690,9.000,1.168,0.856,0.922
17,47,461.181,368.564,33.698,456,364,9,9,0.520,10.296,459,364,119.055,8.485,1.323,0.756,0.734
18,35,707.557,371.471,28.485,706,365,3,13,0.542,13.153,707,378,81.254,3.000,4.122,0.243,0.946
19,30,846.433,376.767,22.971,843,374,8,6,0.714,8.944,843,380,26.565,6.000,1.546,0.647,0.769
20,65,819.285,381.608,49.941,811,377,14,9,0.327,15.232,811,379,156.801,9.000,1.491,0.671,0.660
21,42,829.048,383.476,28.971,826,379,6,10,0.629,10.817,826,380,123.690,6.000,1.850,0.540,0.785
22,83,582.018,387.054,50.284,577,381,10,13,0.412,13.928,579,394,68.962,9.701,1.487,0.673,0.755
23,28,443.000,407.143,22.971,440,403,7,8,0.667,10.000,441,403,126.870,5.466,2.198,0.455,0.727
24,27,814.759,408.426,21.556,811,406,8,6,0.730,8.544,811,410,20.556,5.316,1.893,0.528,0.761
25,56,811.464,415.161,40.870,804,411,16,8,0.421,16.763,804,417,17.354,7.155,3.068,0.326,0.675
26,64,952.281,432.531,42.284,947,428,11,9,0.450,11.402,947,434,15.255,9.000,1.149,0.870,0.800
27,60,686.400,442.783,39.698,682,438,9,10,0.478,10.817,683,447,56.310,8.944,1.262,0.793,0.805
28,53,589.670,442.858,26.385,585,439,9,8,0.957,9.487,585,441,161.565,8.000,1.101,0.908,0.891
29,50,1012.080,454.820,36.042,1008,451,9,8,0.484,10.000,1008,458,36.870,8.000,1.239,0.807,0.806
30,84,420.500,469.786,52.385,414,458,10,20,0.385,20.396,419,478,78.690,9.232,3.196,0.313,0.625
31,44,409.750,472.273,31.456,406,467,8,10,0.559,10.817,407,476,56.310,7.354,1.616,0.619,0.688
32,64,955.750,479.094,39.698,951,474,10,10,0.510,11.180,953,474,116.565,9.391,1.235,0.810,0.805
33,142,401.810,479.437,72.971,385,476,32,7,0.335,32.757,385,476,167.661,6.357,7.003,0.143,0.798
34,67,552.291,480.963,29.556,547,477,10,8,0.964,10.817,548,484,33.690,8.000,1.198,0.835,0.924
35,35,699.129,484.014,28.728,697,478,4,12,0.533,12.369,698,490,75.964,4.000,3.714,0.269,0.824
36,109,430.610,482.252,58.728,418,479,26,6,0.397,26.476,418,480,169.114,5.427,6.029,0.166,0.852
37,105,491.929,488.262,57.456,481,485,20,8,0.400,20.881,481,485,163.301,8.000,2.917,0.343,0.795
38,43,1118.779,500.849,36.627,1114,497,9,8,0.403,10.296,1114,498,150.945,8.000,1.255,0.797,0.694
39,76,427.079,503.921,30.627,422,499,10,10,1.000,11.662,424,499,120.964,9.192,1.276,0.784,0.921
40,67,931.619,512.067,48.142,929,501,5,21,0.363,21.587,929,522,76.608,4.295,6.100,0.164,0.798
41,57,1119.728,510.114,37.456,1115,506,10,8,0.511,10.817,1116,507,146.310,8.000,1.181,0.846,0.826
42,40,696.650,515.500,29.899,695,509,4,13,0.562,13.153,696,509,98.746,4.000,3.766,0.266,0.870
43,59,717.263,519.195,43.113,713,514,9,11,0.399,12.083,715,514,114.444,8.497,1.474,0.679,0.761
44,41,434.890,521.841,32.627,431,518,8,8,0.484,9.220,433,518,130.601,8.000,1.129,0.886,0.732
45,49,809.500,522.602,29.799,804,519,12,7,0.693,12.649,804,519,161.565,6.828,2.164,0.462,0.784
46,39,929.987,534.064,31.314,928,528,4,14,0.500,14.142,929,542,81.870,4.000,3.676,0.272,0.830
47,54,388.111,539.741,38.042,384,535,8,10,0.469,10.630,384,543,41.186,8.000,1.207,0.828,0.794
48,138,1127.949,539.645,74.142,1111,537,34,6,0.315,34.366,1111,537,171.634,5.115,8.058,0.124,0.849
49,62,972.903,554.597,34.042,968,550,11,9,0.672,12.530,968,552,151.390,8.050,1.478,0.677,0.827
50,87,984.649,558.408,49.598,978,551,14,14,0.444,18.439,978,565,40.601,9.192,2.105,0.475,0.707
51,105,990.405,565.205,58.770,984,554,11,21,0.382,23.259,984,575,64.537,10.186,2.385,0.419,0.680
52,27,391.130,574.167,22.385,387,571,8,7,0.677,10.000,387,572,143.130,4.950,2.551,0.392,0.761
53,43,1066.221,580.291,31.799,1063,574,7,13,0.534,14.318,1064,587,65.225,5.178,3.217,0.311,0.754
54,47,1071.011,581.415,30.385,1067,575,7,12,0.640,13.416,1067,587,63.435,5.991,2.585,0.387,0.825
55,57,395.360,585.851,41.113,391,581,9,10,0.424,10.770,393,581,111.801,8.944,1.121,0.892,0.770
56,81,734.685,591.105,51.941,726,586,15,10,0.377,16.155,726,593,21.801,9.778,1.774,0.564,0.684
57,56,542.054,606.018,37.698,538,601,9,10,0.495,12.207,539,611,55.008,7.778,1.559,0.641,0.789
