Area,X,Y,Perim.,BX,BY,Width,Height
46,808.630,133.304,0,806,129,6,9
44,616.409,141.977,0,614,138,6,9
25,611.120,143.800,0,609,141,5,6
68,889.324,154.544,0,885,150,9,10
137,834.248,168.029,0,829,161,12,15
90,923.978,170.878,0,919,166,11,11
56,822.464,171.125,0,819,167,8,9
59,785.831,171.542,0,782,168,9,8
68,746.735,181.985,0,743,178,9,9
88,943.830,185.830,0,940,180,9,12
69,627.812,186.768,0,623,183,10,9
149,746.678,192.503,0,739,184,17,18
31,755.774,187.290,0,754,184,5,7
52,662.385,188.769,0,659,185,8,9
47,520.617,190.936,0,517,186,8,10
58,873.052,193.362,0,868,190,11,8
50,756.100,193.980,0,752,191,9,8
53,677.698,196.868,0,674,192,8,11
78,685.038,197.962,0,680,194,11,10
132,695.417,200.061,0,686,194,19,13
57,869.772,197.632,0,865,194,11,8
47,744.511,201.298,0,741,198,8,7
60,752.817,204.850,0,748,201,10,8
71,936.014,205.141,0,932,201,9,10
67,863.582,205.955,0,859,202,10,9
44,987.909,205.295,0,984,202,8,8
66,735.712,207.303,0,731,203,10,9
29,666.586,206.552,0,664,204,6,6
38,777.816,207.579,0,774,204,8,8
85,920.118,209.600,0,915,204,11,12
63,501.095,209.206,0,497,205,9,9
47,676.574,207.979,0,673,205,9,8
37,687.000,207.730,0,683,205,9,6
49,742.490,208.837,0,739,205,8,9
115,910.165,214.548,0,905,207,11,15
60,666.883,211.250,0,661,208,13,7
39,682.051,211.538,0,678,208,8,7
118,708.814,213.585,0,701,209,16,10
100,678.560,218.220,0,669,215,18,8
27,689.519,219.370,0,687,216,6,7
52,668.231,224.058,0,665,220,7,10
33,676.091,223.545,0,673,221,7,6
69,804.522,228.797,0,801,224,8,11
64,878.578,229.719,0,875,225,8,10
60,512.517,231.750,0,509,228,8,9
117,710.316,236.068,0,702,232,17,9
59,664.475,237.576,0,661,233,8,10
74,582.541,239.676,0,578,235,10,10
81,592.309,246.531,0,588,241,10,11
64,560.156,245.797,0,556,242,10,8
27,695.222,247.556,0,692,246,8,4
36,691.806,252.750,0,689,249,7,8
260,705.958,256.246,0,694,249,23,16
86,575.919,254.570,0,571,250,11,10
53,858.774,255.415,0,855,252,8,8
66,974.909,257.758,0,971,254,9,9
124,688.121,262.927,0,683,256,11,14
44,882.273,259.614,0,879,256,8,8
71,696.901,263.845,0,693,258,9,12
44,820.205,262.114,0,817,259,8,7
46,679.000,265.696,0,675,261,9,9
54,671.315,267.444,0,667,264,10,9
56,855.179,267.679,0,851,264,9,9
25,702.160,269.280,0,700,267,6,6
55,673.127,272.873,0,669,269,9,9
38,682.026,271.816,0,678,269,9,6
93,706.484,275.290,0,702,270,10,12
73,450.096,274.932,0,445,271,11,9
171,677.550,281.363,0,670,275,17,15
154,712.584,284.883,0,707,275,12,21
63,961.571,285.476,0,957,282,10,8
83,610.928,287.241,0,606,283,11,9
57,544.667,288.298,0,541,284,8,9
83,827.675,291.012,0,824,285,9,13
46,1067.391,289.391,0,1064,286,8,8
79,818.772,290.215,0,813,287,12,8
148,683.331,293.595,0,677,288,14,13
76,704.079,292.974,0,700,288,9,11
54,1019.111,292.778,0,1015,289,9,8
61,716.377,295.148,0,713,290,8,10
82,468.793,296.195,0,464,292,11,10
53,779.415,297.358,0,777,293,6,11
148,724.081,303.682,0,718,297,13,15
69,883.841,301.594,0,880,297,9,10
121,624.942,304.843,0,620,298,12,15
76,915.605,303.303,0,911,299,10,9
74,614.824,304.324,0,610,300,11,10
45,591.800,306.378,0,588,303,9,8
192,602.396,315.635,0,596,304,14,22
40,609.250,307.850,0,606,304,7,9
72,585.694,312.611,0,581,307,10,11
63,593.746,313.016,0,590,308,9,11
36,731.139,310.667,0,728,308,8,6
85,994.635,311.365,0,989,308,13,9
100,451.130,315.820,0,446,311,11,11
29,616.414,314.448,0,614,312,6,6
43,621.605,316.581,0,619,312,7,9
82,723.134,316.146,0,718,312,11,10
73,999.507,316.685,0,994,312,12,10
45,414.778,315.711,0,411,313,9,6
100,396.680,322.720,0,392,317,10,12
71,611.775,320.718,0,607,317,11,8
71,695.056,320.465,0,690,317,11,8
49,625.898,323.143,0,623,319,7,9
49,727.061,322.673,0,723,319,9,8
122,590.738,327.656,0,586,320,11,15
84,618.917,326.738,0,614,321,10,12
64,728.906,331.438,0,725,327,8,10
49,598.531,331.918,0,595,328,8,9
86,626.791,333.698,0,622,329,10,10
109,527.807,335.440,0,522,330,12,12
56,616.089,336.429,0,612,333,9,8
97,552.381,342.433,0,548,337,10,12
82,626.024,342.256,0,621,338,11,9
71,1101.056,342.521,0,1097,338,9,10
38,1010.868,341.526,0,1007,339,9,6
37,581.622,342.135,0,578,340,8,6
25,987.960,342.400,0,986,340,5,6
25,992.800,344.360,0,991,342,5,6
177,1018.492,349.797,0,1009,342,20,16
35,1007.914,346.543,0,1005,344,7,6
71,986.493,349.746,0,982,346,11,9
74,926.743,350.946,0,922,347,11,9
57,999.579,351.474,0,996,347,8,10
43,627.884,350.349,0,624,348,9,6
40,1005.850,352.800,0,1003,349,6,9
32,992.531,353.250,0,990,350,6,7
66,1047.864,356.409,0,1044,351,9,12
91,811.033,357.549,0,807,352,9,12
76,791.987,357.276,0,787,353,11,9
61,983.311,359.279,0,980,354,8,11
41,1025.829,356.951,0,1022,354,8,7
71,462.268,359.817,0,457,356,11,9
32,990.062,358.875,0,987,356,7,7
80,998.288,360.650,0,994,356,10,10
62,1010.210,361.484,0,1006,356,10,11
24,1042.000,358.292,0,1040,356,5,6
85,1034.965,363.282,0,1030,359,11,10
59,1005.881,365.644,0,1002,360,9,11
114,1022.921,364.623,0,1015,360,15,11
77,404.000,366.429,0,400,361,9,11
25,1044.040,363.400,0,1042,361,5,6
119,988.824,368.639,0,980,363,16,12
33,1000.818,368.939,0,999,365,5,8
92,1049.772,370.489,0,1044,365,12,12
104,485.413,370.913,0,479,366,14,11
65,1031.892,371.354,0,1028,367,9,9
53,1040.151,370.491,0,1036,367,9,8
71,476.732,373.704,0,473,369,9,10
60,827.017,373.200,0,823,369,9,9
100,1022.560,374.070,0,1016,369,14,11
47,1005.383,374.064,0,1001,371,9,8
98,998.357,377.582,0,992,373,13,12
74,471.176,382.473,0,468,376,7,14
46,481.978,379.913,0,479,376,7,9
45,465.067,380.333,0,462,377,7,8
56,444.964,381.821,0,442,378,7,9
128,996.031,385.922,0,989,378,14,16
40,477.050,383.425,0,475,379,6,10
45,984.378,383.289,0,980,379,10,8
57,486.719,385.825,0,482,382,9,9
78,709.756,388.462,0,705,384,10,10
59,481.797,390.475,0,478,385,8,11
35,833.857,392.943,0,830,391,9,5
46,531.522,395.130,0,528,392,8,7
74,556.581,395.932,0,552,392,10,9
78,598.500,397.359,0,595,392,8,12
50,835.520,400.040,0,832,397,9,7
26,963.500,403.846,0,961,401,6,6
64,757.125,407.141,0,753,403,9,9
29,968.586,405.552,0,966,403,6,6
39,990.718,408.974,0,988,405,6,9
81,1096.123,410.099,0,1091,406,11,9
76,962.145,409.842,0,956,407,13,7
121,367.256,415.769,0,361,411,14,11
95,951.611,418.021,0,947,412,10,13
74,960.676,417.419,0,956,412,11,11
99,1019.747,421.121,0,1015,416,11,11
111,854.054,425.342,0,849,419,11,15
81,961.556,426.309,0,956,423,13,9
63,687.508,428.429,0,684,424,8,10
37,942.405,425.216,0,937,424,12,4
34,680.647,430.059,0,678,427,6,7
95,859.389,432.653,0,854,427,12,12
67,1130.448,431.284,0,1126,428,10,8
43,870.140,432.558,0,866,429,9,7
53,981.000,433.000,0,978,429,7,9
87,810.506,436.563,0,806,431,10,12
76,399.211,436.908,0,395,433,10,9
35,874.000,437.400,0,871,434,7,7
53,557.264,438.264,0,553,435,9,8
58,860.466,440.397,0,856,437,10,8
24,868.292,439.458,0,866,437,6,6
49,660.429,442.980,0,657,439,8,9
48,392.812,443.792,0,390,440,7,9
60,841.733,446.983,0,838,443,9,9
32,659.906,450.312,0,657,447,7,7
34,945.147,450.853,0,943,447,5,9
62,1132.290,450.161,0,1128,447,10,8
45,1125.000,451.111,0,1122,448,7,7
25,951.800,452.320,0,950,450,5,6
36,955.806,455.333,0,953,452,7,7
30,961.300,457.533,0,959,455,6,7
66,976.530,458.818,0,972,455,10,9
55,1038.091,460.127,0,1035,456,7,9
40,643.200,460.200,0,640,457,7,7
36,947.389,459.861,0,945,457,6,7
69,966.493,462.304,0,962,458,10,10
28,1044.000,460.500,0,1042,458,5,6
25,653.040,461.240,0,651,459,5,6
43,957.302,461.605,0,953,459,10,6
66,680.970,467.258,0,677,461,9,13
47,952.128,466.213,0,949,461,7,10
24,688.333,464.958,0,686,463,6,5
51,492.549,467.216,0,489,464,8,8
66,1036.667,468.045,0,1031,464,13,9
23,675.435,467.913,0,674,465,4,7
55,959.273,467.836,0,955,465,11,7
66,655.545,470.697,0,651,466,9,11
44,708.114,469.205,0,705,466,8,7
47,686.234,470.830,0,683,467,7,8
64,670.484,472.781,0,665,469,11,9
55,649.600,474.927,0,645,471,10,8
68,962.941,474.397,0,958,471,11,8
49,1112.959,475.388,0,1110,471,7,9
73,955.425,477.904,0,951,473,10,11
42,688.167,477.429,0,683,475,11,6
121,654.306,483.091,0,649,477,13,13
78,674.179,482.205,0,670,477,9,12
80,795.600,482.288,0,791,477,10,11
57,644.491,481.105,0,640,478,10,8
84,967.952,484.583,0,964,479,9,12
30,947.000,482.600,0,944,480,7,6
19,634.895,484.579,0,633,482,5,6
148,660.905,491.419,0,656,482,10,18
63,668.524,487.492,0,666,482,7,12
33,765.909,486.667,0,763,483,6,8
48,645.417,487.938,0,642,484,8,8
90,934.344,488.567,0,927,485,16,8
80,1064.975,489.212,0,1060,485,11,10
84,911.405,491.595,0,907,487,10,10
64,449.094,491.828,0,445,488,9,9
73,872.096,494.425,0,867,491,11,8
59,936.678,494.966,0,933,491,9,9
50,646.200,494.720,0,642,492,9,7
60,829.300,495.967,0,825,492,10,9
81,462.395,497.765,0,458,493,10,10
68,587.618,496.412,0,583,493,10,8
59,927.254,495.814,0,922,493,11,7
78,726.090,498.026,0,721,494,11,9
55,1033.745,497.618,0,1029,495,11,6
53,712.887,500.604,0,710,496,7,10
47,928.404,501.766,0,924,499,9,7
71,567.225,505.000,0,563,500,9,10
65,720.323,505.369,0,715,502,11,8
144,327.931,512.931,0,320,506,17,16
61,601.541,509.377,0,598,506,9,8
39,593.590,509.949,0,590,508,8,5
64,493.484,515.859,0,490,511,8,10
47,1044.617,515.787,0,1041,512,8,8
50,810.380,518.620,0,807,515,8,8
40,484.700,520.300,0,482,516,6,9
74,618.568,523.662,0,614,519,10,10
60,938.550,530.583,0,935,526,9,10
84,510.345,531.202,0,505,527,12,9
39,788.308,530.513,0,785,527,7,8
52,799.904,530.846,0,796,528,9,7
75,1042.720,533.813,0,1037,530,12,8
29,1050.655,532.862,0,1048,530,6,7
51,476.020,537.667,0,472,534,9,9
77,405.403,539.623,0,399,536,13,9
46,522.348,539.978,0,519,537,8,7
70,1041.743,540.786,0,1036,538,12,7
45,1001.311,542.289,0,998,539,7,8
36,1034.889,544.278,0,1032,541,7,7
55,779.145,546.345,0,776,542,8,9
66,625.485,547.848,0,622,543,8,11
25,1116.360,546.120,0,1113,544,7,5
65,939.938,548.354,0,936,545,9,8
202,567.965,558.936,0,562,550,13,19
103,1002.223,554.466,0,996,550,13,10
47,984.468,553.936,0,981,551,8,7
90,748.556,559.578,0,744,554,10,12
45,478.933,558.533,0,476,555,7,8
58,1089.603,558.897,0,1086,555,8,9
54,967.167,559.759,0,963,557,10,7
59,830.424,564.881,0,827,561,8,9
48,962.354,565.021,0,958,561,9,9
18,954.500,565.222,0,953,563,4,5
121,758.182,569.769,0,752,564,14,12
102,474.716,570.500,0,470,565,11,12
69,539.014,568.913,0,535,565,9,9
47,974.191,570.745,0,971,567,7,9
55,962.236,574.218,0,960,569,6,11
47,633.255,575.426,0,631,571,6,10
37,968.324,574.378,0,966,571,6,8
40,639.000,575.350,0,636,572,7,8
41,878.927,575.463,0,875,573,9,6
52,756.827,579.462,0,754,575,7,10
59,586.068,579.068,0,581,576,11,8
35,628.857,580.086,0,626,577,7,7
35,1020.086,579.571,0,1017,577,7,6
59,621.610,581.169,0,617,578,10,8
48,637.542,582.833,0,635,579,6,9
45,589.600,585.644,0,586,582,8,8
31,615.677,585.161,0,612,583,8,5
61,668.082,586.918,0,664,583,9,9
52,630.096,587.231,0,626,584,9,8
23,642.130,588.130,0,640,585,5,7
35,572.771,588.429,0,570,586,7,6
40,635.250,590.125,0,632,587,8,7
100,591.790,592.940,0,585,588,14,10
23,627.043,593.391,0,625,591,5,6
68,571.809,597.941,0,567,592,10,13
79,450.025,604.241,0,446,599,9,11
36,502.472,602.250,0,499,600,8,6
35,578.943,604.657,0,576,601,6,9
46,508.978,606.087,0,506,602,7,9
63,739.603,605.952,0,736,602,9,9
63,626.000,609.000,0,622,605,9,9
74,385.054,611.730,0,381,607,9,11
52,827.058,611.058,0,824,607,7,9
41,583.537,611.171,0,580,608,8,7
39,504.692,611.385,0,501,609,8,6
137,839.299,615.577,0,833,609,15,14
59,425.559,614.186,0,422,610,8,9
49,499.429,615.837,0,496,612,8,9
55,575.600,619.945,0,572,616,8,9
62,824.387,620.016,0,821,616,8,9
78,504.449,621.705,0,499,618,12,9
45,785.556,622.044,0,783,618,6,9
39,844.538,621.564,0,841,619,8,6
90,753.011,626.600,0,748,622,11,10
43,495.698,625.628,0,492,623,9,7
66,479.242,627.788,0,475,624,10,9
80,817.712,630.638,0,814,625,8,12
43,761.233,630.163,0,758,627,8,8
257,772.031,638.374,0,764,630,18,19
25,807.720,633.000,0,805,631,6,6
35,812.657,635.829,0,809,633,8,6
83,706.205,638.554,0,701,634,11,10
69,804.391,640.058,0,801,635,8,11
21,798.857,638.619,0,797,636,5,6
60,796.367,644.950,0,793,640,8,11
31,812.290,645.871,0,810,643,6,7
71,642.338,647.366,0,637,644,12,8
60,1118.017,647.617,0,1114,644,9,8
56,1004.500,649.000,0,1001,645,8,9
58,418.586,648.828,0,414,646,10,7
53,805.528,650.453,0,802,646,8,10
46,634.804,652.261,0,632,648,8,9
58,794.276,652.983,0,791,648,9,10
36,641.861,654.389,0,639,652,7,6
87,567.172,657.310,0,562,653,11,10
46,626.696,655.609,0,623,653,9,7
59,1074.983,657.305,0,1071,653,9,9
46,873.978,657.652,0,871,654,7,8
24,643.875,661.333,0,642,659,5,6
27,806.222,661.519,0,804,659,6,6
28,574.929,662.357,0,572,660,6,6
180,506.817,670.917,0,499,662,18,18
73,1038.370,666.055,0,1034,662,10,9
66,641.909,670.000,0,638,664,9,12
52,649.019,669.019,0,646,664,7,11
87,849.448,669.977,0,844,664,13,12
35,583.429,667.343,0,580,665,8,6
35,578.486,669.514,0,576,666,6,9
39,825.513,674.410,0,823,671,6,8
33,819.182,674.636,0,816,672,8,6
54,959.056,679.148,0,955,676,9,7
51,664.020,682.157,0,660,678,8,9
67,655.478,683.493,0,651,679,10,10
57,825.982,683.386,0,822,679,9,10
61,894.131,693.705,0,890,690,9,9
88,1113.955,696.307,0,1110,691,9,12
81,885.901,696.864,0,882,692,9,11
47,394.979,698.426,0,391,695,10,8
47,433.936,698.106,0,430,695,9,7
31,672.839,710.484,0,670,707,6,8
65,1058.923,713.985,0,1055,710,9,9
67,715.269,716.299,0,711,712,9,10
46,561.891,715.891,0,558,713,9,7
