 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,32,809.281,133.562,20.728,806,130,6,7,0.936,8.062,807,137,60.255,6.000,1.376,0.727,0.877
2,44,889.705,155.182,23.556,886,151,7,8,0.996,8.602,887,152,125.538,7.000,1.156,0.865,0.907
3,112,834.616,168.679,38.870,829,162,11,14,0.932,14.318,833,162,102.095,11.000,1.245,0.803,0.903
4,64,924.453,171.562,28.385,920,167,9,9,0.998,11.402,920,175,37.875,8.485,1.331,0.751,0.921
5,38,822.947,171.711,22.142,820,168,6,8,0.974,9.434,821,176,57.995,6.000,1.524,0.656,0.927
6,28,767.786,171.429,18.728,764,169,7,5,1.000,7.280,764,171,164.055,5.000,1.292,0.774,0.903
7,36,786.361,172.111,20.728,783,169,7,6,1.000,8.062,783,170,150.255,6.000,1.186,0.843,0.935
8,32,617.688,180.750,20.728,614,178,7,6,0.936,8.062,614,179,150.255,6.000,1.317,0.759,0.877
9,46,747.304,182.370,24.142,744,178,7,8,0.992,9.220,744,179,130.601,7.000,1.180,0.848,0.929
10,66,944.076,186.455,29.799,940,181,8,11,0.934,11.402,943,192,74.745,8.000,1.363,0.734,0.904
11,50,628.240,187.340,25.556,624,184,9,7,0.962,9.487,624,185,161.565,7.000,1.239,0.807,0.909
12,38,662.895,189.158,21.556,660,185,6,8,1.000,8.544,661,193,69.444,6.000,1.296,0.771,0.916
13,135,749.011,193.544,64.426,740,185,20,16,0.409,21.541,740,187,158.199,11.452,2.242,0.446,0.698
14,41,520.720,191.012,22.971,517,187,7,8,0.976,8.544,519,187,110.556,7.000,1.240,0.807,0.882
15,25,677.940,197.700,21.314,675,193,5,8,0.692,9.434,675,201,57.995,4.472,2.245,0.446,0.862
16,105,696.214,200.729,49.355,687,194,17,14,0.542,19.723,687,205,30.466,10.114,2.549,0.392,0.750
17,51,685.049,198.500,26.971,681,195,9,8,0.881,11.402,681,202,37.875,7.071,1.685,0.594,0.903
18,51,936.324,205.480,24.971,933,201,7,9,1.000,9.849,934,201,113.962,7.000,1.294,0.773,0.919
19,40,753.525,205.450,24.385,749,202,9,7,0.845,9.849,749,207,23.962,6.261,1.620,0.617,0.842
20,31,702.113,206.081,20.728,698,203,7,6,0.907,8.062,698,205,150.255,6.000,1.173,0.852,0.873
21,46,864.022,206.630,23.556,860,203,8,7,1.000,9.434,860,204,147.995,7.000,1.248,0.801,0.920
22,28,988.357,205.929,19.314,985,203,6,6,0.943,7.810,986,209,50.194,6.000,1.259,0.794,0.889
23,61,666.746,210.123,37.456,662,204,11,11,0.546,12.083,663,215,65.556,10.111,1.312,0.762,0.726
24,47,738.500,208.309,40.527,733,204,13,9,0.360,13.342,733,209,12.995,8.379,1.611,0.621,0.570
25,35,778.071,208.414,20.728,775,205,6,7,1.000,8.602,776,212,54.462,6.000,1.345,0.744,0.933
26,64,920.406,210.391,31.213,916,205,9,11,0.825,12.530,918,216,61.390,7.603,1.773,0.564,0.871
27,46,501.261,209.717,24.142,497,206,8,7,0.992,9.220,498,213,40.601,7.000,1.141,0.876,0.911
28,50,679.820,209.980,36.042,673,206,12,9,0.484,13.601,674,206,143.973,6.946,2.271,0.440,0.676
29,89,910.590,215.365,37.213,906,208,9,14,0.808,14.866,907,222,70.346,8.974,1.815,0.551,0.877
30,51,711.657,213.873,30.971,706,209,10,9,0.668,13.454,706,209,138.013,7.273,1.976,0.506,0.773
31,99,700.520,216.247,55.598,691,210,18,12,0.402,20.591,691,211,150.945,9.391,2.551,0.392,0.728
32,31,1010.952,217.790,23.556,1008,213,7,8,0.702,9.434,1008,213,122.005,6.345,1.531,0.653,0.765
33,61,678.730,218.943,39.456,670,216,16,6,0.492,16.492,670,220,14.036,6.000,3.064,0.326,0.767
34,50,804.720,229.460,24.971,801,225,7,9,1.000,9.849,803,225,113.962,7.000,1.318,0.759,0.926
35,43,878.965,230.267,24.142,876,226,6,9,0.927,9.487,878,235,71.565,6.000,1.458,0.686,0.905
