Area,X,Y,Perim.,BX,BY,Width,Height
140,707.050,110.800,0,705,96,5,32
66,604.303,113.561,0,599,110,11,8
161,687.689,116.832,0,680,110,16,14
64,622.281,120.984,0,618,116,10,10
64,528.609,127.625,0,524,124,10,9
97,626.093,131.887,0,622,126,10,13
118,499.051,147.771,0,497,136,5,25
104,642.115,151.337,0,636,147,13,10
103,622.524,159.835,0,617,155,12,12
123,784.772,163.764,0,778,159,14,11
94,692.564,170.574,0,687,166,12,10
75,668.320,177.227,0,663,173,11,10
68,596.868,183.838,0,592,180,10,9
78,875.256,189.346,0,870,185,11,10
81,675.593,190.099,0,670,186,12,9
138,633.638,193.652,0,626,188,16,12
75,549.413,195.653,0,545,191,10,10
70,594.629,196.986,0,590,193,10,9
123,512.203,200.691,0,506,196,14,12
46,798.957,204.283,0,795,201,9,8
78,873.577,205.564,0,869,201,10,10
87,424.103,208.874,0,419,203,11,12
70,704.114,207.957,0,700,203,9,10
80,695.812,210.012,0,692,205,9,11
213,546.094,215.714,0,539,208,17,18
105,842.505,212.476,0,836,208,13,10
64,599.578,214.078,0,596,210,8,10
151,427.391,221.616,0,422,212,12,18
146,439.507,220.911,0,433,215,14,14
62,511.823,232.871,0,508,229,9,9
97,441.155,236.825,0,435,232,13,11
152,594.579,241.257,0,589,234,12,15
69,511.000,242.000,0,507,238,9,9
78,472.910,243.333,0,469,239,9,10
74,657.500,249.000,0,653,245,10,9
88,482.182,254.023,0,477,249,11,11
201,643.075,265.692,0,636,256,15,19
60,410.317,267.767,0,406,264,9,9
92,810.739,270.130,0,805,266,13,9
64,839.328,271.719,0,835,268,9,9
61,497.180,274.721,0,494,269,7,13
157,782.478,275.586,0,776,269,14,14
64,27.469,274.391,0,23,271,10,9
185,897.508,279.957,0,888,273,19,14
76,584.592,284.908,0,580,281,10,9
145,429.310,287.800,0,423,282,14,13
99,558.313,291.768,0,553,287,11,11
271,842.959,299.996,0,833,291,20,18
71,605.676,296.042,0,601,292,10,9
87,564.552,301.069,0,559,297,12,9
72,635.111,307.736,0,631,303,9,10
102,922.225,312.912,0,917,308,12,11
53,644.340,313.547,0,641,310,8,8
167,825.910,323.635,0,820,317,14,14
75,390.240,324.787,0,386,320,10,10
68,811.029,330.059,0,807,326,9,9
73,503.397,361.123,0,499,356,10,11
100,510.740,370.900,0,509,359,5,24
57,816.614,365.667,0,813,361,8,10
103,804.097,371.117,0,798,366,13,11
163,386.933,375.755,0,381,369,14,15
132,511.644,396.894,0,509,383,6,28
51,656.941,389.431,0,653,386,9,8
190,833.063,392.800,0,826,386,15,16
140,542.679,396.764,0,536,391,15,13
59,905.644,402.983,0,902,399,8,9
110,489.955,407.755,0,485,401,11,14
61,899.230,405.475,0,896,401,8,10
74,702.459,408.149,0,698,403,9,11
81,517.531,413.420,0,513,408,10,11
110,540.955,414.700,0,534,410,14,11
167,481.305,420.593,0,476,412,12,18
52,587.519,416.173,0,583,413,10,7
199,578.196,424.246,0,570,416,17,17
75,322.733,424.960,0,318,420,10,10
85,744.776,429.847,0,740,425,11,10
82,559.293,432.390,0,555,427,10,11
138,758.384,433.043,0,751,428,16,12
87,532.943,435.759,0,528,431,11,10
126,645.103,439.460,0,639,433,13,14
72,569.639,440.708,0,565,437,10,9
138,493.522,444.196,0,487,438,15,12
80,738.362,442.650,0,734,438,10,10
44,508.545,449.636,0,506,445,6,11
161,883.242,454.298,0,876,448,16,13
133,420.699,458.842,0,414,453,14,13
103,433.524,457.922,0,428,453,12,12
69,469.261,461.768,0,465,457,9,10
232,499.543,466.483,0,492,457,15,20
33,662.576,460.182,0,660,457,7,7
66,775.045,462.939,0,771,459,9,9
62,429.048,465.081,0,425,460,9,10
85,401.965,467.282,0,397,463,11,10
49,489.265,470.694,0,486,467,8,8
101,684.416,476.208,0,679,471,12,11
255,321.529,478.953,0,311,472,21,16
114,989.728,479.798,0,983,474,14,11
64,359.000,479.969,0,355,476,9,10
156,428.026,482.179,0,421,476,15,14
55,672.218,482.364,0,668,479,9,8
146,787.000,492.007,0,780,486,15,14
148,372.662,493.662,0,365,488,16,14
103,983.524,494.350,0,979,488,10,14
73,542.575,493.082,0,538,489,10,9
88,361.284,496.989,0,357,492,11,12
66,393.727,498.955,0,389,495,10,9
203,945.187,505.409,0,937,497,17,18
77,343.104,505.286,0,338,499,11,13
82,746.171,504.073,0,741,500,11,9
