Area,X,Y,Perim.,BX,BY,Width,Height
59,873.610,10.576,0,869,7,10,8
51,122.941,17.451,0,120,14,7,8
51,395.333,27.588,0,392,24,8,8
54,907.130,28.556,0,903,25,9,8
67,121.746,44.955,0,117,42,11,7
109,867.321,57.147,0,864,47,7,21
33,1034.939,51.333,0,1032,48,7,7
62,885.726,67.806,0,881,64,11,8
104,1269.760,72.029,0,1265,66,11,13
118,548.331,75.610,0,542,70,14,11
223,563.865,88.610,0,556,79,17,19
109,549.798,87.000,0,545,80,10,16
122,474.434,92.951,0,471,84,8,18
124,459.274,110.863,0,456,101,8,21
155,535.923,109.923,0,529,103,14,15
139,576.504,118.453,0,570,111,14,17
93,818.731,120.290,0,815,114,8,14
110,503.382,123.455,0,496,119,15,10
44,411.886,131.750,0,409,128,7,8
84,1422.500,178.262,0,1418,173,10,11
106,351.585,200.104,0,346,195,12,11
67,40.970,214.224,0,35,211,12,8
103,1203.767,217.942,0,1200,211,9,15
162,489.506,230.099,0,482,224,17,13
127,926.787,242.638,0,924,229,6,26
25,418.960,235.600,0,417,233,5,6
134,917.052,245.672,0,912,239,12,15
89,545.843,277.517,0,540,273,13,10
93,375.355,281.237,0,370,277,12,10
57,1339.070,284.474,0,1335,281,9,8
99,1371.465,302.202,0,1366,297,11,12
64,1332.094,316.656,0,1328,313,9,10
218,1348.945,325.138,0,1341,318,16,16
60,1412.883,323.617,0,1409,319,8,10
72,1399.708,331.278,0,1395,327,11,9
95,937.905,373.032,0,932,368,13,11
106,469.406,389.283,0,465,383,10,13
95,550.505,389.116,0,546,384,12,12
51,242.980,428.078,0,239,425,9,7
62,871.048,434.855,0,866,431,11,8
139,524.065,454.309,0,518,447,13,14
131,870.000,463.771,0,864,458,13,13
775,542.601,494.226,0,528,480,31,33
145,262.476,511.448,0,257,505,13,14
52,164.115,526.769,0,161,521,7,12
90,708.367,527.233,0,702,523,13,10
219,1017.959,544.557,0,1011,534,15,23
51,1369.196,603.784,0,1366,600,8,9
198,1065.803,631.076,0,1060,622,15,18
208,1194.938,663.327,0,1185,657,20,13
71,822.761,690.690,0,819,686,9,10
73,1040.616,691.726,0,1036,688,10,9
58,410.759,744.828,0,407,741,9,9
76,418.737,752.079,0,413,747,11,12
108,379.861,768.787,0,375,763,11,13
82,860.232,787.305,0,856,782,9,12
172,866.401,833.599,0,861,825,12,19
134,740.276,836.321,0,735,830,12,14
72,702.472,835.028,0,698,831,10,9
93,1107.731,839.151,0,1104,833,8,14
163,1099.288,856.417,0,1092,851,16,12
61,1053.262,875.803,0,1049,872,10,8
27,7.519,901.741,0,4,900,9,4
203,875.783,917.044,0,869,909,16,16
60,1412.117,926.050,0,1409,921,7,11
38,5.526,934.868,0,2,931,9,8
48,782.646,935.854,0,779,932,8,8
196,848.398,954.944,0,839,948,19,15
47,688.809,977.234,0,683,960,18,32
155,564.632,996.065,0,554,991,21,10
49,26.714,999.490,0,21,997,12,6
88,11.284,1013.659,0,4,1008,15,13
43,5.884,1016.023,0,1,1013,11,7
74,1404.622,1018.446,0,1401,1014,9,11
46,8.826,1023.022,0,5,1018,9,12
47,1305.170,1020.957,0,1301,1018,9,7
79,22.582,1023.886,0,17,1019,15,13
55,48.564,1024.509,0,45,1019,7,12
56,13.071,1026.482,0,8,1021,11,10
30,93.933,1023.767,0,89,1022,11,4
25,92.680,1028.880,0,89,1027,9,4
93,762.914,1031.989,0,758,1027,10,13
48,10.812,1033.146,0,6,1031,11,6
56,25.804,1033.232,0,20,1031,12,6
59,16.254,1041.051,0,14,1035,6,13
64,30.703,1039.344,0,24,1036,14,7
59,60.475,1041.136,0,55,1037,11,9
46,21.696,1044.500,0,17,1041,11,8
61,55.098,1044.967,0,47,1042,18,8
31,30.387,1044.742,0,26,1043,10,4
73,23.288,1054.301,0,20,1045,7,18
68,107.265,1052.721,0,99,1050,19,6
44,29.773,1054.795,0,26,1051,9,9
43,51.512,1057.535,0,46,1055,14,5
43,57.465,1063.977,0,53,1062,10,5
52,19.635,1066.212,0,15,1063,11,7
51,19.549,1072.157,0,15,1069,10,7
59,35.864,1072.661,0,29,1070,15,6
