 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,99,656.965,217.864,49.841,650,212,14,12,0.501,15.811,651,212,145.305,11.738,1.334,0.750,0.742,cell
2,98,651.000,229.837,48.042,647,221,9,16,0.534,18.358,647,221,119.358,9.000,1.733,0.577,0.803,cell
3,64,706.703,228.469,28.728,703,224,8,9,0.974,10.817,703,224,123.690,8.000,1.161,0.861,0.955,cell
4,92,918.837,246.315,34.385,914,241,10,11,0.978,12.806,915,241,128.660,10.000,1.166,0.858,0.944,cell
5,67,832.500,246.724,29.556,828,242,9,9,0.964,12.042,829,242,131.634,8.854,1.348,0.742,0.931,cell
6,28,618.036,259.607,21.556,614,257,8,5,0.757,8.544,614,261,20.556,5.000,1.910,0.524,0.812,cell
7,167,924.596,284.698,70.284,920,266,9,30,0.425,30.150,923,296,84.289,9.000,2.839,0.352,0.788,cell
8,49,879.500,275.255,36.042,875,268,8,13,0.474,13.342,875,281,77.005,7.692,1.839,0.544,0.653,cell
9,30,888.767,272.867,32.284,885,268,9,10,0.362,11.662,887,268,120.964,6.708,2.302,0.434,0.536,cell
10,30,885.600,280.800,23.556,883,277,5,9,0.679,9.849,884,286,66.038,5.000,1.762,0.567,0.822,cell
11,32,672.031,291.250,33.213,668,287,7,10,0.365,11.180,669,287,116.565,6.261,1.914,0.523,0.681,cell
12,41,911.500,355.402,22.728,908,352,7,7,0.997,8.602,909,359,54.462,7.000,1.092,0.916,0.921,cell
13,38,820.947,361.263,22.142,817,358,7,7,0.974,8.602,818,358,125.538,7.000,1.206,0.829,0.905,cell
14,43,555.523,371.640,24.385,551,368,9,7,0.909,9.220,551,370,167.471,7.000,1.277,0.783,0.851,cell
15,70,938.343,374.571,29.556,934,370,9,9,1.000,10.817,934,378,33.690,9.000,1.084,0.922,0.946,cell
16,66,469.985,389.864,29.556,466,385,8,10,0.949,11.180,467,385,116.565,8.000,1.278,0.782,0.923,cell
17,107,552.678,390.051,37.213,546,385,13,10,0.971,13.928,546,388,158.962,10.000,1.276,0.784,0.934,cell
18,71,627.331,391.585,30.627,623,386,9,11,0.951,11.180,626,397,79.695,9.000,1.162,0.861,0.887,cell
19,60,806.133,391.917,27.799,802,387,8,10,0.976,10.440,805,387,106.699,8.000,1.238,0.808,0.896,cell
20,46,607.783,402.087,24.385,604,398,8,8,0.972,9.434,604,399,147.995,7.603,1.262,0.793,0.876,cell
21,87,524.523,455.213,33.213,519,450,11,10,0.991,12.083,519,453,155.556,10.000,1.147,0.872,0.921,cell
22,60,355.517,533.433,33.213,351,529,9,9,0.684,11.402,351,538,37.875,9.000,1.259,0.794,0.839,cell
23,74,1133.270,535.446,32.042,1128,531,11,10,0.906,12.207,1129,531,124.992,8.485,1.435,0.697,0.897,cell
24,190,1021.937,545.489,87.296,1013,535,22,19,0.313,27.203,1013,536,143.973,13.200,2.131,0.469,0.745,cell
25,31,1077.403,544.984,21.314,1075,541,5,8,0.858,9.434,1075,541,122.005,5.000,1.943,0.515,0.886,cell
26,179,1131.841,550.366,63.012,1123,542,18,16,0.567,20.616,1125,558,50.906,13.884,1.527,0.655,0.834,cell
27,34,384.118,546.265,23.556,381,543,6,7,0.770,8.485,381,543,135.000,6.000,1.201,0.833,0.861,cell
28,66,360.288,556.258,28.627,356,551,9,10,1.000,11.180,358,551,116.565,8.485,1.304,0.767,0.910,cell
29,68,968.059,584.309,29.799,963,580,10,9,0.962,11.180,963,582,153.435,9.000,1.235,0.810,0.907,cell
30,55,1067.736,630.773,26.385,1064,626,8,9,0.993,10.000,1064,627,126.870,8.000,1.181,0.847,0.902,cell
31,72,465.972,657.333,30.385,461,653,10,9,0.980,11.662,461,654,149.036,9.000,1.282,0.780,0.929,cell
32,70,452.614,665.986,34.385,449,660,9,11,0.744,12.530,449,660,118.610,9.000,1.433,0.698,0.859,cell
33,43,821.384,676.384,22.728,818,673,7,7,1.000,8.602,818,679,35.538,7.000,1.088,0.919,0.945,cell
34,40,823.075,691.300,22.728,820,688,7,7,0.973,9.220,820,695,40.601,7.000,1.302,0.768,0.930,cell
