Area,X,Y,Perim.,BX,BY,Width,Height
74,679.068,94.135,0,674,90,12,9
408,757.174,115.255,0,742,102,30,24
151,733.841,114.397,0,729,103,10,22
99,624.889,126.576,0,620,121,11,12
91,726.901,129.352,0,718,127,18,6
134,696.082,131.493,0,682,129,30,6
330,713.400,145.961,0,706,129,19,30
269,654.836,133.647,0,631,130,52,11
113,719.982,140.956,0,715,135,11,14
56,678.339,138.911,0,674,136,10,7
211,512.754,156.991,0,505,148,16,19
126,641.206,156.222,0,636,150,12,13
245,837.682,170.061,0,812,166,51,9
181,658.514,173.144,0,643,170,31,7
289,789.540,174.294,0,764,170,49,9
326,700.702,179.285,0,678,174,49,13
81,730.309,179.000,0,725,174,10,11
158,665.582,180.880,0,654,177,25,9
49,798.204,181.204,0,795,178,8,8
129,625.426,188.132,0,620,180,11,17
131,736.969,190.328,0,733,181,11,17
99,752.949,188.879,0,747,183,11,13
97,670.443,187.938,0,665,184,12,10
172,642.378,192.279,0,635,185,15,15
162,694.778,192.642,0,688,185,14,17
68,633.853,190.897,0,631,186,8,12
119,519.050,193.546,0,513,188,13,12
105,531.219,201.686,0,528,190,6,26
92,617.989,196.880,0,613,191,12,12
98,587.316,200.378,0,583,194,10,13
189,855.079,204.519,0,849,196,14,19
160,914.781,209.438,0,904,199,22,23
86,649.826,207.907,0,646,202,9,13
91,575.418,208.418,0,571,203,10,12
152,736.651,220.934,0,734,203,6,43
103,515.650,210.505,0,511,205,11,12
106,900.245,215.500,0,896,209,9,14
102,454.049,215.186,0,449,210,12,12
70,656.643,214.500,0,650,211,13,8
87,751.724,217.448,0,747,213,11,10
28,912.964,216.250,0,911,213,5,7
208,665.106,224.827,0,657,214,16,22
67,657.910,221.627,0,654,217,9,10
84,805.952,228.417,0,802,223,9,12
110,771.000,231.255,0,766,225,11,13
142,456.782,235.155,0,451,226,12,18
218,467.936,235.372,0,461,226,15,20
110,673.464,231.882,0,668,226,12,12
99,540.838,237.556,0,536,232,11,12
80,824.200,238.950,0,820,234,10,11
97,834.722,239.454,0,830,234,10,12
25,620.200,236.920,0,618,235,6,5
67,711.806,238.448,0,707,235,11,8
150,891.433,246.607,0,885,237,13,18
128,639.281,246.727,0,634,240,11,15
162,433.160,247.123,0,425,241,16,13
79,555.684,245.177,0,550,242,14,9
45,713.178,244.289,0,709,242,9,6
73,901.329,248.973,0,897,244,11,10
102,784.304,250.814,0,779,245,11,13
94,488.160,251.149,0,483,246,11,11
44,557.705,249.591,0,553,247,10,6
38,534.447,253.237,0,533,248,4,11
70,882.500,255.286,0,879,249,8,13
70,661.957,255.143,0,658,250,8,11
71,796.070,256.915,0,793,251,8,13
95,438.611,260.126,0,434,255,10,12
74,697.176,260.392,0,693,256,9,10
97,711.258,262.722,0,706,257,11,12
97,721.031,264.876,0,716,259,10,13
77,341.065,265.143,0,337,260,9,11
106,561.557,267.538,0,557,262,11,12
85,688.941,271.494,0,684,266,10,12
141,806.177,273.603,0,799,266,14,16
57,391.526,272.772,0,386,270,11,7
135,497.911,282.104,0,494,270,10,25
154,468.474,276.844,0,460,271,18,12
65,746.169,276.077,0,743,271,8,11
141,938.716,281.709,0,934,271,9,26
54,493.370,278.926,0,491,274,6,12
78,509.192,277.731,0,503,274,13,9
89,381.854,281.640,0,377,277,11,10
84,441.714,284.012,0,438,278,8,13
138,790.609,282.993,0,783,278,15,12
81,881.136,286.605,0,877,281,9,12
72,510.139,286.944,0,506,282,9,10
110,352.136,289.509,0,347,284,11,12
102,375.431,289.735,0,368,284,15,13
68,527.103,291.015,0,523,286,9,10
74,806.284,292.838,0,803,287,8,12
82,898.634,291.317,0,894,287,10,10
82,612.256,294.256,0,608,289,9,11
140,722.557,295.057,0,717,289,13,14
78,374.795,296.654,0,369,291,13,11
115,365.957,299.748,0,361,293,11,14
361,649.269,311.751,0,639,295,20,34
89,771.573,304.000,0,767,298,10,12
57,873.158,305.263,0,870,300,7,12
