 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,44,679.068,94.455,25.799,675,90,9,8,0.831,10.817,675,91,146.310,6.364,1.799,0.556,0.830
2,39,567.141,110.474,26.627,564,106,7,9,0.691,9.849,566,115,66.038,6.740,1.675,0.597,0.757
3,59,734.178,116.364,38.627,731,108,7,16,0.497,16.031,734,108,93.576,6.668,2.836,0.353,0.742
4,55,513.282,124.973,29.556,509,120,9,9,0.791,12.042,510,120,131.634,7.496,1.704,0.587,0.846
5,58,624.897,126.534,41.113,620,121,10,11,0.431,11.402,621,123,142.125,10.000,1.316,0.760,0.659
6,34,714.500,132.265,21.899,711,130,8,5,0.891,9.434,711,135,32.005,5.000,1.628,0.614,0.958
7,148,711.811,146.655,78.426,707,136,13,21,0.302,22.361,710,136,116.565,12.728,1.957,0.511,0.671
8,44,719.386,141.636,37.456,716,136,8,11,0.394,13.038,717,136,122.471,7.799,1.889,0.529,0.647
9,71,555.514,150.923,38.627,550,147,11,8,0.598,13.038,550,155,32.471,8.000,1.519,0.658,0.835
10,50,457.120,153.300,32.385,453,149,9,8,0.599,10.296,453,151,150.945,8.000,1.194,0.837,0.794
11,36,479.194,153.694,21.556,476,150,7,7,0.974,8.602,477,150,125.538,6.364,1.427,0.701,0.889
12,62,510.968,158.290,36.042,507,153,9,10,0.600,11.402,508,154,127.875,9.000,1.306,0.766,0.775
13,27,639.944,157.056,21.314,638,153,4,8,0.747,8.544,639,153,110.556,4.000,2.152,0.465,0.871
14,56,744.250,169.321,43.799,734,167,19,5,0.367,19.235,734,170,8.973,5.000,4.304,0.232,0.737
15,43,749.128,176.733,26.385,745,173,8,9,0.776,10.296,745,173,119.055,7.353,1.333,0.750,0.819
16,41,758.207,176.256,26.142,754,173,10,6,0.754,10.198,754,175,168.690,6.000,1.674,0.597,0.837
17,37,771.797,175.770,30.142,765,174,13,4,0.512,13.342,765,177,12.995,4.000,3.879,0.258,0.822
