Area,X,Y,Perim.,BX,BY,Width,Height
849,632.922,104.662,0,610,90,41,29
96,651.896,102.354,0,650,90,5,27
68,524.500,118.544,0,518,114,12,10
163,595.963,119.288,0,580,115,28,10
89,577.371,135.663,0,573,130,11,11
187,652.519,148.690,0,649,130,12,35
682,634.188,148.597,0,618,131,30,34
132,786.955,136.621,0,781,131,13,13
229,795.904,151.262,0,789,142,15,19
128,454.992,154.688,0,451,145,8,20
149,726.134,153.584,0,720,146,15,15
81,664.790,158.259,0,661,152,9,12
94,601.138,159.638,0,596,154,11,12
85,704.988,164.624,0,700,160,11,10
183,599.617,166.639,0,581,161,35,10
251,748.761,164.239,0,721,162,57,6
151,436.185,166.603,0,423,164,26,7
39,657.538,166.846,0,654,164,9,6
184,679.288,166.234,0,662,164,37,7
135,471.822,167.415,0,459,165,26,6
132,505.136,167.295,0,493,165,25,6
32,522.719,167.125,0,520,165,8,6
156,559.429,167.538,0,544,165,32,7
192,633.849,167.057,0,614,165,40,5
217,447.429,187.963,0,444,170,8,37
967,428.604,187.620,0,411,171,34,36
215,548.912,182.740,0,537,176,24,14
165,408.218,191.824,0,405,178,7,28
162,715.926,187.117,0,707,181,17,14
83,730.289,186.639,0,726,182,10,11
96,878.927,188.594,0,875,183,10,12
177,797.746,193.068,0,790,187,17,13
73,716.740,198.767,0,712,194,10,11
107,566.514,200.673,0,561,196,12,10
110,887.773,200.709,0,878,198,22,7
2115,835.409,224.644,0,808,202,55,46
32,531.250,205.188,0,528,203,8,6
83,879.928,208.542,0,875,203,10,12
175,564.366,209.560,0,550,204,32,10
226,432.478,209.341,0,412,206,41,7
70,586.143,210.800,0,581,206,11,10
105,523.781,211.962,0,518,207,13,11
208,535.784,217.207,0,528,207,20,18
1527,386.604,231.026,0,366,211,42,41
193,410.150,230.425,0,407,212,8,37
83,448.964,220.759,0,446,213,7,16
243,458.210,233.424,0,454,213,9,37
218,652.849,228.917,0,649,213,8,36
184,437.995,222.886,0,430,214,18,17
114,556.921,219.947,0,550,214,14,12
1257,629.788,234.854,0,608,215,44,36
840,668.874,233.817,0,655,216,28,35
356,440.719,236.216,0,427,228,29,20
97,914.402,235.629,0,909,231,12,10
174,423.868,242.759,0,414,237,20,13
98,701.122,243.918,0,696,239,11,11
343,899.082,243.819,0,862,240,72,9
102,547.451,245.422,0,539,241,16,10
52,736.058,244.250,0,732,241,9,7
121,859.909,257.050,0,857,246,7,22
150,715.567,250.347,0,696,248,37,5
172,429.959,252.128,0,415,249,32,7
100,909.910,253.680,0,903,249,14,11
205,451.054,266.951,0,447,250,8,35
62,466.339,252.823,0,462,250,10,7
290,503.279,252.717,0,472,250,67,7
963,353.600,269.967,0,335,251,37,35
1256,388.715,267.890,0,368,251,42,34
708,427.934,269.182,0,414,254,32,32
102,886.745,258.294,0,881,254,13,10
209,459.828,270.756,0,456,255,8,31
83,598.301,262.361,0,594,257,9,12
86,866.512,264.605,0,862,259,10,12
412,472.342,275.345,0,464,262,20,26
85,921.553,277.600,0,917,272,10,12
113,937.947,278.274,0,926,276,27,6
139,903.410,280.273,0,890,278,29,6
261,834.870,282.927,0,807,279,54,8
211,878.555,287.341,0,860,284,37,8
306,831.461,289.556,0,802,286,59,8
120,805.367,297.417,0,797,289,17,15
70,859.043,296.743,0,856,291,7,12
89,866.090,296.674,0,862,291,9,14
268,433.201,295.216,0,412,292,46,8
249,626.655,294.912,0,604,292,47,7
314,845.229,301.220,0,835,292,19,23
56,878.036,295.589,0,874,292,9,8
64,787.438,298.422,0,783,295,11,8
106,652.981,308.604,0,650,297,7,24
243,414.346,320.037,0,412,298,6,45
302,461.712,325.252,0,458,298,8,57
85,896.824,302.353,0,892,298,11,10
195,429.123,303.364,0,417,299,23,12
175,453.640,318.269,0,451,299,6,41
164,804.354,307.354,0,796,301,17,15
180,858.383,319.000,0,856,303,6,36
105,326.048,315.105,0,323,304,6,24
183,887.093,316.109,0,876,310,24,13
108,849.565,321.769,0,845,314,9,17
143,685.259,333.790,0,680,325,13,16
238,428.466,339.786,0,418,331,22,18
118,585.585,336.347,0,580,331,13,12
142,797.106,340.162,0,790,333,14,15
97,399.454,341.660,0,395,336,10,14
85,767.965,349.647,0,764,345,9,10
41,405.732,349.732,0,403,346,6,9
108,797.028,353.694,0,791,348,13,12
66,513.061,358.803,0,509,354,9,10
97,767.619,359.485,0,762,355,12,10
91,399.451,362.253,0,393,357,17,10
203,785.537,365.980,0,778,358,17,17
66,689.000,363.364,0,684,359,10,10
107,548.355,367.047,0,543,362,12,11
96,391.948,368.573,0,386,363,11,13
94,725.628,367.330,0,720,363,12,10
127,403.039,370.921,0,397,366,14,12
93,747.731,377.602,0,742,373,12,10
97,736.649,381.247,0,731,377,12,10
80,965.075,382.887,0,960,378,11,10
86,520.872,391.930,0,517,387,9,11
99,779.636,393.434,0,774,389,12,10
99,710.384,394.192,0,705,390,13,10
100,678.270,398.690,0,673,393,11,13
113,958.858,399.088,0,954,393,11,13
53,374.415,404.736,0,372,400,6,11
61,667.115,403.262,0,662,400,12,8
69,914.145,404.217,0,910,400,9,10
81,515.951,408.309,0,512,403,9,11
83,888.108,407.699,0,883,403,11,10
45,669.556,408.289,0,664,406,11,6
103,743.650,415.117,0,740,407,9,16
105,620.867,414.095,0,616,409,11,11
134,373.791,419.993,0,369,410,9,23
91,922.516,415.088,0,918,410,10,12
73,756.699,415.356,0,753,411,9,10
232,946.685,419.134,0,934,412,24,17
88,778.273,418.830,0,774,414,10,11
68,985.971,417.147,0,980,414,12,8
38,985.684,422.053,0,981,420,10,5
91,627.659,430.868,0,623,423,10,15
35,733.343,427.800,0,730,425,7,7
85,540.035,434.176,0,535,429,11,11
157,615.790,433.675,0,607,429,18,12
64,532.234,435.297,0,528,431,9,10
90,685.389,435.856,0,680,432,12,9
152,501.618,442.961,0,496,435,12,17
169,887.254,442.041,0,879,436,17,13
59,664.017,440.915,0,660,437,9,9
97,801.742,452.072,0,797,447,11,11
44,396.114,453.795,0,393,450,7,9
118,428.864,458.924,0,423,451,13,15
197,489.157,459.721,0,483,451,13,19
200,290.200,473.605,0,287,452,7,46
60,386.000,457.500,0,382,453,9,10
246,457.841,474.476,0,454,454,9,42
124,934.484,460.524,0,928,455,14,12
103,713.796,464.233,0,708,459,13,11
229,466.611,476.891,0,463,461,9,35
94,950.287,467.223,0,945,462,11,11
94,723.011,467.766,0,717,463,13,11
115,318.678,470.983,0,313,465,12,14
186,420.145,482.747,0,417,467,7,33
667,440.189,480.778,0,424,468,31,29
96,767.583,472.562,0,762,468,12,10
146,730.247,482.315,0,724,476,13,14
143,342.091,488.979,0,337,481,11,20
99,791.414,487.869,0,786,483,12,10
234,333.047,495.393,0,325,486,18,19
171,703.661,495.199,0,687,493,33,6
51,739.471,500.020,0,735,497,10,7
143,704.280,501.168,0,691,498,24,9
205,421.068,519.522,0,418,502,7,36
122,459.049,511.910,0,455,502,9,19
199,467.563,519.492,0,465,502,6,37
98,692.255,507.092,0,687,502,12,11
91,678.308,509.363,0,673,505,11,11
77,900.429,519.792,0,896,515,10,10
72,667.111,521.625,0,664,516,8,12
105,607.486,522.657,0,602,518,12,11
71,459.211,528.577,0,457,521,6,15
90,739.533,525.589,0,734,521,11,10
72,430.403,527.000,0,425,524,12,7
65,477.692,531.908,0,474,527,9,11
144,728.479,532.646,0,720,527,18,13
89,667.719,537.596,0,663,532,10,12
52,685.519,535.865,0,682,532,8,9
140,953.314,541.114,0,946,535,15,13
55,459.164,540.873,0,457,536,6,12
95,720.263,540.853,0,714,537,14,9
112,735.232,544.866,0,731,537,9,16
102,467.255,544.284,0,461,539,13,11
59,940.797,542.136,0,936,539,11,7
64,322.766,546.391,0,319,541,9,11
95,820.737,547.537,0,815,543,12,10
111,606.802,551.775,0,602,545,11,14
72,851.931,549.389,0,848,545,9,10
77,727.130,550.052,0,722,546,12,9
109,461.670,553.853,0,456,548,12,12
92,471.130,554.435,0,467,548,8,14
82,941.232,552.707,0,937,548,9,11
126,963.595,555.135,0,957,548,15,15
119,723.336,559.739,0,718,554,12,13
265,672.419,564.770,0,664,555,17,21
68,749.074,560.147,0,745,556,9,9
147,947.395,564.898,0,940,558,16,14
130,657.862,587.085,0,656,573,5,29
74,906.149,585.297,0,901,580,12,11
226,631.624,599.403,0,622,588,19,22
77,701.312,593.299,0,697,589,10,10
30,623.133,592.633,0,621,590,6,7
40,636.675,595.200,0,633,592,8,7
80,677.725,596.312,0,673,592,11,10
190,532.458,605.774,0,527,597,12,19
84,827.857,602.107,0,823,598,11,9
85,658.624,613.059,0,657,602,5,24
79,785.241,607.114,0,780,603,11,9
119,796.538,614.462,0,790,610,14,10
147,666.986,622.524,0,661,613,13,17
101,741.188,618.901,0,736,614,12,11
40,524.550,617.975,0,521,615,8,7
77,625.000,623.623,0,620,619,11,11
170,615.541,628.576,0,608,622,18,16
92,633.793,627.663,0,629,622,10,12
85,767.600,627.212,0,763,623,10,10
53,496.094,628.453,0,492,624,9,9
94,782.000,633.500,0,777,629,11,10
55,772.800,634.418,0,769,630,8,9
87,802.644,637.460,0,798,632,10,11
215,773.493,656.986,0,768,647,12,23
84,451.274,656.155,0,446,651,12,11
73,782.164,662.918,0,779,656,8,14
65,583.123,663.000,0,579,659,9,9
188,747.931,670.043,0,739,661,16,19
94,767.117,667.830,0,762,662,11,12
67,782.179,671.627,0,776,667,13,10
121,804.215,674.645,0,798,669,13,12
66,785.318,681.242,0,781,676,9,12
64,778.328,684.234,0,773,681,12,8
99,635.172,691.020,0,624,689,22,5
72,670.514,690.750,0,663,689,17,5
53,761.472,695.830,0,756,693,12,6
60,660.633,698.883,0,658,694,7,11
87,502.678,703.460,0,498,698,10,12
84,591.452,706.917,0,586,702,11,11
112,661.143,711.902,0,657,704,9,17
208,649.082,713.865,0,640,707,18,15
81,790.556,711.519,0,786,707,10,10
121,628.124,717.636,0,622,712,13,12
120,669.758,717.658,0,664,712,12,13
277,463.895,729.953,0,458,715,12,32
81,538.358,723.432,0,535,718,8,12
54,661.130,724.944,0,659,720,6,11
89,795.393,729.270,0,790,725,11,10
213,543.404,735.718,0,536,727,17,17
110,661.100,746.609,0,659,731,5,32
87,791.046,737.425,0,785,733,13,9
108,801.759,741.417,0,797,736,11,12
108,616.778,751.269,0,613,745,9,14
93,636.882,750.118,0,632,745,11,11
113,586.071,765.681,0,579,760,13,12
177,591.017,781.554,0,583,774,17,17
79,550.165,798.139,0,545,794,13,9
