 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,146,579.212,117.877,69.456,569,110,23,12,0.380,23.345,569,118,170.134,12.000,1.880,0.532,0.721
2,55,560.409,120.336,37.314,552,118,16,5,0.496,16.492,552,122,14.036,4.876,4.261,0.235,0.821
3,115,559.926,127.987,56.627,547,123,23,8,0.451,23.345,547,127,170.134,8.000,3.363,0.297,0.782
4,38,660.395,127.395,25.899,656,125,10,5,0.712,10.770,656,125,158.199,5.000,2.406,0.416,0.864
5,66,787.818,136.636,39.213,783,132,10,9,0.539,12.207,783,132,145.008,9.000,1.255,0.797,0.825
6,71,797.810,154.951,36.042,792,150,11,9,0.687,12.083,792,158,24.444,9.000,1.140,0.877,0.845
7,44,654.455,160.477,35.799,651,154,9,11,0.431,12.083,651,154,114.444,8.719,1.515,0.660,0.603
8,44,665.000,159.136,27.556,661,154,7,9,0.728,10.296,661,163,60.945,7.000,1.565,0.639,0.807
9,44,530.068,160.523,27.799,526,155,7,10,0.715,10.817,527,164,56.310,7.000,1.619,0.618,0.830
10,49,716.806,164.276,31.213,712,159,9,9,0.632,10.817,713,168,56.310,8.277,1.450,0.689,0.760
11,65,536.746,166.854,38.385,530,161,13,9,0.554,13.342,530,170,12.995,9.000,1.442,0.693,0.743
12,44,705.523,165.727,24.971,701,163,10,6,0.887,10.440,701,164,163.301,6.000,1.704,0.587,0.880
13,35,524.300,167.471,21.899,520,165,8,5,0.917,8.944,520,169,26.565,5.000,1.478,0.677,0.933
14,33,546.318,169.621,24.385,543,165,7,9,0.697,10.817,543,174,56.310,5.600,2.218,0.451,0.786
15,31,667.403,167.274,22.142,663,165,9,5,0.795,9.487,663,169,18.435,4.851,2.203,0.454,0.849
16,68,685.941,166.544,51.899,673,165,25,3,0.317,25.020,673,166,177.709,3.000,7.908,0.126,0.951
17,48,781.583,169.604,30.385,777,165,8,9,0.653,11.402,778,165,127.875,7.589,1.645,0.608,0.787
18,122,456.746,184.656,64.728,453,171,6,29,0.366,29.428,454,171,99.782,5.979,6.524,0.153,0.853
19,96,408.479,192.490,57.799,406,179,5,26,0.361,26.173,407,179,96.582,5.000,5.916,0.169,0.853
20,53,542.953,183.745,31.213,538,180,10,9,0.684,10.817,538,180,123.690,8.944,1.298,0.770,0.785
21,46,718.783,186.652,28.385,714,183,8,9,0.717,11.402,714,183,127.875,7.031,1.705,0.586,0.844
22,44,730.955,187.000,28.385,727,183,7,9,0.686,10.000,727,183,126.870,7.000,1.483,0.675,0.793
23,85,807.194,188.147,45.113,801,183,13,11,0.525,13.928,801,189,21.038,11.000,1.229,0.814,0.723
24,64,879.766,188.812,34.870,875,183,9,11,0.661,12.207,875,184,124.992,8.768,1.483,0.674,0.780
25,62,799.177,194.774,31.213,794,189,10,10,0.800,11.180,795,199,63.435,8.944,1.305,0.766,0.827
26,64,717.094,197.281,40.284,713,190,8,14,0.496,15.232,714,190,113.199,7.891,2.321,0.431,0.715
27,42,654.643,195.643,26.627,651,191,7,9,0.744,9.849,652,191,113.962,7.000,1.467,0.682,0.800
