Area,X,Y,Perim.,BX,BY,Width,Height
58,633.914,66.259,0,632,60,5,13
220,660.664,73.445,0,638,68,40,9
132,691.318,72.447,0,678,70,28,6
206,711.859,76.049,0,703,70,20,15
77,634.519,84.156,0,632,77,6,15
196,549.434,87.740,0,541,80,17,17
80,598.913,96.600,0,595,92,9,10
78,634.987,99.128,0,632,92,7,15
131,762.351,101.580,0,756,95,13,17
111,755.468,104.225,0,751,96,11,18
251,742.988,107.996,0,731,100,24,15
125,566.048,107.496,0,561,101,12,14
192,579.771,109.557,0,567,103,23,16
77,636.182,111.688,0,633,106,8,13
87,533.782,115.184,0,530,110,9,11
122,655.828,120.074,0,640,118,32,5
71,661.817,127.183,0,657,123,10,10
161,843.919,138.801,0,841,123,7,33
103,806.117,140.398,0,801,135,11,12
157,425.828,152.446,0,422,139,8,29
111,864.829,145.108,0,860,139,11,14
134,548.246,148.254,0,542,142,13,15
90,805.244,152.822,0,800,147,12,11
670,828.479,176.631,0,812,160,30,32
178,843.854,176.371,0,841,160,7,34
975,621.387,187.319,0,604,170,34,36
100,679.190,174.900,0,674,170,12,11
64,789.641,173.344,0,785,170,10,8
64,427.703,179.047,0,425,174,6,12
108,793.352,182.926,0,788,178,12,11
72,702.167,184.250,0,698,180,9,10
143,727.538,192.063,0,722,185,13,16
83,429.470,199.663,0,427,192,6,16
206,907.354,201.024,0,887,198,42,7
168,452.887,218.940,0,435,216,35,6
144,527.507,229.153,0,522,222,12,15
114,921.281,236.070,0,917,230,10,14
105,443.438,239.229,0,438,234,12,11
130,474.546,239.754,0,468,235,14,11
112,659.920,241.357,0,655,235,11,13
239,354.854,260.414,0,345,250,20,21
24,562.875,253.333,0,561,251,5,6
59,549.932,255.356,0,546,252,9,8
102,369.647,260.804,0,363,256,14,10
97,932.340,264.052,0,927,259,12,11
82,460.793,265.378,0,456,261,10,10
32,341.062,264.906,0,339,262,5,7
78,559.756,269.513,0,555,265,11,10
66,641.818,278.773,0,640,270,6,17
70,586.529,282.443,0,583,278,9,10
80,443.600,284.087,0,439,280,10,9
82,739.646,289.500,0,735,285,10,10
70,640.757,291.286,0,637,286,8,12
66,708.727,297.000,0,705,293,9,9
29,635.931,297.034,0,633,295,7,6
26,938.423,297.231,0,936,295,6,6
77,785.545,320.039,0,781,315,10,11
67,602.522,325.254,0,598,321,10,10
97,616.505,328.134,0,611,323,11,11
110,699.764,328.382,0,694,323,12,12
76,692.237,331.250,0,688,325,10,12
73,735.562,329.356,0,731,325,10,10
84,908.155,334.762,0,904,329,9,12
