 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,95,551.426,89.574,34.042,546,84,11,11,1.000,12.083,549,84,114.444,11.000,1.029,0.972,0.931,cell
2,50,636.280,101.160,38.870,633,94,9,13,0.416,15.264,634,94,121.608,8.050,2.181,0.458,0.621,cell
3,88,566.534,108.125,34.385,562,102,9,12,0.935,13.000,564,114,67.380,9.000,1.372,0.729,0.931,cell
4,73,583.884,108.390,31.213,578,104,11,9,0.942,11.180,578,108,169.695,9.000,1.112,0.899,0.907,cell
5,27,534.278,116.093,20.142,532,112,5,8,0.836,8.544,533,112,110.556,4.903,1.881,0.532,0.831,cell
6,65,806.546,140.838,28.627,802,136,9,10,0.997,10.817,804,136,123.690,8.485,1.292,0.774,0.903,cell
7,55,865.664,144.664,26.971,861,141,9,8,0.950,10.000,862,141,143.130,8.000,1.193,0.838,0.902,cell
8,84,548.571,148.119,34.627,543,143,11,11,0.880,13.601,544,143,126.027,9.192,1.497,0.668,0.894,cell
9,45,628.056,161.122,33.799,624,157,8,8,0.495,9.434,625,165,57.995,8.000,1.142,0.876,0.796,cell
10,85,856.841,219.065,51.941,849,214,14,13,0.396,15.620,850,215,129.806,11.314,1.396,0.716,0.646,cell
11,40,673.600,222.050,22.971,670,218,7,8,0.953,8.544,672,226,69.444,7.000,1.196,0.836,0.870,cell
12,83,921.560,236.392,34.627,917,230,9,13,0.870,13.153,921,243,81.254,9.000,1.404,0.712,0.892,cell
13,65,443.977,239.408,29.213,439,235,10,9,0.957,10.817,440,243,33.690,9.000,1.151,0.869,0.884,cell
14,49,660.173,241.867,32.971,657,237,7,9,0.566,10.296,658,237,119.055,7.000,1.310,0.764,0.860,cell
15,36,939.806,248.583,34.627,936,245,8,7,0.377,9.220,937,252,49.399,7.000,1.033,0.968,0.720,cell
16,65,932.669,264.577,28.971,928,260,9,9,0.973,10.817,930,269,56.310,8.944,1.159,0.863,0.922,cell
