Area,X,Y,Perim.,BX,BY,Width,Height
73,721.562,132.973,0,717,129,10,9
97,727.247,145.392,0,722,141,12,10
109,882.431,162.523,0,872,160,23,6
88,859.500,183.670,0,854,179,12,10
116,693.078,195.922,0,688,190,12,13
117,861.701,197.607,0,855,193,14,11
2377,563.258,233.548,0,529,213,67,42
111,690.712,227.288,0,685,222,13,11
103,619.816,237.990,0,614,233,12,11
138,602.087,249.022,0,596,243,13,13
50,658.200,257.900,0,654,255,9,7
292,692.774,257.925,0,663,255,61,6
139,661.381,266.137,0,654,261,16,11
76,646.658,267.513,0,640,265,14,6
253,692.312,268.245,0,668,266,48,7
106,516.660,274.528,0,511,269,12,12
93,551.247,275.086,0,546,270,11,11
79,703.772,276.747,0,699,272,10,11
43,722.256,283.000,0,720,279,6,9
67,822.075,291.985,0,818,286,8,13
86,711.698,294.570,0,707,290,10,11
48,854.625,302.292,0,850,299,10,8
124,867.798,309.669,0,861,304,15,12
177,846.158,310.169,0,833,307,29,8
79,822.253,322.519,0,820,314,6,17
130,1047.008,319.908,0,1041,315,15,12
138,821.935,342.232,0,819,331,7,25
100,830.000,338.110,0,825,331,10,14
93,414.624,343.140,0,410,338,10,13
161,392.596,349.043,0,380,344,23,11
102,433.569,350.353,0,428,345,12,12
69,421.304,349.507,0,415,346,13,7
41,1034.707,349.366,0,1031,346,8,7
72,445.306,350.889,0,439,348,13,7
61,1037.230,357.541,0,1033,353,10,10
1655,574.488,376.717,0,549,355,47,46
70,1034.271,362.729,0,1030,357,10,11
50,1022.000,362.840,0,1018,359,11,9
1255,1084.899,378.490,0,1061,360,48,37
73,630.863,364.548,0,626,361,10,9
83,1030.904,368.771,0,1025,363,12,12
93,855.355,370.914,0,850,366,12,11
87,933.690,370.782,0,929,366,10,11
66,1019.955,371.985,0,1017,366,7,13
93,413.462,372.785,0,409,368,10,11
45,1025.911,372.533,0,1023,368,7,9
49,733.041,374.327,0,730,371,7,8
106,857.906,381.151,0,853,376,11,12
85,549.282,383.659,0,545,379,10,10
53,985.981,393.415,0,983,389,7,10
50,991.820,392.700,0,989,389,7,9
144,435.340,396.882,0,429,390,14,14
42,998.214,394.786,0,994,392,9,6
97,391.835,398.237,0,387,393,11,12
157,412.363,395.828,0,396,393,33,6
144,997.174,400.743,0,986,397,25,8
182,1038.538,400.016,0,1022,397,35,7
43,1016.419,400.581,0,1012,398,10,6
2742,561.302,420.112,0,524,399,72,44
99,374.111,405.162,0,369,400,11,11
1620,800.119,423.844,0,776,403,45,42
88,1093.614,421.375,0,1089,416,10,12
2355,568.367,470.922,0,536,449,60,47
84,1012.500,478.119,0,1008,473,10,11
102,968.000,482.176,0,963,477,11,12
130,355.423,512.923,0,353,497,5,34
116,833.603,514.991,0,828,509,12,13
94,443.543,520.766,0,439,515,11,12
81,831.481,524.012,0,827,519,11,10
98,967.255,528.133,0,962,523,11,12
128,390.938,535.789,0,385,530,13,13
85,377.294,534.729,0,370,532,15,7
1863,799.988,561.699,0,779,538,42,49
132,1137.379,541.447,0,1126,539,25,6
69,385.130,549.348,0,381,545,9,10
81,699.593,551.691,0,695,547,10,11
84,415.190,555.214,0,410,551,11,10
144,876.181,558.819,0,870,552,14,13
98,371.816,567.235,0,367,562,10,12
107,896.598,566.551,0,891,562,12,11
88,529.500,572.375,0,525,567,10,11
108,514.500,576.000,0,509,571,12,11
104,864.538,576.654,0,860,571,11,13
83,368.000,584.795,0,363,581,12,9
1509,799.321,603.948,0,778,586,44,38
100,853.750,594.860,0,848,590,12,11
82,898.256,598.890,0,894,594,10,11
96,868.917,600.427,0,864,596,11,10
291,415.945,627.567,0,401,622,31,12
1447,496.079,653.762,0,475,635,41,40
1164,791.135,655.342,0,775,635,34,43
86,1067.291,648.349,0,1062,643,11,12
97,551.134,649.278,0,546,644,11,12
130,982.423,652.438,0,976,647,14,12
73,767.753,662.753,0,763,658,10,10
1516,801.478,699.104,0,782,678,39,43
101,477.752,684.119,0,472,679,12,11
1897,1080.967,706.305,0,1056,683,52,46
68,962.588,688.441,0,958,685,10,8
84,887.679,696.595,0,883,692,10,10
85,726.400,708.000,0,722,703,10,11
93,857.323,711.968,0,852,707,11,11
168,403.958,723.030,0,396,718,18,12
2613,621.866,741.820,0,592,719,63,47
72,514.208,743.653,0,510,739,10,10
103,756.087,746.272,0,751,741,11,12
2815,557.251,787.748,0,522,767,71,42
1554,800.441,791.021,0,774,769,48,42
77,710.857,777.247,0,707,773,9,10
50,437.620,780.300,0,433,776,9,10
84,863.833,783.679,0,859,779,11,10
84,565.560,826.321,0,561,822,10,10
102,589.833,834.549,0,586,824,8,21
71,764.465,855.056,0,760,851,10,9
95,545.053,869.526,0,540,864,11,12
91,560.780,877.978,0,556,873,10,11
88,745.284,912.125,0,740,907,11,11
25,678.200,911.440,0,676,909,5,6
24,685.625,912.208,0,683,910,6,6
55,686.218,926.418,0,683,922,8,10
97,718.722,927.804,0,713,923,12,11
