 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,40,720.550,133.875,29.213,717,129,8,9,0.589,9.849,719,129,113.962,7.374,1.537,0.651,0.721
2,43,806.686,140.198,27.799,803,135,9,9,0.699,10.817,803,136,146.310,6.742,1.825,0.548,0.768
3,67,825.231,150.843,45.314,823,140,4,20,0.410,20.224,823,160,81.469,4.000,5.327,0.188,0.899
4,50,727.040,146.140,40.042,723,142,9,8,0.392,10.817,723,143,146.310,8.000,1.241,0.806,0.763
5,127,856.398,163.839,68.385,841,160,31,6,0.341,31.145,841,166,5.528,6.000,6.825,0.147,0.819
6,120,655.292,164.125,66.142,642,161,28,8,0.345,28.862,642,169,14.036,7.951,5.761,0.174,0.710
7,92,829.348,165.033,58.627,821,161,19,13,0.336,20.000,824,174,36.870,12.279,2.103,0.476,0.543
8,71,883.120,163.106,48.142,873,161,22,4,0.385,22.204,873,165,7.765,4.000,5.919,0.169,0.850
9,109,685.372,164.463,65.556,671,162,29,5,0.319,29.428,671,162,170.218,5.000,7.563,0.132,0.829
10,48,859.375,183.958,39.456,855,180,9,8,0.387,9.487,855,183,161.565,8.000,1.030,0.971,0.762
11,80,693.138,196.688,44.284,688,191,11,11,0.513,12.042,689,192,131.634,10.539,1.167,0.857,0.812
12,70,862.057,198.171,45.113,856,194,12,9,0.432,12.369,856,197,165.964,9.000,1.401,0.714,0.782
13,45,720.700,214.233,27.314,715,212,11,5,0.758,11.402,715,213,164.745,5.000,2.467,0.405,0.900
14,35,730.786,214.557,23.314,727,212,8,5,0.809,9.434,727,217,32.005,5.000,1.750,0.571,0.897
15,107,798.210,214.107,61.556,784,212,28,5,0.355,28.160,784,213,173.884,5.000,6.879,0.145,0.863
16,44,591.500,223.000,34.485,590,215,3,16,0.465,16.031,591,215,93.576,3.000,5.022,0.199,0.957
17,71,821.500,222.063,44.284,816,217,11,10,0.455,12.042,817,218,131.634,9.806,1.228,0.815,0.780
18,87,691.282,227.845,33.213,686,223,11,10,0.991,12.083,686,225,155.556,10.000,1.104,0.906,0.930
19,87,823.891,241.052,58.971,822,228,4,27,0.314,27.074,823,255,85.764,4.000,7.146,0.140,0.861
20,74,938.446,233.297,43.698,933,228,11,10,0.487,12.083,933,231,155.556,10.000,1.187,0.843,0.809
21,66,712.909,240.879,34.385,709,234,8,13,0.701,14.318,710,247,65.225,6.791,2.344,0.427,0.830
22,70,602.657,248.800,40.870,597,244,11,9,0.527,11.705,597,248,160.017,9.000,1.277,0.783,0.828
23,94,658.947,256.851,46.627,650,250,15,11,0.543,16.553,650,260,25.017,11.000,1.792,0.558,0.743
24,112,1015.768,254.196,66.142,1001,252,30,5,0.322,30.265,1001,256,7.595,5.000,7.193,0.139,0.848
25,37,581.338,257.797,24.385,578,253,7,9,0.782,10.000,578,262,53.130,6.261,1.834,0.545,0.813
26,51,803.108,257.931,32.971,798,253,9,10,0.590,12.728,798,254,135.000,8.141,1.749,0.572,0.739
27,41,810.915,258.134,30.142,807,253,9,8,0.567,12.042,807,253,138.366,7.155,1.876,0.533,0.739
28,112,899.143,258.036,64.627,885,254,26,10,0.337,27.203,885,255,162.897,9.944,3.552,0.282,0.626
29,91,918.544,256.940,49.556,908,254,22,6,0.466,22.204,908,255,172.235,6.000,5.042,0.198,0.824
30,82,639.256,257.878,43.899,631,255,18,6,0.535,18.682,631,255,164.476,6.000,3.829,0.261,0.863
31,40,625.300,258.075,25.899,620,256,10,5,0.749,10.770,620,256,158.199,5.000,2.154,0.464,0.899
32,93,828.812,258.532,57.799,817,256,24,7,0.350,24.331,817,260,9.462,7.000,4.869,0.205,0.694
33,128,592.773,266.836,70.971,578,262,31,8,0.319,31.257,578,265,172.648,8.000,5.692,0.176,0.698
34,65,661.423,265.069,38.042,655,262,15,8,0.564,16.155,655,269,21.801,7.375,2.683,0.373,0.756
35,102,1011.647,264.804,59.314,998,262,26,5,0.364,26.306,998,263,171.254,5.000,6.182,0.162,0.864
36,51,1030.775,264.147,31.314,1025,262,13,5,0.654,13.601,1025,267,17.103,5.000,2.949,0.339,0.895
37,132,626.371,267.705,69.213,610,263,30,8,0.346,30.265,610,266,172.405,7.993,5.817,0.172,0.725
38,120,980.692,265.892,70.142,965,263,33,5,0.307,33.136,965,268,5.194,5.000,8.184,0.122,0.851
39,30,945.667,266.867,20.728,942,264,8,5,0.877,8.544,942,265,159.444,5.000,1.820,0.549,0.870
40,50,957.240,266.300,30.728,951,264,13,5,0.665,13.342,951,265,167.005,5.000,2.937,0.340,0.870
41,52,647.788,268.231,32.728,641,266,13,5,0.610,13.601,641,266,162.897,5.000,3.152,0.317,0.867
42,94,679.479,268.968,51.556,668,266,23,6,0.444,23.345,668,267,170.134,6.000,5.042,0.198,0.821
43,46,663.826,270.500,29.799,657,267,12,7,0.651,12.042,657,271,175.236,6.791,1.773,0.564,0.767
44,101,704.391,269.144,55.314,692,267,24,6,0.415,24.331,692,271,9.462,6.000,5.455,0.183,0.835
45,29,720.293,269.328,19.899,717,267,7,5,0.920,8.062,717,267,150.255,5.000,1.414,0.707,0.906
46,73,516.856,274.911,42.870,512,270,10,10,0.499,11.662,514,270,120.964,9.899,1.149,0.870,0.844
47,51,551.951,274.990,34.627,547,271,9,9,0.534,10.000,548,272,126.870,9.000,1.187,0.843,0.750
48,26,727.154,274.769,20.385,723,272,8,6,0.786,8.944,723,272,153.435,4.950,1.845,0.542,0.812
49,62,704.468,277.177,34.042,700,273,9,9,0.672,12.042,701,273,131.634,9.000,1.289,0.776,0.844
50,60,722.333,280.567,37.213,719,273,7,15,0.544,15.524,720,273,104.931,6.727,2.977,0.336,0.759
51,32,843.656,288.312,22.971,840,284,7,8,0.762,9.434,841,292,57.995,6.002,1.845,0.542,0.771
52,41,838.695,292.988,32.385,835,286,8,12,0.491,13.038,836,286,122.471,6.261,2.906,0.344,0.689
53,62,820.903,292.968,36.042,815,287,10,11,0.600,12.083,819,298,65.556,9.675,1.389,0.720,0.743
54,58,711.862,295.000,43.113,708,290,9,10,0.392,10.817,708,291,123.690,9.000,1.196,0.836,0.753
55,50,514.720,295.760,34.870,510,291,10,9,0.517,11.180,510,294,153.435,8.200,1.432,0.698,0.714
56,114,829.000,300.158,45.941,821,293,16,14,0.679,16.279,821,300,10.620,12.903,1.219,0.820,0.763
57,51,816.971,301.755,31.213,813,296,10,10,0.658,12.728,814,296,135.000,7.042,1.789,0.559,0.791
58,42,844.976,302.452,24.728,841,299,8,7,0.863,9.434,841,300,147.995,6.791,1.255,0.797,0.866
59,32,663.219,303.094,25.213,659,300,9,6,0.633,9.487,659,306,18.435,5.754,1.887,0.530,0.744
60,33,837.136,303.561,20.728,834,300,6,7,0.965,8.602,835,307,54.462,6.000,1.427,0.701,0.904
61,58,1039.138,306.810,34.971,1034,303,12,8,0.596,13.416,1034,311,26.565,7.967,2.174,0.460,0.784
62,94,863.298,310.223,52.527,854,304,17,11,0.428,18.028,854,308,160.560,11.000,1.752,0.571,0.644
63,95,819.974,310.321,51.799,809,306,21,7,0.445,21.378,809,313,10.784,7.000,3.817,0.262,0.782
64,32,873.062,310.594,23.213,869,307,8,8,0.746,10.630,870,307,131.186,4.950,2.346,0.426,0.800
