Area,X,Y,Perim.,BX,BY,Width,Height
78,541.756,129.654,0,537,125,10,10
161,538.379,141.056,0,532,133,14,16
69,672.261,139.638,0,668,136,9,9
240,839.025,164.871,0,833,154,13,25
77,451.013,162.818,0,446,159,11,9
35,543.543,163.400,0,540,161,8,6
109,497.642,171.257,0,491,164,13,14
434,628.859,179.044,0,617,166,26,30
79,450.494,170.987,0,445,167,12,9
185,420.924,199.222,0,415,188,12,23
112,413.491,196.464,0,409,189,10,17
61,441.180,194.508,0,437,191,9,9
253,597.043,208.897,0,591,198,13,23
137,468.139,205.832,0,462,199,13,14
74,406.095,204.905,0,401,201,12,9
69,704.971,217.725,0,701,213,9,10
69,699.551,224.217,0,695,220,10,9
63,596.254,233.619,0,592,229,9,10
58,723.966,239.879,0,720,236,10,9
46,737.696,239.043,0,734,236,8,8
57,735.035,245.333,0,732,241,8,9
120,724.000,256.183,0,718,249,13,16
161,642.714,266.000,0,636,260,15,13
145,816.469,268.007,0,810,262,14,14
75,465.907,267.160,0,461,263,11,9
76,404.079,268.289,0,400,264,10,10
106,477.472,275.774,0,472,271,12,11
75,782.760,280.067,0,779,275,8,11
204,371.010,292.951,0,364,277,21,27
53,388.453,284.660,0,386,279,6,12
189,627.931,287.794,0,621,280,15,16
129,814.163,292.039,0,808,286,13,12
76,964.789,298.329,0,962,292,7,15
60,546.583,298.533,0,542,295,10,8
62,602.355,306.452,0,599,302,8,10
75,946.307,306.640,0,942,302,10,10
56,838.875,311.661,0,836,307,7,10
69,507.449,316.478,0,504,311,8,11
103,495.359,320.806,0,490,313,12,15
101,419.485,319.574,0,414,315,12,11
102,529.843,323.245,0,526,316,10,15
73,744.849,321.521,0,741,317,9,10
67,489.836,324.851,0,486,319,10,12
132,330.682,326.848,0,326,320,11,15
79,321.899,326.468,0,318,321,8,12
62,834.968,324.532,0,831,321,9,8
335,531.182,342.663,0,523,328,16,29
74,963.649,345.365,0,961,336,6,18
36,873.972,344.250,0,871,341,7,8
66,844.576,348.879,0,841,344,8,11
340,420.424,353.788,0,407,345,30,18
84,970.595,351.762,0,966,347,11,11
135,941.526,352.948,0,935,348,14,11
58,445.345,354.534,0,441,351,9,8
48,753.042,357.312,0,750,353,7,10
94,800.851,359.170,0,796,354,11,11
79,845.519,358.506,0,841,354,10,10
98,964.480,359.327,0,959,354,13,11
46,332.978,361.130,0,330,357,7,9
62,909.484,363.129,0,906,359,8,9
40,810.025,366.825,0,807,363,7,8
62,952.452,367.629,0,949,363,8,10
93,839.333,372.774,0,834,368,11,11
47,962.383,385.277,0,960,379,5,13
136,387.875,389.706,0,382,383,13,14
166,952.861,390.295,0,946,384,15,15
58,340.569,391.207,0,337,387,8,9
68,751.588,392.529,0,748,388,8,10
236,713.792,399.186,0,705,392,21,19
86,500.930,406.605,0,497,398,8,18
35,344.314,404.800,0,343,399,4,12
72,457.792,407.764,0,453,403,11,10
69,946.652,407.870,0,940,405,14,7
87,806.126,413.632,0,802,409,11,11
74,465.216,415.608,0,461,411,10,10
107,751.411,418.944,0,746,414,12,11
70,416.629,421.986,0,413,417,8,11
36,722.333,427.556,0,718,424,9,8
110,820.018,431.364,0,814,427,13,10
23,414.261,429.957,0,412,428,6,5
101,621.683,434.921,0,616,430,12,11
141,325.149,444.830,0,317,439,17,14
33,345.818,442.758,0,344,439,5,9
96,382.521,444.344,0,377,440,12,10
65,873.185,444.046,0,869,440,9,10
59,765.271,445.729,0,761,442,9,8
396,401.540,457.265,0,388,445,28,23
70,839.386,451.286,0,835,447,10,9
75,863.440,452.440,0,859,448,10,9
140,781.293,460.121,0,774,455,16,11
