 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,45,536.011,118.856,24.971,532,115,8,8,0.907,9.434,532,116,147.995,7.452,1.308,0.765,0.865
2,55,542.500,129.645,27.213,538,125,9,9,0.933,9.849,538,128,156.038,8.497,1.172,0.853,0.866
3,103,538.209,140.413,40.627,533,133,9,15,0.784,15.524,537,133,104.931,9.000,1.734,0.577,0.900
4,41,672.378,140.354,22.728,669,137,7,7,0.997,9.220,669,137,139.399,7.000,1.212,0.825,0.932
5,114,475.684,149.412,51.598,470,141,13,18,0.538,19.416,471,159,55.491,9.960,2.091,0.478,0.778
6,25,468.300,146.180,22.385,465,143,7,7,0.627,8.062,465,147,29.745,6.261,1.300,0.769,0.725
7,107,481.864,156.734,49.012,475,149,13,16,0.560,16.492,480,165,75.964,11.314,1.264,0.791,0.759
8,111,547.527,156.941,54.284,538,150,16,14,0.473,17.464,538,157,23.629,13.987,1.475,0.678,0.703
9,136,509.721,160.544,48.527,503,153,14,16,0.726,17.493,506,153,120.964,13.377,1.293,0.773,0.812
10,51,534.304,162.304,29.213,529,158,11,8,0.751,12.083,529,165,24.444,7.211,1.810,0.552,0.803
11,37,451.581,163.122,22.971,447,160,9,6,0.881,9.849,447,165,23.962,5.814,1.849,0.541,0.860
12,28,450.571,171.714,20.142,447,169,7,6,0.867,8.602,447,174,35.538,5.270,1.745,0.573,0.848
13,29,429.155,173.948,24.728,426,170,6,7,0.596,8.602,427,177,54.462,6.000,1.364,0.733,0.795
14,110,639.709,187.727,45.213,632,182,17,10,0.676,17.464,632,190,13.241,10.000,1.752,0.571,0.818
15,25,627.740,188.060,19.899,624,186,7,4,0.793,8.062,624,186,150.255,4.000,1.806,0.554,0.909
16,30,414.067,198.800,22.142,411,196,6,7,0.769,8.062,411,196,119.745,6.000,1.251,0.800,0.857
17,148,628.480,207.135,66.184,621,198,15,17,0.425,17.889,625,198,116.565,13.656,1.360,0.735,0.765
18,38,470.026,204.184,22.971,466,201,8,7,0.905,8.602,466,202,144.462,7.000,1.253,0.798,0.854
19,49,594.827,212.704,36.385,592,205,6,15,0.465,16.155,592,205,111.801,4.969,3.742,0.267,0.731
20,40,705.325,218.525,22.142,702,215,7,7,1.000,9.220,702,215,130.601,7.000,1.346,0.743,0.920
21,33,622.652,220.621,20.728,620,217,6,7,0.965,8.062,621,217,119.745,6.000,1.320,0.758,0.892
22,28,652.321,220.357,19.314,650,217,5,7,0.943,7.810,650,217,129.806,5.000,1.351,0.740,0.903
23,35,886.243,224.357,22.385,883,220,7,8,0.878,9.434,884,220,122.005,5.657,1.844,0.542,0.824
24,44,699.977,224.705,23.556,696,221,8,7,0.996,8.944,696,227,26.565,7.000,1.203,0.831,0.907
25,33,596.924,233.924,19.899,594,231,6,6,1.000,7.810,594,231,129.806,6.000,1.071,0.934,0.957
26,75,741.287,241.113,35.213,735,237,13,9,0.760,14.765,735,237,151.699,7.747,2.107,0.475,0.843
