Area,X,Y,Perim.,BX,BY,Width,Height
79,987.266,11.114,0,983,7,10,9
32,332.844,28.281,0,330,26,7,6
80,1258.487,33.800,0,1254,29,10,10
78,347.603,37.167,0,344,32,8,13
37,451.541,35.595,0,449,32,6,8
41,1163.415,40.268,0,1161,36,6,9
58,435.603,43.397,0,432,40,8,8
153,758.203,46.111,0,751,40,16,13
73,636.863,47.438,0,633,42,9,12
63,442.889,51.746,0,439,48,9,9
72,443.236,67.167,0,438,63,11,9
245,298.139,78.955,0,288,70,22,20
199,274.920,82.819,0,269,73,12,24
223,328.274,91.135,0,322,81,13,22
121,208.529,88.983,0,203,83,12,13
55,444.000,91.818,0,440,89,9,7
166,1407.458,102.849,0,1401,94,14,18
53,347.679,98.208,0,344,95,9,8
50,436.620,106.860,0,433,103,8,8
119,246.319,114.882,0,240,109,14,12
90,415.589,124.878,0,411,120,10,11
35,252.600,171.486,0,250,169,7,6
77,267.286,188.416,0,263,184,10,10
156,1227.532,196.660,0,1219,192,18,12
38,1411.553,195.579,0,1408,193,8,7
80,837.250,207.025,0,832,203,12,9
59,756.475,207.966,0,753,204,8,9
105,814.724,224.371,0,809,219,12,12
208,761.880,232.865,0,756,222,14,22
42,751.881,229.500,0,749,226,7,8
111,863.261,236.450,0,858,231,12,12
125,325.752,239.224,0,320,233,13,14
109,869.119,249.046,0,862,244,15,13
77,252.065,271.442,0,249,265,7,13
106,597.264,279.264,0,592,273,11,13
86,711.616,278.314,0,707,273,10,11
45,1148.933,279.022,0,1146,275,7,9
112,885.179,290.071,0,880,284,11,13
110,469.455,294.409,0,464,289,12,12
143,706.147,294.238,0,697,289,19,11
131,1320.443,296.168,0,1314,291,14,12
131,653.664,310.412,0,648,303,12,15
132,843.576,309.659,0,838,303,13,14
102,910.500,311.235,0,905,306,12,11
102,458.647,317.588,0,454,312,10,12
120,919.317,318.533,0,913,313,13,12
90,1305.656,333.922,0,1301,329,10,11
58,479.552,339.741,0,476,335,9,10
59,473.763,341.576,0,471,336,6,12
138,484.964,346.420,0,476,341,17,11
64,729.484,344.188,0,724,341,11,8
37,728.027,348.757,0,724,346,10,6
101,750.416,367.069,0,746,361,10,13
81,877.938,375.716,0,873,372,11,9
164,937.006,398.902,0,931,392,15,15
98,809.490,402.459,0,805,395,11,14
95,655.284,406.653,0,651,401,10,12
80,1363.125,403.975,0,1357,401,13,8
100,530.560,407.420,0,526,402,10,12
88,819.943,410.307,0,815,406,11,10
91,728.451,412.670,0,724,407,10,12
103,1091.641,418.243,0,1086,410,11,15
122,817.311,424.672,0,812,417,11,15
