 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,41,822.451,193.061,33.556,817,188,11,8,0.458,12.806,817,188,141.340,6.801,2.201,0.454,0.626
2,98,834.520,198.867,57.113,827,193,16,11,0.378,18.028,828,194,146.310,11.000,1.598,0.626,0.695
3,25,757.140,223.940,20.728,755,220,6,7,0.731,7.616,755,220,113.199,6.000,1.142,0.875,0.833
4,45,814.678,224.967,39.113,811,220,8,9,0.370,10.000,811,228,36.870,8.000,1.107,0.904,0.732
5,105,763.119,232.557,57.941,758,223,10,17,0.393,17.720,762,223,106.390,10.000,1.728,0.579,0.781
6,43,863.453,237.523,32.042,859,233,9,8,0.526,9.220,859,236,167.471,8.000,1.222,0.818,0.761
7,70,885.471,290.714,42.042,881,285,9,11,0.498,12.083,883,285,114.444,9.000,1.300,0.769,0.838
8,47,468.862,294.606,33.456,465,290,8,9,0.528,9.849,467,299,66.038,7.906,1.317,0.759,0.783
9,30,845.733,308.300,24.627,841,305,9,8,0.622,11.402,841,305,142.125,4.664,2.948,0.339,0.750
10,59,910.975,312.076,35.456,906,308,10,8,0.590,10.770,906,314,21.801,8.000,1.314,0.761,0.855
11,61,458.779,318.107,38.042,455,313,8,10,0.530,11.180,456,323,63.435,8.000,1.345,0.744,0.847
12,74,919.608,318.581,40.527,914,314,11,10,0.566,11.705,914,317,160.017,10.000,1.162,0.860,0.831
13,27,936.278,338.574,20.971,933,335,7,7,0.772,9.220,933,335,130.601,4.950,2.182,0.458,0.783
14,42,486.524,345.048,36.042,479,342,13,7,0.406,13.342,479,345,167.005,6.965,2.502,0.400,0.587
15,51,750.618,367.382,40.042,747,363,8,9,0.400,10.817,748,372,56.310,8.000,1.288,0.776,0.785
16,84,489.845,400.690,51.941,483,394,13,13,0.391,15.264,483,399,148.392,11.699,1.416,0.706,0.689
17,76,936.395,399.000,30.971,932,394,9,10,0.996,11.180,934,394,116.565,9.000,1.133,0.883,0.938
18,30,1078.500,400.133,21.314,1074,398,8,5,0.830,9.434,1074,398,147.995,5.000,1.963,0.509,0.909
19,37,1086.851,403.014,23.556,1083,399,7,8,0.838,8.944,1085,399,116.565,6.641,1.268,0.788,0.831
20,109,1098.261,408.940,59.598,1090,400,16,18,0.386,21.095,1094,400,121.430,11.947,2.342,0.427,0.596
21,66,1073.773,407.455,41.213,1065,402,14,10,0.488,15.652,1065,411,26.565,9.216,1.984,0.504,0.680
22,66,531.030,407.894,29.556,527,403,8,10,0.949,11.314,527,404,135.000,8.000,1.202,0.832,0.917
23,59,655.856,407.415,27.556,652,403,8,9,0.976,10.000,652,404,143.130,8.000,1.107,0.903,0.922
24,55,484.755,407.682,32.042,479,404,12,9,0.673,12.166,479,406,170.538,8.944,1.464,0.683,0.769
25,40,1082.975,409.850,24.971,1080,406,7,8,0.806,8.944,1080,406,116.565,7.000,1.101,0.908,0.860
26,116,476.397,414.569,57.355,469,407,15,17,0.443,18.028,474,407,109.440,12.728,1.387,0.721,0.678
27,38,464.579,412.395,28.971,461,408,7,9,0.569,10.296,461,408,119.055,7.000,1.277,0.783,0.738
28,45,728.744,412.722,37.213,725,409,8,8,0.408,10.000,726,417,53.130,8.000,1.236,0.809,0.783
29,73,1090.295,416.596,40.042,1086,411,10,12,0.572,13.000,1087,411,112.620,10.000,1.257,0.795,0.768
30,30,470.967,419.967,22.971,466,417,9,5,0.714,9.487,466,422,18.435,5.000,1.880,0.532,0.800
31,36,823.500,421.444,25.556,818,419,10,5,0.693,10.440,818,419,163.301,5.000,1.910,0.524,0.828
32,27,1067.130,423.907,23.799,1064,420,7,9,0.599,11.402,1064,420,127.875,4.919,2.714,0.368,0.730
33,40,473.300,425.900,26.728,468,423,10,6,0.704,11.180,468,429,26.565,5.853,1.877,0.533,0.808
34,35,834.014,429.414,24.971,829,427,10,5,0.705,10.198,829,429,168.690,5.000,2.180,0.459,0.814
35,83,921.006,446.380,46.527,914,439,13,14,0.482,15.264,914,444,148.392,11.157,1.486,0.673,0.680
36,80,932.513,447.462,45.213,925,443,14,8,0.492,15.652,925,443,153.435,8.000,1.985,0.504,0.751
37,41,582.622,453.622,30.142,579,450,7,7,0.567,9.220,579,457,40.601,7.000,1.094,0.914,0.882
38,42,919.667,455.405,26.971,915,452,10,7,0.726,11.180,915,454,153.435,6.641,1.729,0.578,0.808
39,51,797.480,464.833,36.284,794,460,8,10,0.487,10.198,796,460,101.310,8.000,1.202,0.832,0.791
40,63,738.389,466.198,38.284,734,461,9,10,0.540,10.817,734,469,33.690,9.000,1.202,0.832,0.834
41,25,986.820,466.340,20.142,984,463,6,7,0.774,8.062,985,470,60.255,5.014,1.841,0.543,0.769
42,67,557.187,472.112,41.355,552,466,10,13,0.492,13.601,557,466,107.103,9.387,1.501,0.666,0.744
43,40,877.200,486.275,30.385,874,482,7,8,0.544,9.434,875,490,57.995,7.000,1.255,0.797,0.800
44,52,499.673,499.846,31.799,496,493,8,12,0.646,13.892,497,493,120.256,6.200,2.510,0.398,0.839
45,25,524.460,498.860,18.728,522,495,5,7,0.896,8.062,523,495,119.745,4.950,1.678,0.596,0.893
46,42,508.667,501.310,27.213,504,497,10,8,0.713,11.662,504,497,149.036,6.450,2.250,0.445,0.771
47,68,414.368,503.456,48.184,408,498,13,12,0.368,13.892,412,510,59.744,11.443,1.094,0.914,0.624
48,76,406.000,508.829,45.941,401,501,10,14,0.453,14.318,405,515,77.905,9.707,1.606,0.622,0.760
49,43,495.105,507.453,26.142,491,504,9,7,0.791,10.817,491,511,33.690,7.000,1.431,0.699,0.827
50,26,512.615,507.808,19.556,509,505,7,6,0.854,7.280,509,508,15.945,6.000,1.148,0.871,0.812
51,72,775.542,510.722,44.527,771,505,10,11,0.456,13.601,771,505,126.027,9.192,1.310,0.763,0.800
52,89,506.242,512.185,41.113,499,506,14,13,0.662,16.401,502,506,127.569,8.800,2.148,0.466,0.784
53,35,496.186,515.071,22.142,493,512,7,6,0.897,8.485,493,512,135.000,6.000,1.211,0.826,0.909
54,127,524.713,522.579,71.841,518,515,14,15,0.309,17.029,519,515,130.236,14.000,1.136,0.880,0.745
55,81,503.315,522.648,43.456,499,516,9,16,0.539,16.279,501,516,100.620,8.627,2.143,0.467,0.757
56,91,512.995,524.588,54.184,507,517,12,15,0.390,16.279,507,529,42.510,10.607,1.675,0.597,0.708
57,58,1090.707,523.241,33.213,1087,518,9,10,0.661,12.728,1087,518,135.000,8.835,1.408,0.710,0.817
58,28,496.357,521.857,19.071,494,519,5,6,0.967,7.810,494,525,50.194,5.000,1.274,0.785,0.966
59,35,1077.471,526.929,24.142,1075,522,5,10,0.755,10.198,1076,532,78.690,5.000,2.024,0.494,0.864
60,53,1084.406,527.991,31.556,1081,522,9,10,0.669,10.770,1081,532,68.199,9.000,1.246,0.803,0.803
61,37,496.689,529.716,23.556,493,526,7,8,0.838,8.602,494,533,54.462,6.548,1.306,0.765,0.822
