Area,X,Y,Perim.,BX,BY,Width,Height
84,1261.583,2.917,0,1254,0,15,8
23,1402.043,5.609,0,1399,3,7,6
55,1231.327,11.036,0,1226,8,11,7
153,159.020,23.895,0,153,17,13,15
21,742.476,26.667,0,741,24,4,7
42,105.833,28.095,0,102,25,8,7
36,82.722,33.667,0,79,31,8,7
56,691.286,43.500,0,688,40,8,8
38,1204.395,44.658,0,1202,41,6,8
80,286.700,48.175,0,282,44,11,9
59,175.932,66.661,0,172,63,9,8
79,1209.291,67.570,0,1202,65,16,6
135,1397.948,89.474,0,1392,83,15,13
55,483.036,89.255,0,479,86,9,8
76,1291.303,91.461,0,1287,87,9,10
103,1157.515,98.913,0,1152,91,12,16
85,1416.035,102.812,0,1411,98,11,10
80,235.787,113.625,0,232,108,8,12
54,315.019,119.537,0,312,114,7,12
73,1377.438,124.466,0,1373,121,10,8
144,199.632,128.785,0,192,124,17,10
104,94.952,139.692,0,88,135,14,10
92,841.185,141.630,0,837,136,10,12
65,1418.723,179.631,0,1415,175,9,10
33,379.576,178.939,0,377,176,6,7
48,1412.875,187.083,0,1410,183,7,9
46,88.391,187.109,0,84,185,10,6
100,123.060,191.440,0,118,186,12,12
96,1389.104,195.615,0,1385,190,10,12
36,875.667,194.944,0,873,192,7,7
53,1211.434,195.189,0,1208,192,8,8
61,115.656,204.148,0,112,200,8,9
116,1408.784,206.457,0,1401,201,15,13
78,99.731,212.782,0,95,209,11,9
70,1339.186,214.057,0,1336,209,8,12
133,123.113,215.977,0,117,210,14,14
138,158.428,216.587,0,151,211,15,13
70,1395.343,216.714,0,1392,212,8,11
51,244.667,217.882,0,241,214,8,9
82,99.768,225.573,0,97,218,7,15
27,131.407,234.074,0,129,232,6,5
53,163.340,243.019,0,160,239,8,9
104,1409.654,245.731,0,1403,241,13,12
26,1324.115,254.308,0,1322,252,5,6
40,187.200,259.075,0,184,256,7,7
64,1331.781,259.484,0,1328,256,9,9
58,171.724,267.259,0,168,263,8,9
59,107.610,267.678,0,104,264,9,8
32,1243.375,269.344,0,1241,267,6,6
40,191.075,276.050,0,187,274,9,5
43,1042.163,277.256,0,1039,274,8,8
62,1299.435,279.871,0,1296,274,7,12
83,1369.819,280.711,0,1365,275,10,12
41,1060.878,283.805,0,1058,281,7,7
84,226.845,292.310,0,223,287,9,12
53,113.547,291.434,0,110,288,8,8
83,1376.855,296.795,0,1372,292,10,11
65,1307.631,299.569,0,1304,295,8,10
54,210.981,308.222,0,208,304,8,9
154,109.565,311.195,0,103,305,14,14
61,164.492,310.213,0,160,307,10,8
133,201.256,313.729,0,195,308,14,12
29,1404.103,316.172,0,1401,314,7,6
112,659.196,338.027,0,651,333,16,10
315,1380.010,352.063,0,1367,343,25,18
67,565.328,347.806,0,561,344,9,9
141,187.078,353.567,0,183,345,9,19
47,1139.213,348.064,0,1136,345,8,7
54,557.593,349.981,0,554,346,9,10
104,842.202,360.298,0,838,354,9,15
57,849.895,366.772,0,847,362,7,11
113,1326.903,368.372,0,1322,362,12,14
213,733.836,371.803,0,727,364,15,17
122,1390.549,369.951,0,1385,364,13,12
177,1335.395,375.480,0,1328,368,15,15
41,130.659,379.244,0,127,376,8,7
54,1320.278,379.722,0,1317,376,8,9
95,1349.537,379.726,0,1344,376,13,9
110,839.491,386.045,0,833,379,13,13
66,1006.864,383.136,0,1003,379,9,9
116,964.069,389.397,0,958,380,12,17
58,1321.397,387.259,0,1318,383,8,9
24,77.500,388.000,0,76,385,4,7
161,1350.814,407.081,0,1344,401,14,13
236,805.199,412.983,0,798,402,16,21
32,348.750,415.812,0,346,413,6,7
176,184.062,423.017,0,177,416,14,16
113,145.407,430.894,0,139,425,12,14
25,657.240,431.040,0,656,428,4,8
98,1365.551,434.153,0,1359,430,14,9
132,1337.659,438.348,0,1332,432,12,14
47,132.426,436.043,0,129,433,8,7
57,1274.404,441.281,0,1270,437,9,9
145,876.683,446.476,0,868,439,18,16
210,1262.024,452.071,0,1253,443,17,19
30,162.800,452.067,0,160,449,6,7
149,640.732,457.329,0,633,450,15,15
114,722.184,462.982,0,716,457,13,13
133,850.782,473.677,0,846,466,11,17
96,961.656,478.625,0,956,474,12,10
120,1333.250,498.050,0,1327,492,14,12
123,891.236,506.561,0,886,500,11,14
89,38.067,509.337,0,33,505,12,10
101,64.634,510.168,0,58,506,13,11
136,906.110,513.059,0,899,506,14,14
95,661.221,519.505,0,655,515,13,10
31,877.226,518.323,0,874,516,7,6
202,1383.223,527.342,0,1376,520,17,17
212,126.726,535.028,0,119,526,16,18
38,1243.711,531.053,0,1241,528,7,7
157,167.688,534.822,0,161,529,14,13
64,759.203,541.234,0,754,538,11,7
22,267.091,547.500,0,265,545,5,6
220,1364.141,569.482,0,1355,560,22,20
46,1322.935,567.891,0,1320,564,7,9
60,123.083,574.433,0,120,569,7,12
63,1379.032,579.413,0,1374,576,10,8
118,1421.898,583.525,0,1417,577,11,14
161,1328.292,601.280,0,1321,596,17,11
105,1134.343,601.705,0,1128,597,13,10
229,1416.860,612.773,0,1408,602,18,22
125,1393.056,617.584,0,1385,611,15,13
72,1177.986,635.167,0,1174,631,9,10
38,275.789,644.421,0,273,642,7,7
91,1185.659,657.363,0,1181,653,11,10
226,1414.540,662.279,0,1406,654,18,17
106,375.500,675.000,0,369,671,14,9
177,88.277,679.232,0,81,672,15,15
37,171.730,675.081,0,169,672,7,7
59,1275.102,675.220,0,1271,672,9,8
56,1409.536,680.750,0,1406,677,8,9
64,1378.922,683.812,0,1375,679,9,10
148,1205.155,687.574,0,1198,682,15,13
120,1324.025,692.250,0,1316,688,18,10
93,143.742,692.333,0,137,689,15,8
