 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,181,658.500,249.854,82.912,648,240,24,19,0.331,25.000,648,244,163.740,15.141,1.636,0.611,0.628,cell
2,43,873.686,278.105,25.213,869,274,9,8,0.850,10.630,870,274,131.186,6.364,1.795,0.557,0.835,cell
3,32,520.469,297.062,24.042,516,293,9,8,0.696,10.296,516,294,150.945,5.547,2.446,0.409,0.719,cell
4,53,625.160,320.915,36.870,621,315,11,11,0.490,12.530,621,316,151.390,8.256,1.623,0.616,0.667,cell
5,26,856.346,326.885,22.142,853,322,6,8,0.666,8.944,853,330,63.435,5.367,1.835,0.545,0.754,cell
6,35,966.586,327.614,22.728,964,323,6,8,0.851,8.944,964,331,63.435,6.000,1.458,0.686,0.864,cell
7,49,549.582,332.745,24.971,546,329,8,8,0.988,8.944,547,329,116.565,8.000,1.073,0.932,0.907,cell
8,30,560.200,352.100,27.556,556,348,7,8,0.496,9.434,557,348,122.005,6.325,1.762,0.567,0.652,cell
9,31,620.081,380.048,21.556,616,377,8,6,0.838,8.602,617,377,144.462,5.578,1.733,0.577,0.805,cell
10,94,964.830,386.489,57.012,958,380,13,16,0.363,18.028,958,395,56.310,11.672,1.732,0.577,0.603,cell
11,37,938.959,384.122,24.728,935,381,8,7,0.760,10.630,935,388,41.186,6.517,1.914,0.522,0.831,cell
12,52,626.615,387.327,25.556,623,383,7,9,1.000,10.296,624,383,119.055,7.000,1.380,0.725,0.937,cell
13,33,957.106,387.167,22.971,953,384,9,6,0.786,10.296,953,384,150.945,4.919,2.277,0.439,0.857,cell
14,31,953.435,394.435,20.728,950,391,6,7,0.907,8.062,952,398,60.255,6.000,1.231,0.812,0.873,cell
15,86,1051.953,409.802,33.213,1047,404,10,11,0.980,12.806,1047,414,38.660,9.899,1.305,0.766,0.925,cell
16,25,502.180,411.140,21.556,499,407,7,7,0.676,8.602,501,407,125.538,5.367,1.641,0.609,0.725,cell
17,47,808.011,414.989,41.698,803,409,9,12,0.340,13.416,803,421,63.435,8.657,1.676,0.597,0.534,cell
18,60,671.750,418.083,27.799,668,413,8,10,0.976,10.440,670,413,106.699,8.000,1.203,0.831,0.896,cell
19,54,505.611,419.074,43.456,496,416,17,8,0.359,17.117,496,420,6.710,7.778,2.585,0.387,0.584,cell
20,44,503.045,427.636,30.042,499,423,8,9,0.613,10.296,500,423,119.055,7.778,1.415,0.707,0.759,cell
21,116,515.517,429.802,49.698,507,423,16,12,0.590,16.125,507,432,7.125,12.000,1.444,0.693,0.779,cell
