 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,31,665.565,262.565,23.213,662,259,8,8,0.723,10.000,662,266,36.870,4.243,2.516,0.398,0.838
2,133,676.628,267.831,57.456,664,262,24,10,0.506,24.739,664,269,14.036,8.137,3.552,0.282,0.796
3,43,873.686,278.105,25.213,869,274,9,8,0.850,10.630,870,274,131.186,6.364,1.795,0.557,0.835
4,32,520.469,297.062,24.042,516,293,9,8,0.696,10.296,516,294,150.945,5.547,2.446,0.409,0.719
5,75,585.020,302.847,49.698,576,297,15,11,0.382,16.155,576,304,21.801,10.956,1.609,0.621,0.625
6,54,588.093,313.333,32.042,583,309,10,9,0.661,11.180,583,312,153.435,8.854,1.252,0.799,0.766
7,53,625.160,320.915,36.870,621,315,11,11,0.490,12.530,621,316,151.390,8.256,1.623,0.616,0.667
8,26,856.346,326.885,22.142,853,322,6,8,0.666,8.944,853,330,63.435,5.367,1.835,0.545,0.754
9,35,966.586,327.614,22.728,964,323,6,8,0.851,8.944,964,331,63.435,6.000,1.458,0.686,0.864
10,49,549.582,332.745,24.971,546,329,8,8,0.988,8.944,547,329,116.565,8.000,1.073,0.932,0.907
11,30,560.200,352.100,27.556,556,348,7,8,0.496,9.434,557,348,122.005,6.325,1.762,0.567,0.652
12,31,620.081,380.048,21.556,616,377,8,6,0.838,8.602,617,377,144.462,5.578,1.733,0.577,0.805
13,33,963.773,382.318,25.556,960,380,9,5,0.635,9.487,960,384,18.435,5.000,1.758,0.569,0.835
14,37,938.959,384.122,24.728,935,381,8,7,0.760,10.630,935,388,41.186,6.517,1.914,0.522,0.831
15,52,626.615,387.327,25.556,623,383,7,9,1.000,10.296,624,383,119.055,7.000,1.380,0.725,0.937
16,33,957.106,387.167,22.971,953,384,9,6,0.786,10.296,953,384,150.945,4.919,2.277,0.439,0.857
17,31,953.435,394.435,20.728,950,391,6,7,0.907,8.062,952,398,60.255,6.000,1.231,0.812,0.873
18,86,1051.953,409.802,33.213,1047,404,10,11,0.980,12.806,1047,414,38.660,9.899,1.305,0.766,0.925
19,25,502.180,411.140,21.556,499,407,7,7,0.676,8.602,501,407,125.538,5.367,1.641,0.609,0.725
20,47,808.011,414.989,41.698,803,409,9,12,0.340,13.416,803,421,63.435,8.657,1.676,0.597,0.534
21,60,671.750,418.083,27.799,668,413,8,10,0.976,10.440,670,413,106.699,8.000,1.203,0.831,0.896
22,54,505.611,419.074,43.456,496,416,17,8,0.359,17.117,496,420,6.710,7.778,2.585,0.387,0.584
23,44,503.045,427.636,30.042,499,423,8,9,0.613,10.296,500,423,119.055,7.778,1.415,0.707,0.759
24,106,515.613,429.689,66.184,507,423,16,12,0.304,16.125,507,432,7.125,12.000,1.444,0.693,0.711
25,44,448.477,437.295,23.556,445,433,7,8,0.996,8.602,446,434,125.538,7.000,1.046,0.956,0.898
26,47,764.074,441.138,24.971,760,437,8,8,0.947,9.434,761,445,57.995,7.603,1.241,0.805,0.887
27,36,494.111,445.639,20.728,491,442,6,7,1.000,8.062,492,449,60.255,6.000,1.186,0.843,0.935
28,40,754.600,449.525,23.314,750,447,9,5,0.925,9.487,750,451,18.435,5.000,1.711,0.584,0.941
29,37,721.851,462.365,28.385,718,459,8,8,0.577,11.314,718,467,45.000,6.261,1.982,0.504,0.763
30,26,727.115,470.154,22.971,723,467,8,6,0.619,10.000,723,467,143.130,4.743,2.705,0.370,0.743
31,27,735.907,471.759,18.142,733,469,6,6,1.000,6.708,734,469,116.565,6.000,1.059,0.945,0.885
32,68,1048.294,478.956,29.213,1043,474,10,9,1.000,11.180,1043,481,26.565,9.000,1.243,0.804,0.913
33,29,1042.155,496.466,19.314,1039,494,7,5,0.977,8.062,1039,494,150.255,5.000,1.394,0.717,0.921
34,83,596.247,500.584,40.870,590,495,12,11,0.624,13.454,591,505,41.987,10.933,1.204,0.831,0.772
35,125,1099.900,502.460,50.527,1090,495,18,14,0.615,18.682,1090,502,164.476,12.649,1.465,0.683,0.765
36,128,597.594,514.391,61.598,592,505,14,18,0.424,18.439,592,523,77.471,13.152,1.557,0.642,0.709
37,27,901.463,508.796,28.870,898,505,7,9,0.407,9.849,898,505,113.962,6.641,1.536,0.651,0.587
38,49,1097.500,509.765,26.385,1093,506,10,7,0.885,11.180,1093,507,153.435,6.641,1.776,0.563,0.883
39,27,715.907,512.574,17.899,713,510,6,5,1.000,7.211,713,515,33.690,5.000,1.210,0.826,0.947
40,42,1098.690,517.690,29.799,1093,514,11,8,0.594,12.083,1093,522,24.444,6.788,2.072,0.483,0.712
41,44,1003.386,519.795,24.971,999,516,9,7,0.887,9.487,999,519,161.565,6.864,1.450,0.689,0.871
42,64,1066.062,520.203,36.870,1059,516,13,8,0.592,13.928,1059,522,21.038,7.845,1.988,0.503,0.766
