Area,X,Y,Perim.,BX,BY,Width,Height
246,600.707,79.435,0,590,72,22,17
124,726.000,101.121,0,720,95,13,14
97,718.876,106.567,0,713,102,14,10
90,593.900,112.556,0,589,108,11,10
123,681.008,136.236,0,676,130,11,14
61,704.721,138.410,0,701,134,9,9
104,552.010,152.587,0,547,147,11,12
90,534.378,152.722,0,529,148,12,10
93,816.613,155.602,0,811,151,12,10
40,748.000,160.350,0,745,157,7,8
67,613.881,170.000,0,610,166,9,9
241,420.851,175.473,0,413,167,17,19
143,552.189,172.944,0,545,167,15,13
89,585.483,185.393,0,577,180,18,11
82,678.841,193.829,0,675,188,9,12
124,508.403,202.460,0,504,196,11,16
126,487.056,204.032,0,481,198,14,12
118,512.254,211.085,0,507,204,12,17
102,521.608,211.863,0,517,204,10,15
64,373.984,209.766,0,369,206,10,9
103,407.796,215.621,0,402,210,12,12
38,503.079,213.053,0,500,210,7,7
68,649.676,216.662,0,645,212,10,10
62,515.355,218.952,0,511,214,9,10
66,382.091,218.485,0,378,215,10,9
78,389.744,221.410,0,385,217,10,10
83,776.241,223.205,0,772,218,10,11
48,527.938,224.500,0,523,222,11,6
68,735.838,227.691,0,731,224,10,9
50,821.100,227.620,0,818,224,7,8
70,628.771,229.243,0,625,225,9,10
74,507.000,233.568,0,503,229,9,10
85,836.976,234.976,0,832,231,11,9
131,394.275,241.763,0,390,234,10,17
141,487.227,241.454,0,481,235,13,14
102,467.353,241.569,0,462,236,14,12
68,357.926,241.471,0,354,237,9,10
135,471.178,250.378,0,465,243,13,15
103,481.126,250.825,0,476,245,13,12
80,834.487,250.575,0,830,246,10,10
67,884.672,252.373,0,881,248,8,10
83,489.518,258.470,0,485,252,10,13
90,514.267,257.556,0,509,253,11,10
46,764.370,259.283,0,761,256,8,8
119,843.739,265.807,0,839,260,11,13
76,854.789,265.224,0,850,261,11,9
54,643.370,266.500,0,640,263,8,8
23,800.522,266.304,0,798,264,6,6
54,772.056,272.963,0,769,269,7,9
92,705.924,278.141,0,701,273,11,11
102,919.814,280.069,0,914,275,12,13
126,950.127,281.476,0,945,275,11,15
108,406.296,289.704,0,402,283,11,14
114,525.667,295.123,0,521,288,11,15
55,676.564,292.418,0,673,289,8,8
