Area,X,Y,Perim.,BX,BY,Width,Height
121,679.058,201.669,0,674,196,12,13
118,619.492,231.212,0,614,224,11,17
61,612.869,232.541,0,610,227,7,12
78,627.538,237.718,0,623,233,10,11
112,636.643,241.393,0,630,236,14,12
46,612.348,242.761,0,610,238,6,10
76,623.947,246.750,0,619,242,10,11
201,964.184,390.736,0,957,382,17,19
79,920.215,394.203,0,916,389,10,12
87,1110.057,412.023,0,1105,407,11,11
68,958.015,422.221,0,954,418,10,9
102,901.137,427.412,0,894,423,16,10
106,943.104,434.094,0,937,428,14,12
69,886.870,432.609,0,882,429,12,9
45,887.889,442.667,0,884,440,10,7
171,891.708,449.298,0,883,442,17,14
92,338.913,457.717,0,334,453,11,11
158,899.430,461.139,0,892,454,15,15
197,883.746,460.508,0,874,455,22,13
86,870.802,470.651,0,866,466,11,11
26,941.000,472.500,0,939,470,5,6
60,920.117,476.433,0,916,471,8,11
231,871.121,494.900,0,865,483,13,24
66,1003.167,489.379,0,998,486,11,8
76,1078.987,499.000,0,1075,494,9,11
80,1087.600,499.663,0,1083,496,11,9
72,860.944,504.028,0,857,499,9,11
22,708.500,502.727,0,706,501,6,5
63,1082.746,507.048,0,1078,504,11,7
87,1133.264,509.115,0,1129,504,10,11
95,1096.989,508.916,0,1089,505,15,10
156,1088.186,514.545,0,1079,509,19,12
174,899.655,519.057,0,891,512,18,17
143,1082.483,521.972,0,1073,517,21,11
81,1077.802,528.568,0,1072,524,12,10
44,916.091,528.886,0,911,526,11,6
48,890.000,531.708,0,887,528,8,8
85,853.376,533.871,0,849,529,10,11
79,882.304,535.861,0,876,531,12,10
123,1036.569,539.675,0,1030,534,14,12
109,640.229,542.872,0,634,538,13,11
64,589.891,567.281,0,586,563,9,10
121,999.190,571.058,0,993,566,14,11
90,515.578,571.033,0,510,567,12,9
67,593.060,575.776,0,589,571,9,10
84,524.667,579.750,0,520,575,11,10
65,515.554,580.231,0,512,576,8,10
87,578.966,612.655,0,574,608,11,10
143,880.035,621.336,0,874,615,13,14
129,1018.124,630.612,0,1012,625,13,13
91,1157.000,650.890,0,1151,647,13,9
37,925.784,652.892,0,922,650,8,7
102,927.392,660.618,0,922,655,12,14
94,845.202,704.862,0,840,700,11,11
71,1067.775,705.859,0,1063,702,10,9
39,1058.641,730.410,0,1055,727,8,7
107,538.944,741.626,0,534,736,11,12
68,702.500,758.000,0,698,754,10,9
60,754.367,758.033,0,750,754,9,9
156,444.115,779.660,0,437,774,15,13
81,722.062,786.877,0,718,781,10,13
90,366.233,787.356,0,361,783,11,11
32,750.156,794.562,0,747,792,7,6
56,563.982,798.857,0,560,795,9,9
79,740.570,801.139,0,737,796,8,12
73,746.904,804.315,0,744,797,7,15
90,756.522,804.078,0,753,797,10,14
120,767.075,811.550,0,760,804,17,15
30,527.900,829.133,0,526,826,5,7
66,595.939,830.152,0,592,826,9,9
118,497.458,871.373,0,492,865,14,14
102,717.784,897.294,0,713,891,10,13
35,509.229,945.000,0,507,942,6,8
93,538.129,954.914,0,533,950,12,11
49,526.306,958.857,0,523,955,7,9
81,759.049,989.395,0,754,985,11,10
