Area,X,Y,Perim.,BX,BY,Width,Height
51,732.451,3.020,0,729,0,8,8
61,772.984,3.131,0,769,0,9,8
58,786.500,2.690,0,782,0,10,7
141,1177.532,14.333,0,1172,8,12,14
31,1377.613,12.387,0,1375,10,7,6
59,1358.203,18.712,0,1355,15,8,9
57,1371.281,19.228,0,1368,15,8,9
134,673.007,22.119,0,666,17,14,14
141,741.929,20.071,0,731,17,24,7
178,773.831,24.298,0,766,18,17,13
128,758.602,29.102,0,751,24,16,13
48,1337.188,28.229,0,1332,26,11,6
200,1198.530,39.965,0,1192,33,16,16
57,1267.789,36.579,0,1264,33,9,8
85,686.529,44.059,0,681,40,13,9
122,405.967,50.811,0,400,45,13,12
37,476.784,58.730,0,474,56,7,7
167,369.198,67.473,0,362,61,16,14
57,626.895,74.053,0,623,70,9,9
53,860.755,75.547,0,857,72,8,8
46,819.565,75.761,0,815,73,9,7
165,129.339,80.364,0,123,74,14,14
80,875.788,80.213,0,872,74,10,12
90,800.811,80.989,0,795,77,12,9
17,401.588,91.588,0,400,89,4,6
68,539.529,95.059,0,536,89,8,13
83,868.807,105.048,0,865,98,8,14
242,1292.380,109.248,0,1284,99,17,20
91,364.791,107.473,0,360,102,10,11
137,784.460,110.781,0,778,105,14,13
21,603.095,107.714,0,601,106,6,5
33,884.576,109.061,0,882,106,6,7
72,627.139,116.028,0,623,111,9,11
96,876.260,115.333,0,870,111,14,10
112,890.330,120.312,0,882,114,14,14
204,904.250,123.245,0,898,114,13,20
52,1405.962,123.231,0,1403,119,7,9
48,1412.312,123.646,0,1409,120,7,9
53,640.981,123.849,0,637,121,10,7
32,1363.500,123.500,0,1361,121,6,6
209,879.780,136.191,0,872,126,15,20
34,851.500,130.882,0,849,128,6,7
68,634.265,135.338,0,631,129,8,13
38,1400.158,133.395,0,1397,131,7,6
77,1411.558,135.844,0,1407,131,10,11
91,940.022,141.429,0,937,135,7,14
114,792.105,143.211,0,787,137,11,13
121,616.950,141.587,0,609,138,17,10
53,723.264,146.038,0,720,141,7,10
59,1012.559,144.593,0,1008,141,11,8
90,433.722,148.011,0,428,144,13,9
97,464.495,148.196,0,459,144,12,11
17,225.765,147.941,0,224,146,4,5
104,853.173,153.510,0,848,148,13,11
240,798.754,158.996,0,788,151,22,17
269,823.074,158.052,0,814,151,22,17
151,480.066,161.854,0,473,153,17,15
59,570.966,163.271,0,567,160,9,8
40,600.925,164.050,0,598,161,7,7
42,907.643,163.595,0,904,161,8,6
80,419.350,167.700,0,416,162,8,13
75,458.720,171.200,0,454,167,10,10
62,539.194,171.177,0,536,167,8,10
72,756.722,171.236,0,752,167,10,9
130,689.923,174.400,0,684,168,14,14
159,471.755,179.673,0,464,173,16,15
201,527.627,182.905,0,520,175,18,16
53,587.906,179.245,0,585,175,7,10
52,451.500,179.500,0,448,176,8,8
47,996.426,179.043,0,993,176,8,7
142,559.070,182.042,0,552,177,16,12
69,1404.333,183.391,0,1401,177,7,13
116,789.750,183.914,0,785,178,11,14
58,410.828,186.741,0,407,183,9,9
64,459.406,187.188,0,456,183,8,9
32,444.594,188.312,0,442,186,7,6
265,704.174,220.751,0,694,214,23,15
96,1054.354,219.250,0,1048,215,14,9
214,805.140,252.182,0,797,245,17,16
155,842.142,255.342,0,837,247,13,17
18,233.667,259.500,0,232,257,4,6
279,821.703,267.950,0,814,258,17,22
38,1107.526,266.316,0,1105,263,6,8
92,351.913,281.207,0,346,276,12,11
327,686.287,289.743,0,678,278,17,24
118,932.076,286.008,0,927,280,11,13
75,700.653,293.747,0,697,288,9,11
48,242.708,299.292,0,240,296,7,8
164,748.061,313.573,0,741,306,16,15
127,936.898,313.709,0,931,308,13,13
153,1125.046,317.915,0,1118,310,16,16
136,913.721,317.669,0,908,311,12,15
73,446.110,319.863,0,443,313,7,14
46,298.826,326.304,0,296,322,7,9
201,707.667,333.343,0,701,324,14,19
71,766.521,334.254,0,762,330,10,10
135,1072.948,337.356,0,1066,332,15,12
314,1141.898,353.822,0,1131,344,23,22
239,1003.774,354.180,0,995,346,19,16
139,83.748,355.194,0,77,349,14,14
150,496.700,356.960,0,488,352,18,12
126,742.111,361.310,0,737,355,12,14
183,316.557,370.574,0,312,356,11,28
57,1119.754,363.912,0,1118,356,5,16
137,559.117,369.022,0,553,362,13,14
190,1148.768,371.663,0,1142,365,15,15
267,1009.828,375.434,0,1000,367,20,18
61,1212.131,372.689,0,1207,369,11,8
76,653.171,379.855,0,649,375,10,10
220,835.836,383.527,0,828,376,17,17
47,277.532,386.787,0,275,383,6,9
126,839.651,394.714,0,831,387,16,14
145,1157.703,392.938,0,1150,387,16,13
