Area,X,Y,Perim.,BX,BY,Width,Height
65,293.169,3.600,0,289,0,9,9
60,1252.967,3.117,0,1249,0,10,7
74,1302.878,3.095,0,1298,0,11,8
83,1409.422,11.422,0,1405,7,10,11
58,1211.966,12.000,0,1208,8,8,9
57,1265.070,19.596,0,1260,16,10,8
52,1303.846,19.269,0,1300,16,9,7
104,1407.212,23.779,0,1402,17,12,13
123,287.715,24.244,0,282,19,12,12
31,1212.000,22.000,0,1209,19,7,7
64,1220.234,28.266,0,1216,25,10,8
90,1272.889,28.244,0,1265,25,15,8
43,1226.930,31.233,0,1224,26,7,10
166,1284.825,38.012,0,1278,31,15,15
77,1159.545,35.013,0,1153,32,14,7
56,771.500,43.286,0,768,40,8,8
42,883.833,43.619,0,881,40,7,8
24,595.583,42.917,0,593,41,7,5
19,747.579,43.842,0,745,41,6,6
234,262.709,52.940,0,255,44,16,19
68,939.515,50.368,0,936,46,8,10
55,803.436,51.327,0,800,48,8,8
36,309.611,53.250,0,307,50,6,8
60,1235.000,57.017,0,1232,52,7,12
180,288.122,62.739,0,281,56,15,15
52,1285.769,59.885,0,1283,56,7,9
108,1324.435,59.417,0,1316,56,18,8
37,1146.784,63.243,0,1144,60,7,8
26,67.500,63.769,0,66,61,4,7
59,1337.932,74.949,0,1333,72,11,7
322,1349.081,100.208,0,1334,90,30,21
73,1259.425,96.836,0,1256,91,8,12
35,1250.714,105.371,0,1248,102,6,8
49,1131.837,114.980,0,1129,111,7,9
144,207.792,119.826,0,202,113,13,14
156,1341.154,122.987,0,1334,115,17,16
205,1224.293,145.776,0,1218,137,14,19
42,939.643,147.214,0,936,144,8,8
101,263.901,152.129,0,260,146,9,13
107,1234.290,152.449,0,1229,147,11,12
169,1290.740,158.006,0,1282,147,19,22
126,1371.103,158.468,0,1368,148,7,21
55,746.491,163.964,0,743,160,8,9
61,1168.262,178.361,0,1163,176,12,6
126,1198.849,186.405,0,1192,178,15,17
108,117.213,190.194,0,113,184,11,15
117,1180.632,191.752,0,1176,185,10,15
100,1221.640,193.020,0,1217,186,10,14
53,219.321,195.358,0,216,192,8,8
51,987.373,202.980,0,984,200,8,8
54,1275.741,203.926,0,1272,200,8,9
76,107.421,211.842,0,103,208,10,9
38,10.921,213.105,0,8,210,7,7
60,175.350,213.383,0,170,211,11,7
279,1336.613,222.197,0,1324,212,26,21
60,142.500,220.433,0,139,217,9,9
49,182.939,219.367,0,178,217,10,7
121,1388.860,231.678,0,1384,225,13,14
97,121.887,233.505,0,117,226,10,15
268,823.429,237.358,0,815,226,19,21
126,1321.905,238.310,0,1317,232,11,14
43,1059.395,236.000,0,1056,233,8,7
36,1307.972,251.917,0,1305,249,7,7
304,1351.118,256.625,0,1336,249,31,16
64,36.016,256.109,0,33,250,7,13
58,1295.793,260.086,0,1291,257,10,7
185,901.459,264.995,0,894,259,16,14
56,1275.750,268.554,0,1272,265,9,8
56,162.625,268.964,0,158,266,10,7
122,126.877,280.623,0,121,274,12,13
34,1085.176,277.382,0,1082,275,7,6
149,182.758,283.503,0,174,279,17,10
44,203.636,291.818,0,201,288,6,9
73,451.479,292.164,0,447,288,10,9
67,247.373,292.970,0,242,290,11,8
61,76.770,296.049,0,73,291,8,11
89,188.551,298.888,0,183,295,12,9
79,1321.038,300.304,0,1316,297,11,8
135,1341.474,305.341,0,1337,298,11,17
205,1365.468,307.351,0,1359,298,14,19
22,1115.182,307.136,0,1113,304,5,7
56,227.232,308.929,0,224,305,7,9
133,171.586,315.398,0,168,307,9,19
43,99.512,312.256,0,97,308,7,9
162,624.617,323.160,0,616,317,19,13
215,656.084,324.647,0,648,318,18,16
88,193.886,323.716,0,189,319,10,11
22,243.591,323.045,0,242,320,4,7
305,589.023,332.757,0,580,321,17,23
85,134.600,335.059,0,129,331,12,9
108,1331.704,337.343,0,1327,331,10,14
168,657.238,338.214,0,647,332,20,13
71,711.577,337.718,0,708,333,9,11
105,1374.952,339.105,0,1368,336,16,8
40,210.950,340.350,0,208,337,7,7
71,161.408,347.465,0,156,344,11,8
81,1352.568,350.963,0,1350,344,6,17
94,140.500,358.649,0,136,353,10,12
138,223.630,361.746,0,218,356,13,14
54,1315.222,366.222,0,1312,362,8,9
114,1371.175,376.228,0,1366,368,10,16
245,1414.612,377.902,0,1407,369,16,20
83,1362.867,381.602,0,1358,377,11,11
74,114.311,389.554,0,111,384,8,12
185,1334.330,396.162,0,1328,386,14,21
47,1355.362,394.404,0,1352,390,7,9
58,211.948,396.000,0,209,392,7,10
85,246.894,395.612,0,240,392,16,7
32,1292.625,394.625,0,1290,392,6,6
160,1306.062,400.331,0,1299,394,16,13
148,59.926,406.865,0,53,400,14,18
56,189.321,404.000,0,184,401,11,7
29,1367.621,407.310,0,1366,403,4,9
254,884.850,417.945,0,878,408,15,21
163,802.012,419.798,0,796,409,16,20
234,500.252,420.389,0,492,412,17,18
42,751.595,415.214,0,748,412,8,7
145,1415.034,419.041,0,1409,412,14,15
106,1128.358,420.670,0,1122,416,13,11
31,1289.323,420.097,0,1287,417,6,7
245,1320.208,425.347,0,1312,417,18,20
182,913.923,431.247,0,909,423,12,18
177,101.610,439.429,0,95,431,15,17
95,47.400,438.663,0,43,433,10,13
92,419.717,438.891,0,416,433,9,13
173,1342.457,439.902,0,1335,433,17,14
105,1365.686,438.333,0,1361,433,12,12
85,1317.000,445.706,0,1313,440,9,13
41,1333.049,449.098,0,1331,444,5,11
58,171.103,449.621,0,168,445,8,10
357,723.375,458.106,0,713,446,20,26
123,111.016,460.699,0,105,454,12,14
107,939.664,461.318,0,934,456,13,12
147,1089.993,462.293,0,1082,457,18,12
120,849.825,474.592,0,844,469,14,12
69,104.710,476.420,0,99,473,12,8
80,960.525,479.163,0,955,475,12,9
194,1376.469,484.680,0,1369,478,16,14
39,795.821,483.462,0,792,480,9,7
250,1305.696,492.736,0,1299,480,14,26
262,943.679,489.782,0,936,481,17,19
324,833.299,510.716,0,824,501,20,22
68,3.985,507.162,0,0,503,9,9
342,615.836,515.620,0,606,505,19,22
60,83.817,523.750,0,80,519,8,10
49,1243.449,523.224,0,1240,520,8,8
203,1266.759,528.985,0,1256,522,23,13
94,119.330,532.532,0,114,528,12,10
36,1299.389,530.833,0,1296,528,7,7
190,526.684,537.884,0,519,530,16,16
57,1251.053,540.632,0,1248,536,7,11
92,1291.457,541.957,0,1287,536,9,13
76,176.197,546.724,0,171,542,11,10
67,1395.836,547.940,0,1391,544,10,9
93,163.978,552.645,0,160,545,9,15
232,1407.190,558.073,0,1400,548,15,22
124,1302.298,559.581,0,1297,552,11,15
84,16.643,555.857,0,10,553,14,7
57,1186.789,567.965,0,1184,562,6,12
41,1227.293,566.268,0,1224,563,7,8
221,1287.783,573.276,0,1279,566,16,18
79,1267.076,570.557,0,1262,567,12,9
109,1177.615,576.119,0,1172,571,12,12
241,1388.307,582.228,0,1378,571,21,25
149,1108.356,578.906,0,1102,572,14,15
60,1259.183,592.100,0,1257,585,5,15
70,1266.614,599.800,0,1262,594,9,12
94,1410.691,605.181,0,1407,599,8,14
190,1309.363,606.358,0,1301,600,18,14
118,1287.737,607.941,0,1283,602,11,13
112,1375.375,628.830,0,1370,621,12,17
337,1052.065,633.042,0,1042,622,22,21
96,1256.083,627.271,0,1251,622,11,11
43,1285.442,625.442,0,1283,622,6,8
186,124.457,628.608,0,114,623,20,14
220,980.532,640.973,0,973,633,15,17
182,1297.066,641.451,0,1289,634,15,17
67,1267.507,642.672,0,1264,638,8,10
47,1251.574,643.532,0,1248,640,8,8
78,249.141,644.038,0,243,641,13,7
170,198.382,657.371,0,189,652,18,11
57,1404.088,661.807,0,1401,657,7,12
73,1058.863,668.438,0,1055,664,9,10
76,1300.118,673.816,0,1296,668,8,12
138,506.993,675.080,0,500,669,15,12
51,1277.000,674.588,0,1274,671,7,9
110,1339.055,679.591,0,1336,671,7,18
101,373.119,676.129,0,367,672,13,10
99,1356.354,681.960,0,1353,674,7,17
190,239.547,682.879,0,233,675,14,17
113,872.080,686.018,0,867,678,11,17
126,1376.524,683.976,0,1369,678,15,14
307,181.055,695.003,0,167,683,26,21
160,1320.150,689.200,0,1314,683,15,15
83,251.470,690.325,0,248,685,8,12
277,474.498,698.022,0,466,686,21,24
90,1053.000,692.833,0,1048,688,11,10
99,254.646,705.545,0,250,699,10,13
78,188.269,707.538,0,184,703,10,10
214,1364.075,713.299,0,1352,707,23,14
289,1333.298,720.765,0,1324,709,19,26
49,156.633,724.531,0,153,721,8,8
134,178.701,727.970,0,172,721,14,15
28,501.893,725.786,0,499,723,6,7
178,161.775,734.893,0,155,727,13,19
53,204.679,731.189,0,201,728,8,8
43,148.651,739.116,0,146,735,6,9
87,397.977,745.690,0,393,740,10,12
73,323.589,747.041,0,319,743,10,9
318,209.975,754.780,0,201,745,19,22
343,1171.152,756.784,0,1161,746,23,21
51,235.882,755.745,0,233,752,7,9
168,1297.095,760.970,0,1289,754,18,14
96,1277.542,767.094,0,1273,762,11,12
67,710.672,769.358,0,707,765,9,10
29,776.586,767.966,0,774,765,6,7
62,1195.403,772.113,0,1192,768,8,9
155,729.465,778.826,0,723,773,14,13
238,1172.067,783.374,0,1163,776,19,15
244,1410.307,788.307,0,1402,777,17,22
383,941.321,790.585,0,931,780,22,22
260,812.177,808.688,0,805,799,19,23
71,256.127,804.070,0,251,801,11,7
61,227.689,816.000,0,224,811,8,10
44,1394.886,817.659,0,1391,814,8,8
58,215.672,821.121,0,211,818,10,7
196,736.408,827.791,0,729,820,15,17
60,1210.967,827.600,0,1207,824,9,8
45,1340.578,828.800,0,1337,826,8,7
75,1291.907,836.173,0,1288,832,9,10
205,1264.927,842.415,0,1258,834,14,18
92,158.054,842.380,0,152,839,14,8
152,138.974,848.704,0,134,841,11,17
