 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,26,799.077,236.731,18.142,796,234,6,6,0.993,7.810,796,234,129.806,4.950,1.585,0.631,0.897,cell
2,45,826.722,237.989,33.456,820,234,12,8,0.505,13.416,820,235,153.435,6.508,2.812,0.356,0.687,cell
3,71,757.049,252.613,41.213,749,249,16,9,0.525,17.464,749,256,23.629,6.579,3.486,0.287,0.740,cell
4,38,743.974,256.211,22.142,740,253,8,6,0.974,8.544,740,255,159.444,6.000,1.375,0.728,0.905,cell
5,59,867.839,317.449,28.385,864,312,8,10,0.920,10.770,865,322,68.199,8.000,1.321,0.757,0.894,cell
6,45,924.344,329.500,34.627,917,324,12,10,0.472,15.000,917,325,143.130,6.656,2.984,0.335,0.677,cell
7,26,655.923,327.885,24.971,651,326,10,4,0.524,10.440,651,327,163.301,4.000,3.134,0.319,0.703,cell
8,40,934.850,332.375,24.385,930,329,9,7,0.845,9.487,930,334,18.435,6.957,1.401,0.714,0.833,cell
9,50,930.960,340.880,34.627,926,337,9,9,0.524,11.402,926,344,37.875,8.854,1.307,0.765,0.730,cell
10,99,857.288,348.096,63.255,850,343,18,12,0.311,18.439,850,344,167.471,11.879,1.895,0.528,0.637,cell
11,62,870.726,354.500,38.627,863,350,13,10,0.522,13.342,863,354,167.005,9.803,1.425,0.702,0.685,cell
12,75,862.060,362.953,41.456,855,358,15,10,0.548,16.553,855,358,154.983,9.371,1.761,0.568,0.739,cell
13,42,973.929,384.357,38.042,965,382,16,5,0.365,16.125,965,385,7.125,5.000,4.236,0.236,0.683,cell
14,37,838.554,389.365,30.728,832,387,14,4,0.492,14.142,832,391,8.130,4.000,3.337,0.300,0.831,cell
15,40,941.925,391.650,33.899,934,390,16,3,0.437,16.125,934,393,7.125,3.000,5.126,0.195,0.909,cell
16,38,808.000,396.842,30.728,801,395,14,4,0.506,14.036,801,396,175.914,4.000,3.320,0.301,0.835,cell
17,32,804.250,417.781,24.385,799,415,9,6,0.676,10.817,799,415,146.310,5.367,2.309,0.433,0.800,cell
18,59,843.754,420.619,27.556,840,416,8,9,0.976,10.817,841,416,123.690,8.000,1.279,0.782,0.929,cell
19,40,996.550,429.725,29.799,990,427,12,6,0.566,12.369,990,429,165.964,6.000,2.498,0.400,0.721,cell
20,31,992.339,435.435,23.314,988,433,9,5,0.717,10.296,988,438,29.055,4.608,2.616,0.382,0.849,cell
21,62,951.210,454.935,39.799,945,451,14,8,0.492,14.318,945,458,12.095,8.000,1.774,0.564,0.678,cell
22,102,723.275,457.882,39.799,717,452,12,12,0.809,15.000,720,464,53.130,11.597,1.311,0.763,0.879,cell
23,47,682.713,468.968,24.728,678,466,9,6,0.966,9.849,678,467,156.038,6.000,1.475,0.678,0.940,cell
24,28,809.786,467.857,27.556,804,466,12,4,0.463,12.166,804,467,170.538,3.677,4.214,0.237,0.718,cell
25,26,804.308,472.538,24.971,800,471,10,4,0.524,10.198,800,471,168.690,4.000,2.846,0.351,0.754,cell
26,56,1101.786,483.196,26.627,1097,479,10,8,0.993,10.440,1097,485,16.699,8.000,1.308,0.764,0.889,cell
27,25,833.820,511.140,21.899,829,509,9,4,0.655,9.487,829,512,18.435,3.922,2.806,0.356,0.833,cell
28,41,617.110,516.232,22.728,614,512,6,8,0.997,8.944,615,520,63.435,6.000,1.290,0.775,0.932,cell
29,26,447.346,531.269,22.971,444,528,7,7,0.619,9.220,444,529,139.399,5.657,1.828,0.547,0.722,cell
30,59,961.856,537.856,27.799,957,534,10,8,0.959,11.180,957,535,153.435,7.906,1.491,0.670,0.894,cell
31,54,821.852,566.444,26.627,818,562,9,9,0.957,9.849,818,569,23.962,8.485,1.058,0.945,0.878,cell
32,33,749.742,569.470,21.314,746,567,8,5,0.913,8.944,746,572,26.565,5.000,1.718,0.582,0.917,cell
33,40,1142.675,570.125,22.728,1139,567,8,6,0.973,8.944,1139,573,26.565,6.000,1.329,0.752,0.930,cell
34,52,572.981,586.327,26.385,568,583,10,7,0.939,10.198,568,585,168.690,7.000,1.303,0.767,0.897,cell
35,58,361.966,594.552,27.556,358,590,8,9,0.960,10.817,359,599,56.310,8.000,1.381,0.724,0.928,cell
36,29,676.017,616.017,24.627,672,612,8,8,0.601,9.434,672,618,32.005,5.800,1.916,0.522,0.674,cell
37,26,1052.000,619.231,25.899,1046,618,12,3,0.487,12.166,1046,620,9.462,3.000,3.921,0.255,0.852,cell
38,76,1054.250,630.197,31.799,1049,625,10,10,0.944,12.207,1051,625,124.992,9.707,1.288,0.776,0.899,cell
39,28,874.821,652.643,22.385,871,649,7,7,0.702,8.062,871,654,29.745,6.261,1.305,0.767,0.778,cell
40,108,477.185,698.074,47.113,470,691,15,13,0.611,19.849,470,691,139.086,10.585,2.157,0.464,0.821,cell
41,43,812.360,701.616,24.385,808,698,8,8,0.909,8.602,809,704,35.538,7.778,1.149,0.870,0.860,cell
42,44,828.705,703.932,31.556,825,699,10,9,0.555,11.180,825,708,26.565,9.000,1.327,0.754,0.693,cell
43,64,894.062,704.375,29.456,889,699,10,10,0.927,11.402,890,700,127.875,7.778,1.449,0.690,0.877,cell
44,48,640.688,716.479,25.556,636,713,9,7,0.924,10.817,636,713,146.310,7.000,1.575,0.635,0.897,cell
45,50,576.040,731.620,27.556,572,727,8,9,0.827,11.402,572,727,127.875,7.603,1.750,0.571,0.847,cell
46,87,630.328,734.638,51.355,623,728,14,13,0.415,17.029,624,729,139.764,9.240,2.132,0.469,0.696,cell
47,81,1007.228,754.944,32.042,1002,750,11,10,0.991,12.083,1002,752,155.556,9.839,1.218,0.821,0.910,cell
48,48,488.833,760.083,25.556,484,757,9,7,0.924,9.487,484,759,161.565,7.000,1.273,0.785,0.897,cell
49,30,1108.567,770.333,21.556,1104,768,9,5,0.811,9.487,1104,769,161.565,4.608,2.331,0.429,0.833,cell
50,67,944.127,790.769,29.799,939,786,10,9,0.948,10.817,940,794,33.690,9.000,1.215,0.823,0.893,cell
51,71,490.303,808.923,36.627,484,804,12,10,0.665,14.213,484,814,39.289,8.944,1.702,0.588,0.793,cell
52,26,813.462,812.154,19.556,810,809,7,6,0.854,9.220,810,809,139.399,4.800,2.253,0.444,0.825,cell
53,35,632.043,847.100,20.971,628,844,8,6,1.000,8.544,628,848,20.556,6.000,1.390,0.720,0.875,cell
54,58,808.741,857.983,27.799,804,854,10,8,0.943,11.180,804,855,153.435,7.603,1.523,0.657,0.885,cell
55,30,456.533,883.700,23.314,452,882,10,4,0.694,10.440,452,885,16.699,4.000,2.700,0.370,0.882,cell
56,66,684.879,907.303,29.213,680,903,10,9,0.972,11.180,680,910,26.565,8.485,1.314,0.761,0.910,cell
57,160,922.900,943.731,50.627,915,937,16,14,0.784,21.260,915,937,138.814,13.140,1.598,0.626,0.889,cell
58,146,958.034,946.247,57.113,948,939,19,14,0.562,20.809,949,953,35.218,11.885,2.251,0.444,0.789,cell
59,669,1053.872,515.210,238.392,1031,488,45,47,0.148,57.385,1031,531,41.468,25.105,3.059,0.327,0.587,cluster
60,911,852.828,678.792,222.593,830,656,41,43,0.231,45.541,847,699,70.769,37.631,1.115,0.897,0.717,cluster
61,290,835.666,718.731,129.095,819,708,31,23,0.219,31.257,819,714,172.648,20.125,1.696,0.590,0.595,cluster
62,551,439.779,872.389,158.167,425,858,29,31,0.277,35.000,429,861,126.870,28.584,1.188,0.842,0.740,cluster
