 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,26,799.077,236.731,18.142,796,234,6,6,0.993,7.810,796,234,129.806,4.950,1.585,0.631,0.897
2,37,760.932,251.446,22.485,757,249,8,5,0.920,9.434,757,254,32.005,5.000,1.654,0.605,0.961
3,31,752.468,254.016,21.556,749,251,7,7,0.838,8.602,749,256,35.538,5.657,1.664,0.601,0.861
4,38,743.974,256.211,22.142,740,253,8,6,0.974,8.544,740,255,159.444,6.000,1.375,0.728,0.905
5,59,867.839,317.449,28.385,864,312,8,10,0.920,10.770,865,322,68.199,8.000,1.321,0.757,0.894
6,45,924.344,329.500,34.627,917,324,12,10,0.472,15.000,917,325,143.130,6.656,2.984,0.335,0.677
7,40,934.850,332.375,24.385,930,329,9,7,0.845,9.487,930,334,18.435,6.957,1.401,0.714,0.833
8,37,932.068,340.284,26.385,928,337,7,9,0.668,9.849,929,337,113.962,7.000,1.354,0.738,0.779
9,53,854.821,346.500,32.385,850,343,11,7,0.635,12.530,850,350,28.610,7.000,1.991,0.502,0.791
10,26,864.115,348.654,20.971,861,345,7,7,0.743,9.220,861,352,40.601,4.919,2.218,0.451,0.776
11,62,870.726,354.500,38.627,863,350,13,10,0.522,13.342,863,354,167.005,9.803,1.425,0.702,0.685
12,75,862.060,362.953,41.456,855,358,15,10,0.548,16.553,855,358,154.983,9.371,1.761,0.568,0.739
13,37,838.554,389.365,30.728,832,387,14,4,0.492,14.142,832,391,8.130,4.000,3.337,0.300,0.831
14,40,941.925,391.650,33.899,934,390,16,3,0.437,16.125,934,393,7.125,3.000,5.126,0.195,0.909
15,38,808.000,396.842,30.728,801,395,14,4,0.506,14.036,801,396,175.914,4.000,3.320,0.301,0.835
16,32,804.250,417.781,24.385,799,415,9,6,0.676,10.817,799,415,146.310,5.367,2.309,0.433,0.800
17,59,843.754,420.619,27.556,840,416,8,9,0.976,10.817,841,416,123.690,8.000,1.279,0.782,0.929
18,40,996.550,429.725,29.799,990,427,12,6,0.566,12.369,990,429,165.964,6.000,2.498,0.400,0.721
19,31,992.339,435.435,23.314,988,433,9,5,0.717,10.296,988,438,29.055,4.608,2.616,0.382,0.849
20,46,949.457,454.478,27.556,945,451,9,8,0.761,11.402,945,458,37.875,7.600,1.794,0.557,0.814
21,92,723.152,457.815,51.698,717,452,12,12,0.433,15.000,720,464,53.130,11.597,1.337,0.748,0.793
22,47,682.713,468.968,24.728,678,466,9,6,0.966,9.849,678,467,156.038,6.000,1.475,0.678,0.940
23,26,804.308,472.538,24.971,800,471,10,4,0.524,10.198,800,471,168.690,4.000,2.846,0.351,0.754
