Area,X,Y,Perim.,BX,BY,Width,Height
97,739.165,212.237,0,734,207,11,11
49,716.408,213.857,0,713,210,7,9
92,598.978,215.761,0,594,211,11,11
46,725.913,231.826,0,723,228,7,9
104,735.029,234.798,0,729,229,13,13
96,746.448,237.594,0,741,232,12,13
57,539.105,237.158,0,536,233,8,10
71,736.296,243.268,0,731,239,11,11
94,728.894,248.021,0,724,243,11,11
87,595.770,249.690,0,591,245,11,10
36,609.361,249.056,0,606,246,8,7
51,617.294,250.353,0,614,246,7,10
167,813.802,256.641,0,810,246,10,24
111,807.631,258.162,0,805,247,7,23
62,615.387,256.484,0,611,251,10,11
154,604.844,266.571,0,598,256,14,22
51,1058.510,261.216,0,1055,258,8,8
98,732.878,265.041,0,728,260,11,11
69,621.145,268.667,0,617,264,11,9
75,599.800,271.987,0,596,266,9,13
39,613.897,270.179,0,611,267,7,7
41,560.317,276.976,0,556,273,9,9
59,557.136,280.271,0,553,275,11,10
54,595.907,280.889,0,592,276,9,11
193,607.207,283.907,0,598,277,21,14
115,613.157,295.383,0,606,289,14,13
57,601.667,294.404,0,598,290,9,10
114,607.316,308.781,0,601,302,13,13
75,617.573,306.093,0,613,302,10,9
117,635.897,309.009,0,631,303,11,16
57,990.579,307.912,0,986,303,9,10
64,997.641,308.094,0,994,303,9,11
115,488.330,310.183,0,483,304,12,13
236,986.131,316.386,0,978,307,19,19
203,924.877,322.128,0,916,313,17,19
39,917.154,325.462,0,915,321,6,9
67,933.403,332.209,0,930,327,8,12
15,921.800,332.333,0,920,330,4,5
107,471.121,341.009,0,466,335,11,13
109,877.587,339.743,0,872,335,12,11
125,1060.720,349.272,0,1058,338,7,24
52,661.423,344.692,0,656,341,12,8
187,891.765,352.818,0,884,342,17,22
98,672.633,348.857,0,668,343,11,13
76,880.447,349.526,0,877,344,8,12
107,994.383,346.654,0,985,344,20,7
30,665.100,348.567,0,662,346,7,6
71,1034.901,350.901,0,1031,347,9,9
55,680.455,353.273,0,677,348,8,11
44,463.136,353.409,0,459,349,9,10
38,659.105,351.895,0,656,349,7,7
87,1075.046,354.218,0,1070,349,11,11
59,1066.492,355.780,0,1063,351,8,10
50,459.320,356.380,0,456,352,8,9
68,666.059,358.221,0,662,353,8,13
133,784.925,360.361,0,779,353,12,17
149,675.436,361.389,0,669,354,14,15
171,774.959,361.977,0,768,355,14,17
42,1053.571,358.881,0,1051,355,6,9
79,689.595,360.544,0,685,356,10,10
188,715.771,365.452,0,707,359,19,14
40,727.225,368.200,0,725,364,6,9
259,1050.305,374.598,0,1042,364,16,25
45,789.533,371.511,0,787,367,6,10
171,816.380,377.912,0,811,368,13,19
106,1024.792,372.566,0,1019,368,13,10
110,418.982,374.900,0,413,370,12,11
171,884.275,376.719,0,877,370,16,14
28,874.607,374.036,0,872,372,6,6
59,1039.458,377.542,0,1035,373,9,11
39,586.308,378.282,0,583,376,8,6
74,595.365,380.419,0,591,376,10,10
76,825.553,381.118,0,822,376,8,12
70,850.100,379.429,0,845,376,11,8
81,743.704,384.296,0,739,380,10,10
30,809.200,383.200,0,807,380,6,7
44,862.523,383.250,0,859,380,8,7
119,1045.571,386.664,0,1039,381,15,12
44,587.091,386.295,0,584,382,7,9
79,817.519,392.481,0,814,386,8,15
35,822.971,389.600,0,821,386,5,8
103,831.757,394.874,0,825,390,14,10
35,1050.914,392.971,0,1048,390,7,7
73,876.562,395.096,0,871,391,12,8
94,811.000,398.968,0,807,392,9,14
44,1043.750,395.409,0,1040,392,8,8
115,1067.539,401.765,0,1062,396,12,12
107,870.299,401.140,0,860,398,21,7
68,1050.912,403.529,0,1047,399,8,11
132,816.758,412.553,0,814,400,6,26
283,769.827,422.788,0,762,406,15,29
89,744.404,412.303,0,740,407,10,11
120,463.225,414.767,0,457,410,13,11
119,1038.773,415.555,0,1033,410,13,12
17,736.824,412.118,0,734,411,6,4
75,1090.320,416.400,0,1085,412,11,9
87,509.678,420.138,0,505,415,10,11
144,738.722,421.750,0,732,416,15,14
58,673.017,421.310,0,669,417,9,9
131,729.908,427.145,0,725,419,12,19
97,802.928,424.907,0,798,420,11,11
43,494.698,424.512,0,491,421,9,7
102,452.206,430.471,0,445,425,14,11
115,702.243,430.017,0,697,425,12,12
84,748.226,428.988,0,743,425,12,9
146,815.938,436.411,0,812,425,9,23
93,839.366,430.032,0,834,425,11,11
268,892.888,436.112,0,884,426,19,22
81,901.457,436.963,0,898,429,8,16
137,491.365,437.796,0,486,430,11,18
187,737.059,438.791,0,731,430,14,18
221,877.253,438.258,0,866,431,22,15
32,793.500,436.000,0,790,434,8,5
147,1055.660,448.497,0,1052,440,9,20
203,1089.921,447.892,0,1074,442,31,14
46,403.370,446.674,0,399,443,10,8
98,765.969,452.357,0,761,447,11,12
74,994.757,451.230,0,991,447,9,10
123,815.813,455.951,0,812,448,9,17
47,402.489,451.553,0,398,449,10,6
208,1102.683,464.207,0,1096,453,13,25
