Area,X,Y,Perim.,BX,BY,Width,Height
255,672.647,165.812,0,670,144,7,44
105,617.886,167.990,0,612,163,12,11
116,682.655,173.500,0,677,168,12,12
75,906.853,174.787,0,904,168,7,14
131,641.023,183.031,0,635,177,13,13
104,798.971,182.577,0,794,177,11,12
114,749.360,184.061,0,744,179,12,11
120,908.883,185.600,0,903,180,13,13
83,731.265,185.386,0,727,181,10,10
102,825.608,190.431,0,821,185,11,12
133,705.827,201.902,0,699,196,14,13
86,700.547,212.267,0,696,208,10,11
94,704.904,221.755,0,700,217,11,11
69,607.870,227.246,0,603,224,11,8
94,599.713,233.883,0,594,226,12,19
109,815.817,232.073,0,811,226,11,13
112,861.884,230.902,0,856,226,13,11
96,924.104,232.552,0,919,228,11,11
87,958.034,234.299,0,953,229,11,11
62,617.839,234.710,0,611,231,14,8
85,573.918,238.953,0,569,234,11,11
106,885.283,245.623,0,880,240,12,12
116,721.828,246.836,0,716,242,13,11
123,708.366,248.959,0,700,244,17,10
87,571.575,264.655,0,567,260,11,10
83,701.181,266.494,0,696,262,11,10
106,542.528,276.689,0,537,272,12,11
100,717.980,276.950,0,713,272,11,11
94,607.298,279.277,0,602,274,11,11
117,861.547,282.188,0,855,277,14,12
116,869.457,290.078,0,864,284,12,12
56,841.018,288.571,0,836,285,11,8
98,592.643,291.531,0,588,286,10,12
55,605.109,290.364,0,600,287,11,8
36,985.944,295.944,0,984,292,5,9
44,604.023,295.841,0,600,293,9,6
180,727.678,299.839,0,719,294,18,13
79,585.873,300.608,0,581,296,11,10
38,834.184,299.632,0,831,296,7,8
102,596.010,302.833,0,592,297,9,14
135,866.733,303.704,0,861,298,12,13
138,891.681,308.145,0,886,300,12,18
37,833.865,306.703,0,831,304,7,7
80,602.362,309.887,0,597,305,11,10
65,723.615,308.477,0,719,305,10,8
58,859.172,309.431,0,856,305,8,9
52,724.423,315.308,0,721,312,9,9
75,861.427,315.867,0,855,313,15,7
76,846.500,322.342,0,842,318,10,10
128,1000.625,327.672,0,994,322,14,12
31,720.742,326.613,0,718,324,7,6
72,1084.861,336.681,0,1080,332,10,10
96,837.802,342.458,0,833,337,11,12
76,846.803,351.211,0,842,346,10,11
120,836.642,354.533,0,831,349,13,12
107,473.355,354.411,0,467,350,13,10
155,796.606,368.187,0,791,361,14,15
104,1013.654,366.548,0,1008,362,13,12
65,784.092,372.031,0,780,368,9,9
