 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,73,683.048,173.952,30.627,678,169,10,10,0.978,10.817,678,176,33.690,9.839,1.095,0.913,0.896,cell
2,97,641.325,183.593,35.213,636,178,11,11,0.983,12.530,638,189,61.390,11.000,1.057,0.946,0.933,cell
3,59,798.822,183.042,35.213,795,178,8,10,0.598,11.180,797,188,63.435,8.000,1.376,0.727,0.797,cell
4,77,749.721,184.630,31.213,744,180,11,9,0.993,11.402,744,184,164.745,9.000,1.170,0.855,0.928,cell
5,57,731.465,185.886,26.971,727,182,9,8,0.985,9.487,727,184,161.565,8.000,1.089,0.918,0.912,cell
6,54,826.204,190.407,41.456,822,186,9,9,0.395,10.817,824,186,123.690,9.000,1.025,0.976,0.730,cell
7,85,816.265,232.688,32.627,811,227,10,11,1.000,12.083,814,227,114.444,10.000,1.155,0.866,0.919,cell
8,74,862.446,231.432,31.213,857,227,11,9,0.954,11.180,857,230,169.695,9.000,1.129,0.886,0.908,cell
9,67,924.306,233.097,29.799,919,229,10,9,0.948,10.630,921,229,131.186,9.000,1.152,0.868,0.905,cell
10,39,957.192,233.449,31.799,953,230,9,8,0.485,10.630,954,238,41.186,7.374,1.741,0.574,0.672,cell
11,37,574.041,240.095,36.870,570,235,9,9,0.342,10.000,572,235,126.870,8.485,1.220,0.820,0.578,cell
12,70,721.900,247.043,43.113,717,242,11,10,0.473,12.083,717,250,24.444,10.000,1.162,0.861,0.778,cell
13,69,885.775,246.196,29.799,881,242,10,9,0.976,11.180,881,249,26.565,9.000,1.192,0.839,0.920,cell
14,57,572.132,265.307,26.385,568,261,9,8,1.000,9.849,568,263,156.038,8.000,1.115,0.897,0.919,cell
15,50,701.140,267.000,24.971,697,263,8,8,1.000,8.944,699,263,116.565,8.000,1.053,0.949,0.909,cell
16,76,542.947,277.092,31.213,538,272,10,10,0.980,11.402,538,280,37.875,9.803,1.142,0.876,0.905,cell
17,74,718.338,277.446,31.213,713,273,11,9,0.954,11.402,714,281,37.875,9.000,1.169,0.855,0.897,cell
18,60,607.717,279.750,28.042,603,275,9,10,0.959,10.198,606,275,101.310,8.485,1.094,0.914,0.889,cell
19,64,516.969,283.016,50.184,511,279,14,10,0.319,15.264,512,287,31.608,9.192,1.701,0.588,0.656,cell
20,133,996.169,297.086,58.770,990,286,13,19,0.484,19.647,992,305,75.256,12.805,1.517,0.659,0.758,cell
21,25,986.340,296.540,21.314,984,293,5,8,0.692,9.434,984,301,57.995,4.511,2.529,0.395,0.806,cell
22,27,996.130,308.870,25.799,991,306,10,5,0.510,10.050,991,308,174.289,4.932,2.313,0.432,0.675,cell
23,74,826.946,315.662,45.113,821,308,11,16,0.457,16.763,821,324,72.646,9.043,1.917,0.522,0.679,cell
24,51,1020.324,315.245,36.870,1016,309,8,11,0.471,11.402,1018,309,105.255,8.000,1.408,0.710,0.699,cell
25,76,1000.737,327.947,32.142,995,324,11,8,0.924,11.705,995,329,19.983,8.000,1.279,0.782,0.938,cell
26,40,1084.250,337.350,34.042,1081,333,8,9,0.434,10.817,1082,333,123.690,8.000,1.490,0.671,0.656,cell
27,73,838.349,342.829,30.385,834,338,9,10,0.994,10.817,835,347,56.310,9.000,1.101,0.908,0.930,cell
28,152,840.757,353.513,55.598,831,347,20,13,0.618,21.541,831,357,21.801,10.864,2.401,0.417,0.815,cell
29,49,475.378,355.276,25.556,472,351,7,8,0.943,9.434,473,351,122.005,7.000,1.137,0.879,0.933,cell
30,66,797.182,367.788,31.799,793,363,9,11,0.820,11.705,795,363,109.983,9.000,1.262,0.792,0.835,cell
31,117,1015.979,371.269,55.941,1009,363,14,15,0.470,16.401,1011,364,127.569,11.625,1.569,0.637,0.745,cell
32,40,990.100,379.625,27.556,987,374,7,10,0.662,10.770,989,374,111.801,6.708,1.839,0.544,0.741,cell
33,73,1010.226,431.459,31.213,1006,426,9,11,0.942,12.042,1006,427,131.634,9.000,1.258,0.795,0.901,cell
34,62,374.468,454.887,28.627,370,450,9,10,0.951,10.440,373,450,106.699,8.944,1.116,0.896,0.879,cell
35,133,1026.643,471.462,44.971,1018,467,17,9,0.826,17.720,1018,474,16.390,9.000,1.883,0.531,0.947,cell
36,92,995.054,484.065,40.042,989,477,12,12,0.721,16.279,989,477,132.510,9.839,1.520,0.658,0.848,cell
37,86,1074.279,490.709,34.042,1069,485,11,11,0.933,12.207,1070,486,145.008,10.286,1.164,0.859,0.891,cell
38,96,936.802,498.594,36.042,932,493,11,12,0.929,13.038,932,503,32.471,11.000,1.174,0.852,0.906,cell
39,134,953.515,506.291,46.527,946,499,15,15,0.778,19.209,947,499,128.660,9.899,2.161,0.463,0.867,cell
40,79,987.158,509.842,32.385,982,505,10,10,0.947,11.402,984,505,127.875,10.000,1.072,0.933,0.913,cell
41,72,915.250,516.931,30.971,910,513,11,8,0.943,11.705,910,514,160.017,8.000,1.354,0.738,0.929,cell
42,60,363.967,538.233,28.142,360,534,8,9,0.952,10.296,362,543,60.945,8.000,1.089,0.918,0.923,cell
43,32,341.844,541.344,26.971,339,538,7,7,0.553,8.602,339,544,35.538,7.000,1.336,0.749,0.719,cell
44,74,993.527,578.095,30.385,989,573,9,10,1.000,10.817,989,581,33.690,9.000,1.080,0.926,0.925,cell
45,66,1094.621,584.985,29.213,1090,580,9,10,0.972,10.630,1091,589,41.186,9.000,1.146,0.872,0.892,cell
46,79,1004.715,588.108,32.627,999,583,11,10,0.933,12.207,1000,592,34.992,9.487,1.281,0.781,0.888,cell
47,80,1033.050,589.650,32.627,1028,584,10,11,0.944,12.806,1030,584,128.660,9.192,1.411,0.709,0.904,cell
48,46,1137.913,604.196,30.385,1134,600,9,9,0.626,10.817,1136,609,56.310,7.603,1.607,0.622,0.724,cell
49,71,1042.655,608.585,30.385,1038,604,9,10,0.966,11.180,1041,614,63.435,9.000,1.169,0.855,0.922,cell
50,27,1062.685,632.833,18.142,1060,630,6,6,1.000,7.211,1060,635,33.690,6.000,1.135,0.881,0.871,cell
51,57,930.325,635.939,26.971,926,632,9,8,0.985,9.487,926,634,161.565,8.000,1.085,0.921,0.912,cell
52,60,1009.000,649.150,28.627,1004,645,10,9,0.920,10.198,1004,650,11.310,8.485,1.144,0.874,0.876,cell
53,65,516.792,651.731,49.113,512,646,10,12,0.339,13.416,514,658,63.435,9.370,1.454,0.688,0.695,cell
54,64,1102.453,654.516,36.042,1098,650,10,10,0.619,11.662,1098,658,30.964,9.058,1.426,0.701,0.785,cell
55,41,473.866,655.573,31.456,470,652,9,8,0.521,9.487,470,654,161.565,8.000,1.217,0.822,0.726,cell
56,56,581.893,656.946,26.385,578,652,8,9,1.000,9.849,579,661,66.038,8.000,1.111,0.900,0.926,cell
57,27,483.685,657.870,23.799,481,654,6,8,0.599,8.544,483,662,69.444,5.754,1.720,0.581,0.684,cell
58,63,564.976,662.437,29.213,560,658,10,9,0.928,10.630,561,659,138.814,8.944,1.163,0.860,0.869,cell
59,51,929.049,667.853,34.870,925,663,9,9,0.527,10.000,925,670,36.870,9.000,1.136,0.880,0.745,cell
60,55,634.427,669.227,27.213,630,665,9,9,0.933,9.849,632,665,113.962,8.485,1.121,0.892,0.873,cell
61,44,1067.614,670.432,41.698,1064,666,9,9,0.318,10.296,1064,667,150.945,8.485,1.121,0.892,0.677,cell
62,53,394.651,672.406,28.627,390,667,9,10,0.813,12.207,391,667,124.992,7.071,2.045,0.489,0.855,cell
63,69,418.297,672.587,29.556,414,668,9,9,0.993,10.817,414,669,146.310,9.000,1.048,0.954,0.932,cell
64,68,494.309,672.868,29.213,490,668,9,10,1.000,10.770,492,668,111.801,9.000,1.152,0.868,0.919,cell
65,69,1083.355,673.181,29.799,1079,668,9,10,0.976,10.770,1081,678,68.199,9.000,1.130,0.885,0.914,cell
66,125,578.260,677.396,46.527,572,669,13,16,0.726,17.804,573,670,128.157,10.733,1.941,0.515,0.839,cell
67,69,627.616,679.123,29.799,623,674,9,10,0.976,11.180,625,684,63.435,9.000,1.249,0.800,0.914,cell
68,69,1042.297,691.790,38.042,1035,686,13,11,0.599,13.928,1035,695,21.038,9.765,1.477,0.677,0.715,cell
69,67,618.918,694.649,29.213,614,690,10,9,0.987,10.817,614,697,33.690,9.000,1.175,0.851,0.899,cell
70,67,595.440,704.321,29.799,590,700,10,9,0.948,11.402,591,701,142.125,8.944,1.274,0.785,0.899,cell
71,65,1031.500,704.746,38.284,1027,700,9,10,0.557,11.180,1029,700,116.565,9.000,1.203,0.831,0.818,cell
72,45,373.011,707.189,31.799,370,702,7,10,0.559,11.180,371,712,63.435,7.000,1.649,0.606,0.750,cell
73,55,905.282,711.027,26.142,901,707,8,8,1.000,9.434,903,707,122.005,8.000,1.038,0.963,0.940,cell
74,53,1100.689,715.575,34.627,1097,711,9,10,0.555,10.817,1097,719,33.690,8.944,1.369,0.730,0.721,cell
75,60,658.650,717.167,27.799,654,713,10,8,0.976,10.440,654,715,163.301,8.000,1.216,0.822,0.896,cell
76,71,609.556,721.979,29.799,605,717,9,10,1.000,11.180,607,717,116.565,9.000,1.214,0.824,0.928,cell
77,32,1078.031,726.281,24.627,1074,723,9,7,0.663,10.296,1074,729,29.055,5.659,2.066,0.484,0.727,cell
78,41,917.427,730.817,22.971,913,727,8,7,0.976,8.544,913,730,159.444,7.000,1.108,0.903,0.891,cell
79,58,447.931,734.259,31.556,445,728,6,12,0.732,13.416,445,740,63.435,6.000,2.031,0.492,0.899,cell
80,29,492.983,736.155,23.213,489,733,8,7,0.676,8.602,490,733,125.538,6.668,1.573,0.636,0.707,cell
81,75,609.740,744.127,30.627,605,739,10,10,1.000,11.402,607,739,127.875,9.192,1.200,0.834,0.915,cell
82,63,506.690,753.341,27.799,502,749,9,9,1.000,10.296,504,749,119.055,8.944,1.144,0.874,0.913,cell
83,73,645.363,759.664,31.213,640,755,11,9,0.942,11.180,640,761,10.305,9.000,1.138,0.878,0.901,cell
84,48,619.375,764.125,37.213,615,760,9,8,0.436,9.899,616,761,135.000,8.000,1.046,0.956,0.762,cell
85,27,1061.389,782.500,20.385,1058,779,7,7,0.817,8.485,1059,786,45.000,5.400,1.717,0.582,0.761,cell
86,28,998.821,789.643,30.627,996,783,6,11,0.375,11.705,997,794,70.017,5.706,2.334,0.428,0.571,cell
87,82,963.671,789.671,33.213,959,784,9,12,0.934,12.369,962,784,104.036,9.000,1.292,0.774,0.911,cell
88,57,513.833,791.939,26.728,510,788,8,8,1.000,10.000,511,796,53.130,8.000,1.039,0.963,0.950,cell
89,59,931.297,806.364,47.355,926,801,12,10,0.331,12.530,927,810,28.610,9.656,1.225,0.816,0.670,cell
90,80,980.987,808.888,31.799,976,804,10,10,0.994,11.662,976,806,149.036,9.899,1.139,0.878,0.930,cell
91,72,611.431,827.889,29.799,607,823,9,10,1.000,10.817,607,831,33.690,9.000,1.096,0.913,0.923,cell
92,49,1006.684,833.071,24.971,1003,829,8,8,0.988,9.434,1004,837,57.995,7.778,1.185,0.844,0.907,cell
93,71,910.472,840.993,30.870,905,836,11,10,0.936,11.402,905,843,15.255,9.192,1.123,0.890,0.871,cell
94,71,848.866,865.613,29.799,844,861,10,9,1.000,11.180,844,863,153.435,9.000,1.188,0.841,0.916,cell
95,51,541.127,881.598,40.042,537,877,9,9,0.400,10.296,539,877,119.055,8.944,1.011,0.989,0.739,cell
96,94,829.489,887.926,34.385,824,883,11,10,0.999,13.038,824,884,147.529,10.000,1.162,0.861,0.945,cell
97,65,795.715,903.454,28.971,791,899,9,9,0.973,10.296,793,899,119.055,9.000,1.047,0.955,0.915,cell
98,62,768.435,923.242,27.799,764,919,9,9,1.000,9.849,766,919,113.962,9.000,1.026,0.974,0.919,cell
99,329,703.688,209.229,104.468,694,197,18,29,0.379,30.676,698,197,109.026,17.313,1.746,0.573,0.771,cluster
100,728,610.806,247.213,236.735,593,225,37,41,0.163,46.690,595,227,136.736,35.751,1.460,0.685,0.612,cluster
101,769,858.802,300.332,238.108,839,278,36,45,0.170,47.760,851,323,70.427,31.891,1.732,0.577,0.685,cluster
102,644,596.227,308.034,164.409,582,287,29,40,0.299,42.720,590,287,110.556,27.290,1.559,0.641,0.727,cluster
103,581,717.775,310.364,162.309,702,295,35,33,0.277,40.361,707,326,48.013,27.390,1.794,0.557,0.712,cluster
104,324,1139.778,547.160,184.811,1132,510,13,79,0.119,79.025,1140,589,88.550,12.508,7.818,0.128,0.516,cluster
105,1032,493.753,715.707,312.333,464,697,54,38,0.133,54.037,464,715,177.879,35.520,1.706,0.586,0.699,cluster
106,274,437.237,762.602,158.669,433,738,17,62,0.137,62.201,433,800,85.389,17.000,5.667,0.176,0.440,cluster
107,350,667.406,893.151,189.213,664,848,6,91,0.123,91.088,665,939,87.483,5.271,22.304,0.045,0.819,cluster
