 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,62,682.806,173.887,43.941,678,169,10,10,0.404,10.817,678,176,33.690,9.839,1.128,0.886,0.761
2,80,908.475,178.213,45.213,905,169,10,16,0.492,17.000,907,169,118.072,9.499,2.141,0.467,0.714
3,89,641.118,183.601,47.113,636,178,11,11,0.504,12.530,638,189,61.390,11.000,1.100,0.909,0.856
4,59,798.822,183.042,35.213,795,178,8,10,0.598,11.180,797,188,63.435,8.000,1.376,0.727,0.797
5,66,749.712,184.818,43.941,744,180,11,9,0.430,11.402,744,184,164.745,9.000,1.216,0.823,0.795
6,52,731.269,185.923,35.213,727,182,9,8,0.527,9.487,727,184,161.565,8.000,1.025,0.976,0.832
7,103,907.976,191.879,56.284,903,184,12,19,0.409,20.248,904,202,57.095,11.885,2.041,0.490,0.617
8,38,825.053,189.579,27.556,822,186,8,9,0.629,10.817,823,195,56.310,6.786,1.911,0.523,0.704
9,91,702.423,218.159,56.426,694,210,16,16,0.359,20.616,695,210,129.094,10.262,2.835,0.353,0.639
10,28,708.679,213.286,18.728,706,210,5,7,1.000,7.616,707,210,113.199,5.000,1.451,0.689,0.903
11,95,612.479,231.889,62.184,602,225,24,13,0.309,26.833,602,226,153.435,7.507,4.876,0.205,0.646
12,130,601.662,239.715,67.598,595,226,12,26,0.358,27.857,596,226,111.038,10.127,3.551,0.282,0.639
13,73,816.308,232.870,49.698,811,227,10,11,0.371,12.083,814,227,114.444,10.000,1.096,0.912,0.789
14,59,862.754,231.297,45.113,857,227,11,9,0.364,11.180,857,230,169.695,9.000,1.123,0.891,0.728
15,53,924.066,233.292,43.113,919,229,10,9,0.358,10.630,921,229,131.186,9.000,1.215,0.823,0.716
16,39,957.192,233.449,31.799,953,230,9,8,0.485,10.630,954,238,41.186,7.374,1.741,0.574,0.672
17,78,611.846,240.859,37.799,607,234,10,13,0.686,15.000,608,234,126.870,9.470,1.558,0.642,0.796
18,37,574.041,240.095,36.870,570,235,9,9,0.342,10.000,572,235,126.870,8.485,1.220,0.820,0.578
19,70,721.900,247.043,43.113,717,242,11,10,0.473,12.083,717,250,24.444,10.000,1.162,0.861,0.778
20,40,884.150,246.900,26.385,881,242,7,9,0.722,9.849,883,242,113.962,6.957,1.586,0.630,0.777
21,92,621.728,251.522,43.698,614,247,16,10,0.605,17.088,614,248,159.444,9.864,1.722,0.581,0.770
22,77,600.760,255.240,52.770,593,249,15,13,0.347,18.028,593,250,146.310,10.915,1.985,0.504,0.618
23,114,615.193,259.693,57.841,608,252,16,14,0.428,16.401,610,254,142.431,12.885,1.476,0.677,0.733
24,50,572.120,265.500,34.627,568,261,9,8,0.524,9.849,568,263,156.038,8.000,1.188,0.842,0.813
25,36,700.694,266.917,35.456,697,263,8,8,0.360,8.944,699,263,116.565,8.000,1.169,0.856,0.661
26,67,542.739,277.082,42.870,538,272,10,10,0.458,11.402,538,280,37.875,9.803,1.137,0.880,0.798
27,74,718.338,277.446,31.213,713,273,11,9,0.954,11.402,714,281,37.875,9.000,1.169,0.855,0.897
28,49,607.500,279.786,39.941,603,275,9,10,0.386,10.198,606,275,101.310,8.485,1.154,0.867,0.726
29,102,863.235,283.284,56.770,854,278,18,11,0.398,18.248,854,284,170.538,10.590,1.676,0.597,0.726
30,35,519.557,281.443,27.213,515,279,10,7,0.594,10.440,515,282,16.699,7.000,1.654,0.605,0.714
31,27,513.796,285.204,24.971,511,280,7,9,0.544,9.849,513,280,113.962,5.209,2.385,0.419,0.651
32,70,858.157,291.800,42.284,853,286,10,11,0.492,11.402,858,286,105.255,9.899,1.126,0.888,0.800
33,66,592.970,292.076,38.627,589,287,9,10,0.556,11.662,590,287,120.964,9.000,1.277,0.783,0.841
34,38,866.947,292.842,22.385,863,289,8,7,0.953,8.944,863,291,153.435,7.000,1.296,0.771,0.854
35,25,986.340,296.540,21.314,984,293,5,8,0.692,9.434,984,301,57.995,4.511,2.529,0.395,0.806
36,105,996.186,298.671,47.113,990,293,13,12,0.594,14.422,992,305,56.310,11.700,1.301,0.769,0.840
37,26,604.115,296.577,19.556,600,294,8,5,0.854,8.544,600,295,159.444,4.919,1.916,0.522,0.852
38,134,728.216,300.507,65.598,719,295,18,11,0.391,18.974,719,298,161.565,10.381,1.889,0.529,0.827
