Area,X,Y,Perim.,BX,BY,Width,Height
40,1275.925,113.925,0,1273,110,7,9
86,180.767,123.256,0,176,119,12,9
100,91.110,129.410,0,87,123,10,13
99,176.515,134.717,0,172,129,11,12
92,91.087,181.098,0,87,176,10,11
33,1316.424,212.242,0,1314,209,6,7
478,837.048,234.364,0,822,224,30,21
20,815.850,310.700,0,814,308,5,6
60,124.100,316.267,0,120,312,9,9
83,659.386,335.892,0,654,332,12,9
235,875.174,379.515,0,868,369,15,22
115,649.939,390.478,0,644,384,12,15
226,1072.124,432.212,0,1068,419,11,28
358,865.464,442.913,0,842,434,45,21
73,544.014,440.712,0,537,438,15,6
59,542.322,445.797,0,536,444,14,5
123,378.821,459.561,0,372,453,14,16
87,1405.080,461.851,0,1400,458,11,9
97,851.495,473.485,0,846,469,12,10
41,1070.780,473.829,0,1066,472,10,5
107,389.579,479.093,0,384,473,11,13
62,963.629,478.403,0,959,475,10,8
96,457.510,486.073,0,452,482,12,11
286,1091.692,493.647,0,1083,485,20,22
72,1416.444,497.278,0,1411,493,11,10
294,743.173,550.891,0,735,541,17,21
148,173.845,551.493,0,167,545,14,14
102,556.745,550.902,0,551,545,12,13
178,989.376,554.815,0,983,547,14,16
97,77.041,575.155,0,73,569,9,14
170,1067.676,589.894,0,1061,582,15,16
100,1138.630,602.760,0,1132,598,14,10
153,80.843,607.150,0,75,600,13,15
149,730.302,611.866,0,725,604,12,17
135,675.415,625.533,0,670,619,11,15
110,405.036,625.082,0,400,620,11,12
52,567.096,649.135,0,564,645,7,9
90,1064.011,669.778,0,1059,665,11,11
118,753.407,683.203,0,748,676,11,16
304,894.970,696.355,0,886,687,19,20
122,753.434,699.566,0,748,693,11,15
241,1118.992,703.921,0,1110,696,20,16
143,1123.315,713.727,0,1113,706,20,14
65,454.246,715.985,0,450,712,10,10
143,1030.063,731.965,0,1024,726,13,14
33,227.818,764.000,0,225,761,7,7
69,778.174,770.667,0,774,766,9,10
53,520.321,774.698,0,517,771,8,9
186,373.747,782.855,0,369,773,11,23
60,730.550,778.717,0,726,775,10,8
321,688.215,820.156,0,681,807,18,30
56,545.000,817.929,0,541,814,9,9
181,493.878,900.956,0,487,890,17,20
40,1293.300,907.225,0,1290,904,7,7
148,939.561,920.541,0,934,912,13,19
35,347.600,924.000,0,345,921,6,7
63,1250.587,927.381,0,1247,922,8,11
139,262.604,931.266,0,257,924,12,15
56,262.839,955.071,0,259,952,9,7
106,260.575,998.802,0,254,993,13,14
117,681.111,1050.248,0,675,1045,13,11
