 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,57,746.939,228.886,26.385,743,224,8,9,1.000,10.000,744,233,53.130,8.000,1.142,0.876,0.919,cell
2,37,577.041,258.959,26.627,574,254,7,10,0.656,10.198,577,264,78.690,6.325,1.844,0.542,0.725,cell
3,129,669.686,271.647,47.698,662,266,17,11,0.713,18.788,662,268,154.799,10.502,1.976,0.506,0.857,cell
4,182,660.857,282.555,73.598,650,274,22,18,0.422,25.807,650,274,144.462,13.720,2.162,0.463,0.707,cell
5,31,681.242,281.468,20.728,678,278,7,6,0.907,8.062,678,284,29.745,6.000,1.319,0.758,0.886,cell
6,34,661.647,295.941,24.971,659,291,7,8,0.685,9.899,659,291,135.000,6.934,1.355,0.738,0.840,cell
7,41,568.500,317.695,24.385,564,314,9,7,0.866,10.000,565,314,143.130,6.002,1.831,0.546,0.845,cell
8,33,769.712,339.773,27.314,764,338,12,4,0.556,12.369,764,341,14.036,4.000,3.722,0.269,0.846,cell
9,62,917.000,345.306,33.799,913,339,8,13,0.682,13.928,914,339,111.038,6.499,2.501,0.400,0.816,cell
10,72,759.458,349.639,44.042,751,345,17,10,0.466,19.235,751,345,152.103,7.070,3.132,0.319,0.731,cell
11,45,781.011,368.878,26.971,776,366,11,6,0.777,11.402,776,371,15.255,6.000,2.050,0.488,0.841,cell
12,68,877.500,380.000,29.799,873,375,9,10,0.962,11.180,875,385,63.435,8.944,1.258,0.795,0.907,cell
13,39,641.038,384.064,25.799,637,380,8,8,0.736,10.000,639,380,126.870,7.071,1.626,0.615,0.804,cell
14,48,750.938,386.583,37.456,745,380,13,11,0.430,16.401,745,380,142.431,5.882,3.712,0.269,0.627,cell
15,36,438.583,388.278,21.556,435,385,7,7,0.974,8.602,436,385,125.538,6.364,1.417,0.706,0.889,cell
16,160,645.112,401.425,77.740,636,390,21,18,0.333,24.839,638,391,139.899,15.108,1.627,0.615,0.653,cell
17,93,1053.661,397.016,34.627,1049,391,10,12,0.975,13.000,1051,403,67.380,10.000,1.242,0.805,0.930,cell
18,58,964.397,397.690,28.385,960,393,9,9,0.905,10.817,961,402,56.310,8.485,1.282,0.780,0.879,cell
19,29,642.845,416.362,18.728,640,413,6,6,1.000,7.211,641,413,123.690,6.000,1.037,0.964,0.906,cell
20,44,900.159,420.659,24.728,896,418,9,6,0.904,10.296,896,423,29.055,6.000,1.645,0.608,0.926,cell
21,48,555.604,443.646,26.971,551,439,9,8,0.829,10.296,551,446,29.055,7.155,1.547,0.646,0.850,cell
22,56,789.429,460.875,26.971,786,456,7,10,0.967,10.440,788,466,73.301,7.000,1.364,0.733,0.918,cell
