Area,X,Y,Perim.,BX,BY,Width,Height
129,671.178,63.419,0,664,58,14,13
65,683.292,71.369,0,679,67,10,9
115,667.522,138.383,0,659,135,18,8
117,868.880,146.846,0,864,141,11,14
129,673.171,150.403,0,669,142,9,21
106,838.368,147.415,0,833,142,12,11
47,728.660,154.681,0,727,149,5,13
243,721.288,162.251,0,714,152,15,22
105,822.419,157.362,0,817,152,12,12
34,714.088,159.118,0,712,155,5,9
56,718.357,174.607,0,713,172,12,6
81,595.852,196.012,0,591,192,11,9
50,719.920,199.520,0,715,196,10,7
86,676.756,205.500,0,672,201,11,10
127,829.772,222.197,0,824,216,13,13
57,677.404,223.263,0,673,220,10,8
106,707.132,228.538,0,702,223,11,12
71,570.873,241.958,0,567,237,9,11
115,526.878,267.887,0,521,262,12,12
95,641.874,266.389,0,637,262,11,10
83,698.687,267.096,0,694,263,11,9
188,655.202,273.335,0,648,264,15,18
49,800.000,266.878,0,796,264,9,7
114,737.482,277.018,0,732,271,13,14
98,622.041,278.255,0,617,273,11,11
215,491.516,284.712,0,484,277,17,16
88,745.466,283.727,0,740,279,12,10
205,666.678,289.576,0,659,282,16,16
76,422.987,289.763,0,418,285,10,10
108,520.889,290.852,0,516,285,11,13
69,641.783,291.565,0,638,287,9,10
66,695.652,291.333,0,691,287,10,9
127,771.866,293.378,0,765,288,14,12
85,733.506,293.765,0,729,289,10,11
93,974.409,301.344,0,969,296,11,12
125,736.888,306.712,0,732,299,12,16
89,320.292,305.730,0,316,301,10,11
61,674.164,310.525,0,670,307,9,8
61,643.426,313.098,0,640,309,8,10
77,663.766,315.468,0,659,311,10,10
54,739.907,315.759,0,736,312,8,9
81,446.123,317.815,0,441,314,11,9
80,496.038,319.863,0,491,316,11,9
109,734.358,323.936,0,728,318,14,12
85,647.882,325.247,0,644,320,9,12
104,882.654,327.356,0,877,323,12,10
119,861.580,332.563,0,857,325,10,17
158,707.759,335.968,0,701,329,14,15
63,647.587,337.381,0,644,331,8,12
73,398.726,337.438,0,394,333,11,9
63,885.429,336.317,0,881,333,11,7
35,514.229,339.400,0,511,336,7,7
91,341.363,341.703,0,336,337,12,10
273,969.062,343.066,0,949,340,44,8
83,619.747,355.675,0,615,351,11,10
166,845.259,359.639,0,838,351,16,18
74,554.459,359.243,0,550,355,10,10
157,380.586,369.293,0,371,361,18,16
107,810.626,368.393,0,805,363,13,11
83,355.542,368.313,0,351,364,11,10
104,389.394,373.702,0,384,366,11,14
89,657.101,383.899,0,652,379,12,10
103,612.447,387.476,0,607,383,12,10
137,971.321,389.934,0,965,384,14,13
96,819.062,396.365,0,814,391,11,12
85,781.106,398.212,0,777,393,9,12
79,737.582,403.633,0,733,399,10,10
250,855.824,406.500,0,845,399,20,19
95,868.158,403.842,0,863,399,11,11
77,453.325,407.740,0,449,401,8,14
52,486.173,408.058,0,483,404,8,9
112,445.366,411.134,0,440,405,13,13
45,993.711,408.000,0,989,405,10,6
42,441.833,418.238,0,438,415,8,8
195,495.128,425.995,0,489,418,13,18
91,751.505,426.066,0,747,421,10,12
139,423.698,430.712,0,417,425,14,12
44,657.659,429.841,0,654,426,8,8
85,579.553,433.682,0,575,429,10,10
110,790.500,434.673,0,786,429,10,13
155,835.026,438.884,0,828,432,15,14
90,691.422,439.367,0,687,434,10,11
81,409.333,444.420,0,404,440,11,10
404,643.183,466.255,0,632,455,23,24
86,488.791,464.535,0,484,459,10,12
81,678.395,466.593,0,674,462,10,11
93,387.398,469.312,0,383,464,10,12
80,657.050,473.087,0,653,468,10,12
117,664.530,477.821,0,658,472,13,13
91,833.033,478.791,0,829,473,9,13
102,334.569,478.333,0,329,474,12,10
73,906.986,488.110,0,903,483,10,12
64,733.641,492.219,0,730,488,8,10
236,896.428,501.233,0,888,492,17,19
54,864.648,497.241,0,861,493,8,9
110,918.909,503.209,0,913,495,12,15
82,613.463,501.146,0,609,497,10,10
115,908.974,509.574,0,903,504,13,12
87,428.494,512.690,0,423,506,12,14
52,724.865,512.038,0,721,509,9,8
79,691.835,514.835,0,687,510,10,11
146,904.644,520.582,0,899,514,13,15
108,466.815,520.407,0,460,516,16,9
76,871.539,521.908,0,867,518,10,9
95,350.358,530.979,0,344,526,13,11
81,714.679,534.222,0,710,530,10,10
77,885.662,537.506,0,883,530,7,16
128,893.242,536.031,0,888,530,13,14
139,679.892,538.281,0,673,531,14,15
138,803.174,539.196,0,797,532,13,16
50,976.420,535.280,0,973,532,8,8
78,615.141,538.154,0,611,533,9,11
96,346.354,540.010,0,341,535,12,12
54,353.537,543.241,0,351,539,7,10
172,645.413,548.407,0,623,546,45,6
258,770.244,560.298,0,761,553,23,20
168,367.256,560.018,0,359,555,20,13
74,348.595,559.973,0,344,556,10,9
67,537.045,563.299,0,533,559,9,9
135,778.452,572.719,0,773,565,12,16
79,416.380,572.253,0,411,568,12,9
36,852.889,571.833,0,849,568,9,8
155,763.032,580.832,0,756,573,16,16
85,830.106,580.859,0,825,576,11,10
72,434.611,584.056,0,431,578,8,13
95,743.421,584.832,0,738,580,12,11
136,897.787,596.331,0,893,589,11,16
82,740.512,594.939,0,736,590,10,11
87,815.517,595.920,0,811,591,10,11
288,389.872,606.299,0,381,595,17,24
47,903.596,601.489,0,900,596,7,11
167,732.413,603.251,0,726,597,15,14
