 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,65,671.100,65.177,46.284,665,60,12,10,0.381,14.213,665,60,140.711,9.758,1.680,0.595,0.691
2,25,682.940,72.380,25.799,680,69,7,6,0.472,8.062,680,70,150.255,6.000,1.332,0.751,0.676
3,28,500.357,130.000,18.485,498,127,5,6,1.000,7.211,498,127,123.690,5.000,1.199,0.834,0.966
4,107,515.154,141.584,43.799,509,135,11,14,0.701,15.264,512,136,121.608,11.000,1.272,0.786,0.843
5,97,660.469,140.170,57.941,652,137,20,8,0.363,20.616,652,143,14.036,8.000,2.764,0.362,0.776
6,66,673.273,147.288,45.698,670,140,7,14,0.397,14.318,672,140,102.095,7.000,1.985,0.504,0.790
7,53,868.802,146.236,34.042,864,142,10,8,0.575,10.440,864,145,163.301,8.000,1.158,0.863,0.815
8,57,838.395,147.570,35.213,834,143,9,9,0.578,10.817,834,145,146.310,8.825,1.136,0.880,0.832
9,42,728.476,154.238,27.556,724,149,7,10,0.695,10.198,729,149,101.310,7.000,1.388,0.721,0.792
10,89,719.388,159.073,42.627,713,153,12,11,0.615,14.213,713,163,39.289,11.000,1.302,0.768,0.813
11,48,822.479,158.083,36.870,818,154,9,8,0.444,9.487,818,159,18.435,8.000,1.119,0.893,0.780
12,103,723.044,167.063,50.284,715,160,16,13,0.512,18.028,716,170,33.690,11.700,1.679,0.596,0.687
13,31,723.016,190.500,28.385,720,186,7,10,0.484,11.662,721,196,59.036,5.367,2.608,0.383,0.674
14,45,595.833,196.500,33.556,592,193,8,7,0.502,9.434,592,194,147.995,7.000,1.139,0.878,0.849
15,44,676.977,205.432,33.213,673,202,8,7,0.501,9.434,673,203,147.995,7.000,1.215,0.823,0.830
16,60,830.367,221.767,27.799,826,217,9,9,0.976,10.000,827,218,126.870,8.944,1.077,0.928,0.889
17,29,706.500,228.707,18.728,704,225,5,7,1.000,7.280,706,225,105.945,5.000,1.266,0.790,0.906
18,28,575.071,251.286,20.142,573,247,5,8,0.867,8.544,573,247,110.556,5.000,1.584,0.631,0.875
19,25,574.620,259.020,18.971,571,256,7,6,0.873,7.616,571,258,156.801,5.367,1.598,0.626,0.806
20,41,527.817,267.524,32.385,525,263,6,9,0.491,9.487,527,263,108.435,6.000,1.394,0.717,0.820
21,35,698.671,267.729,27.213,695,264,8,7,0.594,8.544,695,266,159.444,6.957,1.154,0.866,0.769
22,58,653.931,272.966,34.870,649,268,10,10,0.599,12.207,649,271,145.008,9.192,1.451,0.689,0.744
23,41,491.378,284.451,37.698,487,279,9,11,0.363,11.180,491,279,100.305,7.778,1.251,0.799,0.631
24,43,745.802,284.081,32.627,742,280,8,8,0.508,9.434,744,280,122.005,7.906,1.200,0.834,0.789
25,60,521.167,290.933,37.698,517,286,9,10,0.531,11.180,519,286,116.565,8.854,1.284,0.779,0.811
26,63,667.532,292.770,32.042,661,288,11,9,0.771,11.705,661,294,19.983,9.000,1.275,0.784,0.834
27,38,733.763,293.921,30.042,730,290,7,8,0.529,9.434,732,290,122.005,7.000,1.323,0.756,0.792
28,37,975.419,300.743,33.213,972,297,7,8,0.421,9.220,972,298,130.601,7.000,1.090,0.918,0.733
29,33,739.136,308.773,22.971,736,305,7,8,0.786,8.602,736,306,144.462,6.548,1.356,0.737,0.786
30,89,737.871,322.837,54.426,732,314,12,16,0.378,16.492,739,314,104.036,11.708,1.279,0.782,0.652
31,42,445.929,318.262,28.385,442,315,8,7,0.655,9.434,442,316,147.995,7.000,1.244,0.804,0.832
32,43,495.919,320.151,31.799,492,317,8,7,0.534,9.434,492,318,147.995,7.000,1.169,0.855,0.835
33,44,648.455,325.455,35.213,645,321,7,9,0.446,9.849,646,330,66.038,7.000,1.241,0.806,0.800
34,84,883.333,327.893,42.870,877,323,12,10,0.574,12.649,877,326,161.565,10.000,1.285,0.778,0.862
35,45,861.567,330.967,36.284,858,326,8,10,0.430,10.440,860,326,106.699,8.000,1.265,0.790,0.738
36,118,708.000,336.619,41.456,702,330,12,13,0.863,14.318,705,343,65.225,12.000,1.122,0.891,0.897
37,44,433.591,336.636,30.627,430,332,8,9,0.589,9.220,433,332,102.529,8.000,1.179,0.848,0.739
38,123,972.768,343.467,64.284,961,340,24,8,0.374,24.187,961,341,172.875,8.000,3.812,0.262,0.771
39,119,950.013,344.004,52.142,939,341,21,7,0.550,21.840,939,341,164.055,7.000,3.262,0.307,0.885
40,99,616.429,346.662,63.213,603,344,27,5,0.311,27.459,603,344,169.509,5.000,6.985,0.143,0.808
41,47,619.926,355.521,25.556,616,352,8,7,0.904,9.434,616,358,32.005,7.000,1.180,0.848,0.913
42,44,845.432,359.591,30.627,841,355,9,10,0.589,10.817,843,364,56.310,8.272,1.308,0.765,0.710
43,36,554.889,359.556,30.385,551,356,7,7,0.490,8.602,553,356,125.538,7.000,1.140,0.877,0.818
44,61,386.713,367.615,41.941,380,362,14,13,0.436,17.029,381,364,139.764,7.537,2.844,0.352,0.632
45,49,356.010,368.582,24.971,352,365,8,8,0.988,9.434,352,366,147.995,7.778,1.194,0.838,0.907
46,41,810.890,368.817,40.870,806,365,9,8,0.308,10.000,807,372,36.870,8.000,1.107,0.903,0.683
47,94,382.106,373.287,60.770,373,368,21,11,0.320,21.932,374,368,155.772,9.369,2.704,0.370,0.573
48,47,657.117,384.202,23.799,653,380,8,8,1.000,9.434,655,380,122.005,7.071,1.332,0.751,0.904
49,43,611.988,388.267,31.213,608,384,8,8,0.555,9.434,608,390,32.005,8.000,1.038,0.964,0.768
50,25,818.820,396.780,20.971,816,393,6,7,0.714,7.616,818,393,113.199,6.000,1.313,0.761,0.746
51,37,781.149,398.905,30.042,778,394,7,9,0.515,9.220,781,394,102.529,7.000,1.361,0.735,0.763
52,62,868.371,404.290,39.113,863,399,10,10,0.509,11.402,864,408,37.875,9.192,1.270,0.788,0.800
53,36,737.639,404.167,28.042,734,400,7,8,0.575,8.944,736,408,63.435,7.000,1.331,0.752,0.783
54,60,451.217,406.917,43.113,444,402,12,13,0.406,17.029,444,402,130.236,8.485,2.249,0.445,0.652
55,26,619.308,405.577,28.627,615,402,8,9,0.399,11.314,615,403,135.000,6.146,2.303,0.434,0.536
56,67,858.425,407.963,31.213,853,403,10,10,0.864,11.402,855,403,127.875,9.192,1.238,0.808,0.859
57,71,446.542,412.246,31.213,441,408,11,9,0.916,12.083,441,410,155.556,8.944,1.401,0.714,0.904
58,106,495.377,426.217,37.799,490,420,10,13,0.932,14.318,493,433,65.225,10.000,1.355,0.738,0.938
59,40,320.900,426.825,31.213,316,422,8,9,0.516,10.000,316,429,36.870,7.778,1.450,0.690,0.684
60,40,751.575,426.500,28.042,748,422,7,9,0.639,9.487,751,422,108.435,7.000,1.369,0.730,0.792
61,38,579.605,433.947,32.627,576,430,8,8,0.449,9.434,577,438,57.995,7.071,1.277,0.783,0.760
62,47,790.777,434.138,35.456,787,430,8,9,0.470,9.487,789,430,108.435,8.000,1.169,0.856,0.783
63,65,835.300,438.654,29.213,831,434,9,10,0.957,11.180,833,444,63.435,8.485,1.323,0.756,0.903
64,40,692.075,439.850,22.385,689,436,7,8,1.000,8.544,690,436,110.556,7.000,1.167,0.857,0.899
65,38,409.579,444.579,31.213,406,441,8,7,0.490,8.944,406,447,26.565,7.000,1.089,0.918,0.768
66,34,636.206,464.412,24.728,634,459,5,10,0.699,10.198,634,469,78.690,5.000,1.812,0.552,0.850
67,44,489.136,464.727,30.385,486,460,7,9,0.599,9.849,487,469,66.038,7.000,1.466,0.682,0.822
68,29,387.638,469.017,28.385,385,466,7,7,0.452,8.062,385,466,119.745,7.000,1.206,0.829,0.699
69,56,656.500,472.375,30.870,651,468,12,9,0.738,12.649,651,474,18.435,7.071,1.845,0.542,0.806
70,38,647.421,475.763,25.556,643,472,9,7,0.731,10.000,644,472,143.130,6.472,1.464,0.683,0.800
71,103,662.956,478.286,39.698,656,472,14,12,0.821,14.560,656,480,15.945,11.713,1.227,0.815,0.831
72,56,833.607,479.071,26.971,830,474,7,10,0.967,10.440,832,474,106.699,7.000,1.432,0.698,0.918
73,72,335.764,479.694,46.870,330,475,12,10,0.412,15.000,330,476,143.130,9.066,1.682,0.595,0.791
74,29,991.293,485.638,23.899,989,480,4,10,0.638,10.440,989,490,73.301,4.000,2.845,0.351,0.866
75,49,508.010,484.704,35.213,503,481,11,7,0.497,11.705,503,483,160.017,7.000,1.585,0.631,0.797
76,120,344.600,489.750,57.841,337,482,17,16,0.451,17.263,337,485,169.992,14.468,1.066,0.938,0.684
77,59,908.941,497.076,31.799,903,493,12,8,0.733,12.369,903,498,14.036,7.155,1.931,0.518,0.825
78,112,299.366,500.839,58.184,292,495,16,15,0.416,17.804,294,507,38.157,14.255,1.280,0.781,0.661
79,105,896.243,501.443,50.426,889,495,15,13,0.519,15.297,889,504,11.310,10.976,1.383,0.723,0.781
80,90,916.822,502.822,57.598,910,496,13,14,0.341,14.318,917,510,77.905,12.203,1.204,0.831,0.682
81,37,613.527,500.689,26.385,610,497,7,7,0.668,8.062,610,499,150.255,7.000,1.102,0.907,0.851
82,42,901.667,508.119,27.556,896,504,10,7,0.695,10.440,896,508,163.301,7.000,1.511,0.662,0.792
83,49,910.949,510.561,24.971,907,507,9,7,0.988,9.849,907,508,156.038,7.000,1.313,0.762,0.907
84,42,871.762,522.190,24.142,868,519,8,7,0.906,8.944,868,524,26.565,7.000,1.168,0.856,0.875
85,29,351.224,532.776,22.142,347,530,8,5,0.743,8.944,347,534,26.565,4.903,1.985,0.504,0.841
86,29,714.672,534.431,22.971,712,531,6,7,0.691,7.810,712,532,129.806,6.000,1.242,0.805,0.784
87,146,892.651,540.541,65.841,885,531,14,18,0.423,19.698,891,531,113.962,14.000,1.385,0.722,0.783
88,40,615.175,538.950,30.627,612,535,7,8,0.536,9.434,613,543,57.995,7.000,1.328,0.753,0.800
89,48,679.167,539.667,30.627,674,535,11,9,0.643,12.083,674,539,155.556,8.004,1.294,0.773,0.762
90,69,346.471,541.254,49.355,341,536,11,12,0.356,14.142,342,547,45.000,10.119,1.201,0.832,0.676
91,47,804.989,542.138,37.456,801,536,8,11,0.421,13.038,802,547,57.529,7.288,1.914,0.522,0.701
92,27,354.019,543.426,20.485,352,540,4,8,0.809,8.544,352,540,110.556,4.000,1.845,0.542,0.931
93,65,884.515,546.608,39.698,876,542,15,11,0.518,17.205,876,542,144.462,6.753,3.210,0.312,0.769
94,73,874.760,550.308,35.799,870,543,10,12,0.716,12.649,871,555,71.565,9.610,1.310,0.764,0.802
95,121,886.161,557.764,57.012,879,549,15,19,0.468,21.954,880,549,120.069,10.800,2.254,0.444,0.714
96,37,866.041,557.851,23.556,862,554,8,7,0.838,9.220,862,561,40.601,6.957,1.492,0.670,0.831
97,48,348.958,559.833,31.799,345,556,8,8,0.597,8.944,347,556,116.565,8.000,1.058,0.946,0.857
98,127,877.382,562.122,49.698,870,556,17,13,0.646,20.000,871,556,143.130,11.784,1.805,0.554,0.812
99,35,537.071,563.700,26.142,534,560,7,7,0.644,9.220,534,567,49.399,6.957,1.257,0.796,0.824
100,28,772.929,562.679,18.728,770,560,6,6,1.000,7.211,770,565,33.690,6.000,1.116,0.896,0.889
101,38,765.447,565.184,24.971,762,561,7,9,0.766,11.402,762,570,52.125,5.657,2.182,0.458,0.864
102,27,863.907,564.944,18.142,861,562,6,6,1.000,7.211,862,562,123.690,5.657,1.207,0.829,0.885
103,39,857.013,567.167,25.213,852,564,10,7,0.771,10.440,852,566,163.301,6.128,1.833,0.545,0.830
104,146,774.651,572.459,62.426,765,566,18,16,0.471,18.439,765,574,12.529,15.556,1.411,0.709,0.710
105,49,417.071,572.561,24.728,413,569,8,7,1.000,10.000,413,570,143.130,7.000,1.267,0.789,0.951
106,32,764.062,579.594,26.385,761,575,6,10,0.578,11.180,761,575,116.565,4.903,2.581,0.387,0.753
107,39,829.756,581.192,28.627,826,577,8,8,0.598,8.944,826,580,153.435,8.000,1.057,0.946,0.757
108,28,435.679,584.929,24.142,433,579,5,10,0.604,10.440,434,589,73.301,5.000,2.267,0.441,0.789
109,44,743.386,585.045,29.799,740,581,8,8,0.623,10.000,741,581,126.870,7.778,1.232,0.812,0.807
110,102,383.735,598.882,51.698,378,590,11,19,0.480,19.647,383,609,75.256,9.806,2.413,0.414,0.718
111,45,899.967,596.700,38.042,897,590,8,12,0.391,12.166,898,590,99.462,8.000,1.660,0.602,0.643
112,41,740.695,595.061,32.284,737,591,8,9,0.494,9.487,739,591,108.435,7.778,1.076,0.929,0.752
113,27,814.796,595.685,22.385,812,592,7,8,0.677,9.434,813,600,57.995,5.270,2.247,0.445,0.711
