Area,X,Y,Perim.,BX,BY,Width,Height
41,706.268,186.585,0,703,180,6,12
63,758.889,184.794,0,755,181,9,9
160,793.188,192.850,0,786,186,15,15
197,778.117,196.924,0,771,189,15,17
93,691.237,211.688,0,688,197,7,28
73,787.849,202.616,0,783,198,10,10
38,650.053,205.211,0,647,201,7,9
59,662.847,206.068,0,659,202,8,10
34,656.059,207.206,0,653,204,7,7
49,774.224,207.224,0,771,204,8,8
181,649.392,216.558,0,642,208,17,16
80,652.050,228.850,0,648,224,9,12
25,812.760,230.560,0,811,227,4,8
39,644.231,230.615,0,641,228,8,6
95,631.558,242.853,0,625,239,15,9
39,697.667,248.513,0,696,244,5,10
46,627.674,248.435,0,624,245,9,7
36,810.667,252.667,0,809,248,4,10
102,719.745,252.980,0,714,249,13,10
64,891.656,255.562,0,888,251,8,10
133,720.902,262.368,0,715,255,13,15
55,731.073,259.273,0,728,255,7,9
38,602.263,259.026,0,598,257,9,5
106,709.811,261.943,0,705,257,11,12
46,701.043,267.000,0,699,261,5,13
129,794.558,268.636,0,787,263,15,12
85,903.859,271.165,0,900,266,9,12
74,914.608,270.311,0,909,266,11,9
52,775.635,271.481,0,772,268,8,8
82,898.915,280.805,0,894,276,10,10
79,474.975,286.620,0,470,282,11,10
30,906.800,285.700,0,904,283,7,6
55,487.200,288.200,0,484,284,8,9
69,529.188,288.855,0,525,285,9,9
39,580.897,289.744,0,579,286,5,9
40,573.825,302.550,0,572,297,5,12
126,581.968,304.421,0,577,297,11,17
113,658.761,307.009,0,653,301,12,13
28,666.036,305.964,0,664,303,5,7
95,649.789,311.158,0,646,305,9,13
69,579.362,316.667,0,576,311,8,11
119,571.748,323.924,0,567,315,10,18
111,582.712,325.883,0,576,322,15,9
259,1037.317,341.274,0,1033,323,10,38
57,682.333,332.105,0,678,329,10,7
31,564.000,334.000,0,562,331,5,7
45,563.511,340.822,0,560,338,8,7
102,520.353,346.588,0,516,341,10,12
34,566.029,346.382,0,564,343,6,8
128,1044.719,363.398,0,1038,357,14,13
38,1050.789,368.789,0,1048,365,6,8
88,474.693,370.364,0,469,366,12,10
46,900.130,375.413,0,897,371,8,9
64,875.734,375.625,0,871,372,11,8
246,1032.309,392.561,0,1028,372,10,40
70,622.186,378.557,0,617,375,11,8
46,901.543,381.565,0,897,379,10,7
55,894.564,384.382,0,890,381,10,8
113,409.770,387.168,0,394,384,32,7
31,888.903,387.839,0,886,385,7,7
109,436.248,390.303,0,426,387,22,7
58,438.690,395.828,0,432,393,15,6
130,935.300,407.023,0,929,399,16,15
106,891.283,406.849,0,885,402,13,11
73,1093.110,410.534,0,1088,407,10,9
101,667.109,414.683,0,661,409,12,12
164,934.116,416.537,0,926,410,20,13
81,1084.012,415.531,0,1080,410,9,12
96,684.854,413.312,0,675,411,20,6
81,698.852,417.037,0,694,413,11,9
102,445.098,420.637,0,440,415,11,12
65,457.246,426.446,0,453,422,10,9
70,449.571,429.000,0,445,425,10,9
104,547.490,430.279,0,542,426,12,10
64,1069.078,431.312,0,1064,427,12,8
90,459.689,434.311,0,454,430,12,10
124,1015.798,435.952,0,1009,431,14,11
53,608.340,435.340,0,604,432,9,8
41,1028.659,435.488,0,1025,433,9,6
161,1053.870,444.472,0,1048,434,13,21
86,1069.372,437.314,0,1061,435,17,6
120,1095.825,438.883,0,1080,436,36,6
133,1042.368,441.910,0,1033,437,18,11
172,745.576,453.884,0,737,447,18,15
71,1035.254,456.634,0,1033,449,6,15
71,1055.113,453.930,0,1049,449,12,10
98,419.735,457.163,0,415,452,10,12
39,1059.769,457.359,0,1056,454,8,7
130,736.415,461.485,0,730,455,16,15
132,1054.720,463.235,0,1047,457,17,12
106,388.792,463.745,0,383,458,12,14
89,1068.584,466.213,0,1064,461,10,11
65,639.123,466.723,0,635,463,9,9
110,1009.155,470.655,0,1003,465,13,13
60,1042.983,468.483,0,1038,466,11,7
77,1051.740,471.130,0,1046,467,13,9
84,772.071,472.143,0,767,468,11,10
74,627.662,474.162,0,623,470,11,9
75,1012.133,483.373,0,1007,479,12,9
102,583.314,489.422,0,578,485,12,10
45,979.622,489.089,0,976,486,9,7
32,569.781,492.250,0,568,489,5,8
96,1026.510,494.729,0,1022,489,10,12
94,1022.021,506.053,0,1019,499,7,15
121,891.727,506.298,0,885,501,14,12
107,1003.131,509.551,0,998,504,11,12
134,1051.313,513.634,0,1043,509,17,11
95,1040.821,518.842,0,1035,514,13,10
59,782.864,534.000,0,781,527,5,15
84,528.024,534.952,0,522,531,12,9
15,450.467,545.867,0,449,544,4,5
51,736.980,552.157,0,734,548,7,9
40,743.450,551.825,0,741,548,6,9
23,781.391,551.391,0,780,548,4,8
99,786.303,565.808,0,784,550,5,33
184,821.054,555.804,0,811,550,21,13
101,984.267,557.317,0,979,553,12,10
64,780.188,563.031,0,778,556,6,15
74,829.946,561.486,0,825,556,10,12
63,1057.683,560.968,0,1054,556,8,10
49,818.592,563.776,0,815,561,9,7
50,837.380,564.760,0,834,561,8,8
71,1048.930,569.113,0,1045,565,9,9
89,1058.348,570.034,0,1053,565,12,12
128,665.016,575.305,0,659,570,14,12
44,1049.045,576.295,0,1045,574,9,6
51,725.529,579.137,0,722,576,9,8
47,671.319,581.234,0,667,577,9,9
47,778.596,583.064,0,776,577,6,12
38,672.553,586.632,0,669,584,8,6
116,1133.302,594.043,0,1128,587,11,15
69,596.913,598.261,0,593,594,9,10
77,643.506,599.416,0,639,595,10,10
149,1124.181,602.859,0,1119,595,12,16
134,1023.545,605.381,0,1017,600,14,12
29,730.379,605.034,0,727,603,8,5
103,902.796,607.883,0,897,603,12,11
127,562.331,610.874,0,556,606,15,11
67,734.015,610.149,0,729,606,11,8
75,535.293,611.320,0,530,607,12,9
85,776.353,620.871,0,774,611,6,20
92,579.511,634.076,0,574,629,12,11
34,522.265,631.588,0,518,630,10,4
94,896.511,634.649,0,891,630,12,10
108,529.852,637.944,0,524,633,13,11
67,455.239,638.164,0,451,634,10,10
139,740.439,644.784,0,733,638,14,15
100,872.030,642.950,0,867,638,11,11
119,375.882,647.345,0,371,641,11,13
50,751.700,644.840,0,747,642,10,7
121,703.769,646.868,0,695,643,18,10
91,695.857,651.901,0,691,646,11,12
47,441.638,653.468,0,438,649,8,9
154,1083.221,654.994,0,1077,649,14,13
60,704.450,655.417,0,701,651,8,10
83,688.735,657.361,0,684,652,10,11
105,793.210,659.124,0,789,652,10,14
124,528.847,661.435,0,523,656,13,12
77,773.221,667.506,0,771,656,5,24
165,413.776,666.176,0,406,659,15,16
145,403.648,667.876,0,399,660,11,16
47,652.617,664.915,0,649,661,8,8
191,671.906,674.524,0,665,663,14,21
54,395.167,667.889,0,392,664,7,9
33,658.091,669.303,0,655,667,7,6
581,1009.093,709.661,0,1004,671,11,77
67,661.955,676.612,0,658,672,9,10
70,734.471,682.600,0,729,678,11,12
33,684.970,684.061,0,682,681,7,7
103,729.932,687.583,0,725,681,12,13
76,1002.224,690.711,0,1000,682,6,22
58,720.431,689.534,0,717,685,8,10
78,849.244,689.474,0,844,685,11,10
22,710.091,689.091,0,708,687,5,5
88,842.670,696.227,0,838,691,11,11
78,826.500,702.000,0,823,697,8,11
107,770.841,711.542,0,769,700,5,26
66,861.258,705.106,0,857,701,10,9
15,706.467,703.667,0,705,702,4,5
106,642.330,707.991,0,637,703,12,11
81,707.185,710.802,0,702,707,12,9
72,572.583,711.861,0,568,708,10,9
63,710.952,717.444,0,707,712,8,11
102,700.216,719.461,0,695,714,11,12
57,774.737,724.596,0,772,719,6,12
108,1051.778,735.509,0,1047,729,11,14
119,860.370,737.017,0,855,731,12,13
49,984.796,737.204,0,981,733,8,9
86,1016.198,739.570,0,1013,733,8,14
156,396.814,746.897,0,390,741,15,13
98,1033.102,747.827,0,1028,742,11,13
64,679.094,750.172,0,675,746,9,9
56,1015.500,752.125,0,1013,747,6,11
67,429.284,755.358,0,425,751,10,10
44,1042.477,758.909,0,1040,755,6,10
66,435.470,762.167,0,432,758,9,10
54,1037.111,762.519,0,1033,759,10,8
103,621.883,765.835,0,616,761,12,11
51,714.824,765.627,0,711,762,8,8
76,382.934,770.171,0,378,765,10,11
44,708.568,769.364,0,705,766,8,8
65,1035.108,773.877,0,1030,770,11,8
34,771.324,777.618,0,770,773,4,11
37,706.378,777.649,0,703,774,7,9
21,502.857,777.000,0,501,775,5,5
38,702.421,781.632,0,698,780,11,5
167,1005.395,796.904,0,1002,782,7,29
30,733.200,788.667,0,731,786,6,6
33,670.879,793.212,0,667,791,9,5
130,410.946,802.354,0,405,797,13,12
119,883.176,820.269,0,878,814,11,14
107,599.897,843.262,0,595,838,12,13
110,667.500,845.000,0,663,839,10,13
48,590.917,843.812,0,588,840,7,9
52,643.288,846.577,0,640,843,8,8
59,856.881,847.492,0,853,844,9,9
72,634.250,849.389,0,629,845,12,9
67,588.269,851.701,0,583,848,12,8
58,478.397,856.121,0,475,852,8,9
89,646.427,856.157,0,641,852,12,10
118,602.856,859.483,0,597,853,15,15
72,522.569,858.264,0,518,854,10,10
92,593.217,860.337,0,588,855,11,12
103,513.359,864.340,0,502,859,20,10
131,585.756,866.038,0,580,859,15,15
85,522.129,869.729,0,518,864,9,12
72,598.347,869.389,0,594,864,9,11
88,616.989,877.011,0,612,873,12,9
52,601.596,878.385,0,598,875,8,8
96,732.583,886.323,0,728,881,10,12
89,877.966,893.371,0,873,889,11,10
38,886.158,922.579,0,883,920,8,6
112,740.125,929.848,0,735,924,11,13
402,873.403,937.468,0,864,926,23,27
64,645.266,930.703,0,641,927,9,9
39,638.590,933.256,0,636,930,6,8
98,852.765,934.041,0,847,930,13,10
41,845.610,938.463,0,843,934,7,9
146,639.534,943.233,0,633,937,15,14
84,881.738,946.024,0,877,941,11,11
154,843.318,951.844,0,837,945,14,14
64,648.625,952.891,0,644,948,9,11
95,878.842,955.411,0,871,951,14,10
113,890.062,962.283,0,883,957,15,11
51,874.863,965.863,0,872,962,7,9
23,712.609,971.957,0,710,970,6,5
75,708.480,976.480,0,704,972,10,10
35,679.629,976.886,0,677,974,7,7
118,686.703,984.653,0,682,978,11,15
77,703.519,983.234,0,699,978,10,12
71,712.197,986.155,0,708,982,10,9
23,706.217,990.087,0,704,988,6,5
