 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,37,706.230,185.554,24.728,704,181,5,10,0.760,10.198,705,181,101.310,5.000,2.109,0.474,0.871,cell
2,47,759.330,185.074,24.142,756,181,7,8,1.000,8.944,757,189,63.435,7.000,1.121,0.892,0.931,cell
3,137,794.602,193.325,49.941,787,186,17,13,0.690,18.028,787,191,160.560,13.000,1.328,0.753,0.828,cell
4,26,807.038,201.000,20.142,803,199,8,4,0.805,8.544,803,200,159.444,4.000,2.139,0.467,0.867,cell
5,25,649.940,205.380,17.899,648,202,4,7,0.981,7.616,648,202,113.199,4.000,1.706,0.586,0.943,cell
6,63,660.294,208.214,41.698,654,203,12,10,0.455,13.000,654,206,157.380,10.000,1.322,0.757,0.692,cell
7,59,798.551,209.432,42.042,792,204,15,11,0.419,17.000,792,214,28.072,7.155,3.339,0.299,0.611,cell
8,134,649.716,217.142,48.870,642,209,16,14,0.705,19.209,643,210,141.340,11.371,1.898,0.527,0.830,cell
9,32,793.375,218.812,22.728,789,216,8,6,0.778,8.944,789,220,26.565,5.918,1.637,0.611,0.821,cell
10,68,650.191,229.059,41.113,642,224,15,9,0.506,16.553,642,233,25.017,8.353,2.497,0.400,0.716,cell
11,25,730.340,244.020,18.728,727,241,6,6,0.896,7.211,727,246,33.690,5.814,1.320,0.758,0.847,cell
12,213,723.223,258.913,79.255,715,250,20,19,0.426,22.472,715,251,147.724,19.000,1.054,0.949,0.731,cell
13,45,892.100,256.278,24.728,889,252,6,9,0.925,9.849,890,252,113.962,6.000,1.518,0.659,0.918,cell
14,42,604.452,257.929,29.213,599,253,10,9,0.618,12.207,599,261,34.992,6.146,2.604,0.384,0.730,cell
15,224,798.464,275.219,93.983,788,264,18,25,0.319,27.459,789,266,123.111,15.652,2.083,0.480,0.721,cell
16,54,778.259,271.185,30.971,773,268,12,7,0.707,13.416,773,274,26.565,6.576,2.370,0.422,0.850,cell
17,56,612.804,275.196,29.799,609,269,8,11,0.792,12.207,609,270,124.992,7.340,1.902,0.526,0.848,cell
18,54,475.296,287.222,27.213,470,283,10,8,0.916,11.180,470,285,153.435,7.589,1.573,0.636,0.878,cell
19,34,487.500,288.412,20.971,484,285,7,7,0.972,8.602,485,285,125.538,5.657,1.573,0.636,0.883,cell
20,45,529.922,289.456,24.142,526,286,8,7,0.970,9.220,527,286,130.601,7.000,1.197,0.835,0.909,cell
21,38,909.000,294.789,22.385,905,291,7,8,0.953,8.246,908,291,104.036,7.000,1.161,0.862,0.864,cell
22,164,654.994,309.421,58.184,646,302,18,15,0.609,20.809,646,315,35.218,12.070,2.014,0.496,0.798,cell
23,39,572.654,322.526,28.385,569,317,7,10,0.608,11.662,570,327,59.036,6.008,2.449,0.408,0.765,cell
24,37,682.851,332.797,22.142,679,330,8,6,0.948,9.434,679,330,147.995,6.000,1.608,0.622,0.892,cell
25,79,520.703,346.994,33.213,516,341,9,12,0.900,12.369,519,341,104.036,9.000,1.374,0.728,0.893,cell
26,30,1037.367,356.933,20.142,1035,353,5,8,0.929,8.544,1036,361,69.444,5.000,1.747,0.572,0.882,cell
27,58,475.172,371.052,27.799,470,367,10,8,0.943,10.770,470,369,158.199,8.000,1.419,0.705,0.879,cell
28,35,622.900,379.443,21.314,619,377,8,5,0.968,8.944,619,377,153.435,5.000,1.663,0.601,0.933,cell
29,44,456.409,392.591,36.971,449,390,16,5,0.405,16.279,449,391,169.380,4.218,5.249,0.191,0.733,cell
30,135,936.522,408.241,70.326,926,399,19,16,0.343,20.248,926,407,159.775,14.367,1.455,0.687,0.691,cell
