 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,99,736.985,185.975,61.255,730,179,13,14,0.332,15.811,730,182,145.305,13.000,1.018,0.983,0.673
2,38,746.105,186.342,24.142,743,182,6,8,0.819,8.944,745,182,116.565,6.000,1.506,0.664,0.864
3,43,722.686,187.942,28.385,719,183,7,9,0.671,10.817,720,192,56.310,7.000,1.414,0.707,0.804
4,31,729.952,190.468,25.799,726,185,8,9,0.585,10.817,727,185,123.690,4.950,2.411,0.415,0.713
5,119,742.895,195.693,60.527,733,190,21,13,0.408,21.095,733,195,174.560,10.626,2.537,0.394,0.643
6,58,780.655,193.759,34.627,774,190,12,7,0.608,12.649,774,195,18.435,7.000,1.631,0.613,0.811
7,35,770.814,198.471,24.142,766,196,9,5,0.755,10.296,766,196,150.945,5.000,2.102,0.476,0.854
8,62,733.065,202.548,35.456,727,197,12,11,0.620,15.620,727,198,140.194,6.364,2.905,0.344,0.775
9,29,746.121,199.293,22.728,742,197,9,5,0.705,9.487,742,197,161.565,5.000,1.825,0.548,0.806
10,28,610.607,226.786,27.213,605,224,10,6,0.475,10.817,605,230,33.690,5.515,2.436,0.410,0.629
11,62,787.790,235.000,34.971,784,229,8,12,0.637,13.601,784,240,53.973,7.159,1.914,0.522,0.805
12,87,776.615,236.063,48.870,766,231,18,9,0.458,18.974,766,237,18.435,9.000,2.266,0.441,0.719
13,32,793.719,237.688,21.899,791,233,5,8,0.838,8.944,791,241,63.435,5.000,1.556,0.643,0.914
14,44,826.523,241.659,32.142,822,235,9,10,0.535,11.662,824,235,120.964,8.194,1.447,0.691,0.672
15,41,834.671,240.427,23.899,832,236,6,8,0.902,10.000,832,236,126.870,6.000,1.478,0.677,0.953
16,94,772.574,244.032,37.799,766,239,14,9,0.827,14.866,766,241,160.346,9.000,1.711,0.585,0.887
17,62,787.645,243.871,35.799,781,241,15,6,0.608,15.297,781,245,11.310,6.000,2.873,0.348,0.832
18,34,760.618,246.559,25.556,758,242,6,10,0.654,11.180,759,252,63.435,5.121,2.670,0.375,0.773
19,77,835.279,249.773,38.627,830,245,10,10,0.648,11.662,830,247,149.036,10.000,1.096,0.913,0.875
20,48,827.021,250.562,27.556,823,246,8,9,0.794,10.817,825,246,123.690,7.589,1.580,0.633,0.835
21,93,846.984,253.059,40.870,841,247,14,11,0.700,15.811,841,247,145.305,9.646,1.774,0.564,0.834
22,32,789.688,250.250,20.728,786,248,8,5,0.936,8.944,786,252,26.565,5.000,1.644,0.608,0.928
23,82,899.963,252.841,32.627,894,248,11,10,0.968,11.705,894,252,160.017,10.000,1.124,0.889,0.906
24,44,783.273,257.182,25.556,780,253,7,8,0.847,9.220,780,254,130.601,7.000,1.170,0.855,0.871
25,72,762.014,262.444,38.042,758,255,8,15,0.625,16.155,758,255,111.801,7.005,2.718,0.368,0.818
26,45,838.744,259.367,37.456,831,255,13,8,0.403,13.928,831,258,158.962,7.920,1.882,0.531,0.592
27,45,790.722,260.056,26.385,787,256,9,8,0.812,9.487,787,258,161.565,8.000,1.137,0.879,0.818
28,33,850.742,261.591,28.385,847,258,9,6,0.515,9.849,847,259,156.038,6.000,1.778,0.562,0.717
29,62,689.548,265.403,40.870,685,261,10,9,0.466,11.662,685,269,30.964,9.000,1.360,0.735,0.816
30,73,771.938,266.322,35.213,767,261,11,11,0.740,12.728,768,261,135.000,9.839,1.374,0.728,0.789
31,98,795.663,269.082,52.527,790,261,13,15,0.446,17.692,790,274,42.709,10.119,1.723,0.580,0.718
32,109,784.307,268.427,46.284,778,262,13,13,0.639,14.318,778,271,24.775,12.600,1.096,0.913,0.826
33,47,775.862,276.053,29.213,772,272,8,9,0.692,10.817,773,272,123.690,7.845,1.450,0.690,0.783
34,30,787.167,277.067,20.728,784,274,7,6,0.877,8.602,784,280,35.538,5.578,1.585,0.631,0.857
35,34,826.235,284.324,28.042,822,281,10,7,0.543,10.440,822,287,16.699,6.325,1.701,0.588,0.667
36,67,949.470,287.231,41.456,945,282,9,10,0.490,11.180,947,282,116.565,9.000,1.129,0.886,0.827
37,52,964.942,287.885,38.042,960,283,9,9,0.452,10.630,961,284,131.186,8.854,1.053,0.950,0.765
38,50,493.280,290.260,31.456,488,286,10,8,0.635,10.198,488,289,168.690,7.845,1.365,0.733,0.806
39,87,528.580,294.500,37.456,524,288,10,14,0.779,14.318,526,302,65.225,10.000,1.540,0.649,0.837
40,53,534.915,299.330,32.627,530,294,10,11,0.626,13.454,530,303,41.987,6.822,2.379,0.420,0.741
41,139,526.550,308.773,70.426,516,298,21,18,0.352,25.239,516,299,146.310,13.729,1.827,0.547,0.636
42,44,540.568,303.068,23.556,537,299,7,8,0.996,8.602,538,300,125.538,7.000,1.133,0.882,0.898
43,31,552.661,302.694,23.213,548,299,9,7,0.723,10.817,548,300,146.310,4.243,2.760,0.362,0.838
44,49,773.990,303.214,38.042,769,299,9,8,0.425,10.000,771,299,126.870,8.000,1.035,0.967,0.778
45,83,510.235,307.946,46.728,500,305,20,6,0.478,20.881,500,305,163.301,5.215,4.735,0.211,0.847
46,59,987.314,309.314,28.627,982,305,10,9,0.905,10.817,983,306,146.310,8.200,1.331,0.751,0.849
47,137,553.675,312.573,51.456,545,306,16,13,0.650,18.439,546,307,139.399,11.606,1.800,0.556,0.828
48,34,540.912,311.118,22.142,537,308,7,7,0.871,8.062,537,309,150.255,6.791,1.122,0.891,0.861
49,121,575.161,314.120,66.971,562,309,28,8,0.339,29.120,562,309,164.055,7.767,6.156,0.162,0.722
50,78,599.744,316.615,45.213,591,312,16,10,0.479,17.889,591,314,153.435,9.803,2.160,0.463,0.706
51,25,536.220,317.220,21.556,532,314,7,7,0.676,7.616,532,318,23.199,6.791,1.065,0.939,0.714
52,62,963.984,318.339,37.456,959,314,13,9,0.555,13.928,959,316,158.962,8.873,1.787,0.560,0.713
53,145,553.231,324.272,64.083,542,315,19,19,0.444,23.022,543,315,124.380,13.035,2.093,0.478,0.673
