Area,X,Y,Perim.,BX,BY,Width,Height
80,700.487,139.225,0,697,133,8,13
62,692.661,139.016,0,689,134,8,11
75,807.973,142.920,0,804,137,9,12
57,816.421,139.982,0,812,137,10,7
86,731.907,160.477,0,728,155,9,12
60,594.883,174.533,0,591,171,9,8
81,883.802,193.383,0,879,188,10,11
48,663.229,203.604,0,660,200,7,8
57,532.561,220.035,0,529,216,8,9
50,867.560,233.620,0,864,230,8,8
72,498.069,234.653,0,493,231,10,9
140,512.871,238.436,0,508,231,11,16
36,504.972,235.306,0,503,232,5,8
58,764.466,239.534,0,761,235,8,10
63,494.397,241.381,0,490,237,9,10
38,770.895,240.711,0,768,237,7,9
91,504.703,245.396,0,499,240,13,12
38,522.395,247.553,0,520,244,6,8
43,779.395,247.953,0,776,245,8,7
83,515.361,251.229,0,511,246,10,11
96,678.896,251.510,0,674,246,11,12
34,763.265,250.000,0,761,247,6,7
56,769.500,253.321,0,766,249,7,10
47,775.213,254.085,0,773,250,6,9
67,649.821,266.687,0,645,263,10,9
73,1031.562,267.027,0,1027,263,10,9
59,773.102,269.339,0,769,266,9,8
60,447.383,271.983,0,444,268,8,9
42,724.095,272.643,0,721,269,7,8
58,1042.897,276.069,0,1040,271,7,11
106,694.132,277.849,0,689,272,10,14
36,686.222,279.333,0,683,276,7,7
70,576.471,281.529,0,572,277,10,10
69,642.754,281.681,0,639,277,9,11
83,680.120,283.361,0,676,277,9,13
98,1026.541,282.806,0,1021,278,12,11
72,1047.500,283.000,0,1043,279,10,9
84,673.571,287.357,0,670,281,9,13
64,1054.797,287.500,0,1049,284,13,8
59,853.339,290.441,0,849,286,9,10
45,682.200,292.956,0,679,290,8,7
69,846.725,294.275,0,843,290,9,10
98,498.694,302.990,0,495,296,9,14
43,490.581,302.326,0,487,300,8,6
39,493.846,312.256,0,491,309,7,8
60,495.800,320.233,0,492,315,9,11
75,508.787,319.413,0,505,315,9,10
74,1045.784,324.176,0,1040,321,12,8
44,811.545,334.750,0,808,331,8,8
40,836.050,334.925,0,833,332,7,7
57,1013.368,336.860,0,1010,333,8,9
84,957.298,342.917,0,953,338,10,11
51,445.235,342.412,0,441,339,9,8
65,710.031,343.062,0,706,339,10,9
56,384.000,347.321,0,380,344,9,8
65,714.538,349.077,0,711,344,8,11
55,1039.436,347.382,0,1035,344,9,8
61,434.852,349.623,0,431,346,9,8
27,911.037,353.444,0,909,350,6,7
118,430.305,358.881,0,425,353,12,13
53,902.208,356.528,0,898,353,9,8
69,622.145,369.275,0,617,366,11,8
141,632.957,379.752,0,627,372,12,18
59,725.102,376.949,0,721,373,9,9
82,624.805,382.268,0,621,377,9,11
53,643.208,381.038,0,640,377,7,9
47,1086.319,381.277,0,1083,377,7,9
59,476.814,381.254,0,473,378,9,8
88,529.034,382.750,0,524,378,11,10
63,838.683,383.714,0,834,380,10,8
47,629.872,390.170,0,626,387,9,7
68,510.088,392.132,0,505,389,11,7
58,498.138,393.483,0,494,390,9,8
72,722.458,394.611,0,719,390,8,11
69,583.435,396.710,0,580,392,8,11
97,735.320,397.753,0,730,393,11,11
91,744.703,401.604,0,740,396,10,12
108,363.213,402.787,0,358,397,11,13
66,1107.864,400.545,0,1103,397,11,8
70,898.286,401.314,0,893,398,11,8
70,490.400,402.414,0,485,399,12,8
19,499.053,402.474,0,496,401,6,4
80,526.538,406.700,0,523,402,9,11
60,432.400,407.517,0,429,403,8,10
67,507.104,407.015,0,502,403,12,8
34,499.706,407.824,0,497,405,6,7
92,490.772,412.641,0,486,407,10,13
57,518.088,411.404,0,514,408,9,9
39,497.077,413.692,0,495,409,6,10
94,506.809,414.489,0,502,410,12,11
78,450.756,416.205,0,446,412,11,9
53,1083.830,415.113,0,1080,412,9,8
48,523.792,416.646,0,519,413,10,8
94,512.223,420.585,0,507,415,12,12
113,568.027,427.664,0,565,419,8,18
