 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,65,701.608,139.069,36.042,697,133,10,12,0.629,14.422,699,145,56.310,7.747,1.928,0.519,0.756
2,34,817.059,140.324,20.971,813,137,8,6,0.972,8.544,813,142,20.556,6.000,1.446,0.692,0.883
3,42,808.524,143.452,26.142,805,138,6,10,0.772,10.770,806,148,68.199,6.000,1.897,0.527,0.866
4,61,732.451,161.041,28.142,729,156,7,10,0.968,11.180,730,156,116.565,7.000,1.467,0.682,0.946
5,34,595.382,175.147,20.971,592,172,7,7,0.972,8.062,594,179,60.255,6.364,1.206,0.829,0.872
6,56,884.161,194.232,26.971,880,190,8,9,0.967,10.817,882,199,56.310,7.778,1.350,0.741,0.926
7,28,663.571,204.036,19.314,661,201,5,7,0.943,7.616,663,208,66.801,5.000,1.304,0.767,0.918
8,28,532.714,220.821,19.314,530,217,5,7,0.943,7.616,532,217,113.199,5.000,1.337,0.748,0.903
9,27,868.056,234.241,18.142,865,231,6,6,1.000,7.211,865,236,33.690,5.814,1.219,0.820,0.871
10,79,513.589,237.867,38.042,509,232,9,13,0.686,14.318,511,232,114.775,9.000,1.447,0.691,0.806
11,36,498.528,235.972,23.556,494,233,9,6,0.815,10.296,494,234,150.945,5.060,2.199,0.455,0.857
12,40,548.575,236.425,26.142,544,234,10,6,0.736,11.180,544,239,26.565,6.000,1.859,0.538,0.842
13,41,495.061,241.768,23.799,491,238,8,8,0.910,8.944,491,240,153.435,7.071,1.160,0.862,0.854
14,96,502.844,247.490,49.698,496,241,14,13,0.488,14.560,496,246,164.055,11.628,1.272,0.786,0.719
15,67,514.709,252.082,34.870,507,247,13,9,0.692,13.601,507,254,17.103,9.000,1.626,0.615,0.793
16,71,679.345,252.077,30.385,675,247,9,10,0.966,11.662,676,257,59.036,9.000,1.240,0.807,0.922
17,131,500.660,257.324,65.012,490,248,21,16,0.389,24.207,490,248,141.710,10.937,2.764,0.362,0.627
18,31,769.855,253.823,21.314,767,250,5,8,0.858,8.944,768,250,116.565,5.000,1.723,0.580,0.886
