 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Class
1,29,939.569,4.431,22.728,936,2,8,5,0.705,9.434,936,7,32.005,5.000,1.484,0.674,0.829,cell
2,33,1021.500,10.258,29.213,1017,6,9,10,0.486,12.806,1017,6,128.660,5.657,2.793,0.358,0.660,cell
3,30,987.500,16.133,28.385,982,14,10,5,0.468,11.180,982,19,26.565,5.000,2.066,0.484,0.659,cell
4,35,1019.186,24.014,30.042,1016,19,6,11,0.487,11.705,1016,30,70.017,6.000,1.947,0.514,0.642,cell
5,27,887.204,23.167,29.799,881,20,12,6,0.382,12.649,881,21,161.565,4.258,3.854,0.259,0.614,cell
6,26,981.769,25.385,25.556,978,21,6,10,0.500,11.180,979,21,116.565,5.209,2.858,0.350,0.634,cell
7,51,878.108,30.912,35.213,873,27,12,9,0.517,14.422,873,35,33.690,7.071,2.611,0.383,0.694,cell
8,25,995.500,39.620,22.385,991,37,8,5,0.627,8.944,991,42,26.565,5.000,1.786,0.560,0.758,cell
9,25,840.300,45.460,20.971,836,43,8,5,0.714,8.544,836,47,20.556,4.707,2.035,0.491,0.758,cell
10,36,990.417,49.639,28.385,986,44,8,9,0.561,10.296,987,53,60.945,7.211,1.630,0.613,0.720,cell
11,41,1084.110,52.939,30.385,1081,47,8,11,0.558,12.806,1081,47,128.660,6.254,2.753,0.363,0.672,cell
12,59,910.924,53.195,49.355,903,48,13,12,0.304,16.279,903,48,132.510,10.607,1.809,0.553,0.557,cell
13,41,936.159,55.720,40.627,930,48,9,14,0.312,14.142,936,48,98.130,8.627,2.195,0.456,0.500,cell
14,32,706.594,59.250,22.728,703,56,6,8,0.778,10.000,703,56,126.870,5.800,1.852,0.540,0.877,cell
15,29,873.603,59.603,21.556,870,56,7,6,0.784,8.485,871,56,135.000,6.000,1.193,0.838,0.841,cell
16,36,1024.806,68.833,31.456,1021,63,7,10,0.457,10.440,1024,63,106.699,7.000,1.865,0.536,0.667,cell
17,26,924.731,67.615,22.728,920,65,9,5,0.633,10.296,920,70,29.055,4.315,2.956,0.338,0.788,cell
